output_csv,duration,count,sequence_ids
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_tab_abtab.csv,1/32,13,"20,25,39,42,47,53,59,60,62,64,72,88,93"
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_tab_abtab.csv,1/16,55,"1,2,4,5,6,7,10,12,13,15,16,17,18,19,22,23,24,26,27,29,30,31,33,36,37,38,41,44,45,48,49,50,51,54,55,56,57,58,61,66,68,69,71,73,77,79,80,81,83,84,85,87,90,92,94"
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_tab_abtab.csv,1/8,27,"0,3,8,9,11,14,21,28,32,34,35,40,43,46,52,63,65,67,70,74,75,76,78,82,86,89,91"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_abtab_fourstep.csv,1/32,13,"20,25,39,42,47,53,59,60,62,64,72,88,93"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_abtab_fourstep.csv,1/16,8,"2,6,33,44,54,68,79,87"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_abtab_fourstep.csv,1/8,4,"14,43,75,78"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_abtab_non_chord.csv,1/32,13,"20,25,39,42,47,53,59,60,62,64,72,88,93"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_abtab_non_chord.csv,1/16,52,"1,2,4,5,6,7,10,12,13,15,16,17,18,19,22,23,26,27,29,30,31,33,36,37,38,44,45,48,49,50,51,54,55,56,57,58,61,66,68,69,71,73,77,79,80,81,84,85,87,90,92,94"
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_tab_raw.csv,1/32,13,"19,27,48,50,54,60,64,65,67,68,74,87,90"
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_tab_raw.csv,1/16,43,"1,2,4,5,6,7,11,12,14,15,16,17,18,21,25,31,32,37,39,40,42,45,46,47,52,55,56,57,61,62,63,70,72,73,77,79,80,82,83,84,86,89,91"
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_tab_raw.csv,1/8,36,"0,3,8,9,10,13,20,22,23,24,26,28,29,30,33,34,35,36,38,41,43,44,49,51,53,58,59,66,69,71,75,76,78,81,85,88"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_raw_fourstep.csv,1/32,13,"19,27,48,50,54,60,64,65,67,68,74,87,90"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_raw_fourstep.csv,1/16,8,"2,6,42,52,61,72,79,86"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_raw_fourstep.csv,1/8,8,"13,23,33,49,51,58,75,78"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_raw_non_chord.csv,1/32,13,"19,27,48,50,54,60,64,65,67,68,74,87,90"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_tab_raw_non_chord.csv,1/16,42,"1,2,4,5,6,7,11,12,14,15,16,17,18,21,25,31,32,37,39,40,42,45,46,47,52,55,56,57,61,62,63,70,72,73,77,79,80,83,84,86,89,91"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-4.csv,1/16,6,"1,2,3,6,8,9"
