note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
22;43;1/4;3;16;5;match;2;0;True;[monotonic]
25;43;1/16;13/4;17;5;ornamentation;0;0;False;[monotonic]
26;45;1/16;53/16;18;5;ornamentation;0;0;False;[monotonic]
27;46;1/16;27/8;19;5;ornamentation;0;0;False;[monotonic]
28;48;1/16;55/16;20;5;ornamentation;0;0;False;[monotonic]
29;43;1/4;7/2;21;5;repetition;1;0;True;[monotonic]
61;58;1/4;6;41;5;adaptation;2;3;True;[monotonic]
62;52;1/16;25/4;42;5;ornamentation;0;3;False;[monotonic]
63;53;1/16;101/16;43;5;ornamentation;0;3;False;[monotonic]
64;55;1/16;51/8;44;5;ornamentation;0;3;False;[monotonic]
65;57;1/16;103/16;45;5;ornamentation;0;3;False;[monotonic]
68;58;1/4;13/2;46;5;adaptation;2;3;True;[monotonic]
888;53;1/8;62;482;5;repetition;1;9;True;[non_monotonic]
889;52;1/32;497/8;483;5;ornamentation;0;9;False;[non_monotonic]
890;50;1/32;1989/32;484;5;ornamentation;0;9;False;[non_monotonic]
891;48;1/32;995/16;485;5;ornamentation;0;9;False;[non_monotonic]
892;50;1/32;1991/32;486;5;ornamentation;0;9;False;[non_monotonic]
894;52;1/8;249/4;487;5;ficta;1;9;True;[non_monotonic]
