output_csv,sequence_length,count,sequence_ids
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab.csv,2,33,"0,4,6,13,14,16,20,25,31,33,35,36,38,39,41,53,55,57,60,61,64,67,68,69,70,71,74,75,79,80,81,85,88"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab.csv,3,5,"12,42,73,83,86"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab.csv,4,22,"1,5,7,18,19,27,29,43,47,48,49,50,51,56,58,59,77,82,84,89,96,97"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab.csv,5,13,"2,10,40,46,54,62,66,72,76,78,87,90,92"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab.csv,6,17,"3,8,11,17,21,22,23,28,34,44,45,63,65,91,93,94,95"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab.csv,7,3,"26,30,37"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab.csv,8,3,"9,15,52"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab.csv,9,2,"24,32"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab_fourstep.csv,4,17,"1,5,18,19,27,43,48,49,50,51,58,59,77,84,89,96,97"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab_non_chord.csv,2,24,"6,13,14,16,20,25,31,33,35,38,39,41,55,60,61,67,68,69,70,74,79,80,81,88"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab_non_chord.csv,4,12,"1,5,27,43,48,49,50,58,59,77,84,96"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab_non_chord.csv,5,12,"10,40,46,54,62,66,72,76,78,87,90,92"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab_non_chord.csv,6,13,"3,11,17,21,22,34,44,45,63,91,93,94,95"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_abtab_non_chord.csv,8,1,15
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_raw.csv,4,30,"0,1,2,6,8,10,11,14,19,20,23,28,29,31,33,38,43,45,47,48,49,53,54,55,62,64,65,67,74,75"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_raw.csv,5,15,"3,7,13,37,40,42,52,56,59,60,61,63,66,68,70"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_raw.csv,6,19,"4,9,15,17,18,21,22,24,25,30,35,39,41,57,58,69,71,72,73"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_raw.csv,7,3,"27,32,36"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_raw.csv,8,5,"5,12,16,50,51"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_raw.csv,9,3,"26,34,46"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_tab_raw.csv,10,1,44
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_raw_fourstep.csv,4,21,"0,1,2,6,10,11,19,20,28,38,45,47,48,49,54,55,62,65,67,74,75"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_raw_non_chord.csv,4,12,"1,6,28,38,45,47,48,54,55,62,65,74"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_raw_non_chord.csv,5,12,"13,37,42,52,56,59,60,61,63,66,68,70"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_raw_non_chord.csv,6,13,"4,15,17,22,24,35,39,41,57,69,71,72,73"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_tab_raw_non_chord.csv,8,1,16
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-3.csv,2,2,"5,8"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-3.csv,3,4,"2,7,9,10"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-3.csv,4,3,"4,6,11"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-3.csv,5,1,1
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-3.csv,6,2,"0,3"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-3_fourstep.csv,4,2,"4,11"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0.csv,1,3,"14,19,21"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0.csv,2,6,"0,3,4,15,17,18"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0.csv,3,4,"1,10,13,25"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0.csv,4,6,"2,6,16,20,22,26"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0.csv,5,3,"7,12,23"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0.csv,6,3,"8,9,24"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0.csv,8,1,5
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0.csv,9,1,11
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-0_fourstep.csv,4,3,"20,22,26"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-2.csv,1,1,17
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-2.csv,2,8,"0,9,11,19,22,24,25,27"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-2.csv,3,5,"5,6,12,21,23"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-2.csv,4,7,"1,4,7,13,16,18,20"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-2.csv,5,3,"2,10,26"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-2.csv,6,5,"3,14,15,28,29"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-2.csv,9,1,8
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-2_fourstep.csv,4,6,"1,4,7,13,16,20"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-1.csv,1,1,24
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-1.csv,2,15,"3,4,5,8,9,11,12,15,18,19,22,23,25,26,27"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-1.csv,3,5,"0,2,13,17,20"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-1.csv,4,2,"1,14"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-1.csv,5,3,"16,21,28"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-1.csv,6,2,"7,10"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-1.csv,7,1,6
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-1_fourstep.csv,4,2,"1,14"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-4.csv,2,2,"2,6"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-4.csv,3,3,"1,7,8"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-4.csv,4,2,"3,4"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-4.csv,5,2,"0,9"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-4.csv,6,2,"5,10"
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-4_fourstep.csv,4,1,3
output/5253_02_praeter_rerum_seriem_desprez-2/voices/5253_02_praeter_rerum_seriem_desprez-2_voice-5.csv,2,2,"0,1"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,1,5,"26,31,33,56,93"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,2,35,"5,8,12,15,16,27,29,30,39,48,50,58,61,63,64,66,72,73,74,77,78,80,81,84,87,88,91,92,94,95,96,100,104,109,110"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,3,21,"2,7,9,10,13,22,25,37,44,45,51,60,62,69,71,82,86,89,99,105,106"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,4,20,"4,6,11,14,18,28,32,34,38,40,43,46,52,55,57,59,70,83,101,102"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,5,12,"1,19,24,35,41,49,65,85,90,97,98,107"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,6,14,"0,3,20,21,36,42,53,54,67,68,76,79,103,108"
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,7,1,75
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,8,1,17
output/5253_02_praeter_rerum_seriem_desprez-2/5253_02_praeter_rerum_seriem_desprez-2_voices_merged.csv,9,2,"23,47"
output/5253_02_praeter_rerum_seriem_desprez-2/fourstep/5253_02_praeter_rerum_seriem_desprez-2_voices_merged_fourstep.csv,4,14,"4,11,32,34,38,40,43,46,52,55,59,70,83,101"
