note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
7,55,1/4,3/4,5,3,match,1,0,True
8,62,1/4,3/4,5,2,match,0,0,True
10,58,1/16,1,6,3,match,2,0,False
9,55,1/16,1,6,2,match,1,0,False
11,70,1/16,1,6,0,match,0,0,False
12,57,1/16,17/16,7,2,ornamentation,0,0,False
13,58,1/32,9/8,8,2,ornamentation,0,0,True
12,57,1/16,17/16,7,2,ornamentation,0,1,True
13,58,1/32,9/8,8,2,ornamentation,0,1,False
14,57,1/32,37/32,9,2,ornamentation,0,1,False
15,58,1/32,19/16,10,2,ornamentation,0,1,False
16,60,1/32,39/32,11,2,ornamentation,0,1,False
17,58,1/8,5/4,12,2,match,0,1,True
22,55,1/4,7/4,16,3,match,1,2,True
23,62,1/4,7/4,16,2,match,0,2,True
25,58,1/8,2,17,3,match,2,2,False
24,55,1/8,2,17,2,match,1,2,False
26,70,1/8,2,17,0,repetition,0,2,False
27,69,1/8,17/8,18,2,ornamentation,0,2,False
28,55,1/8,9/4,19,3,match,1,2,False
29,67,1/8,9/4,19,2,match,0,2,False
30,67,1/8,19/8,20,2,ornamentation,0,2,False
31,57,1/8,5/2,21,3,match,2,2,False
32,67,1/8,5/2,21,2,repetition,1,2,False
33,72,1/8,5/2,21,0,match,0,2,False
34,66,1/16,21/8,22,2,match,0,2,True
31,57,1/8,5/2,21,3,match,2,3,True
32,67,1/8,5/2,21,2,repetition,1,3,True
33,72,1/8,5/2,21,0,match,0,3,True
34,66,1/16,21/8,22,2,match,0,3,False
35,64,1/16,43/16,23,2,ornamentation,0,3,False
36,66,1/16,11/4,24,2,match,0,3,False
37,67,1/16,45/16,25,2,ornamentation,0,3,False
38,64,1/16,23/8,26,2,match,0,3,False
39,66,1/16,47/16,27,2,ornamentation,0,3,False
40,55,1/4,3,28,3,match,2,3,True
41,67,1/4,3,28,2,match,1,3,True
42,70,1/4,3,28,0,match,0,3,True
59,57,1/4,17/4,37,2,match,0,4,True
60,50,1/8,9/2,38,3,repetition,3,4,False
61,58,1/8,9/2,38,2,match,2,4,False
63,65,1/8,9/2,38,1,repetition,1,4,False
62,62,1/8,9/2,38,0,match,0,4,False
64,64,1/8,37/8,39,1,ornamentation,0,4,False
65,62,1/16,19/4,40,1,ornamentation,0,4,True
64,64,1/8,37/8,39,1,ornamentation,0,5,True
65,62,1/16,19/4,40,1,ornamentation,0,5,False
66,64,1/16,77/16,41,1,ornamentation,0,5,False
67,65,1/16,39/8,42,1,repetition,0,5,False
68,67,1/16,79/16,43,1,ornamentation,0,5,False
69,50,1/8,5,44,3,repetition,3,5,True
70,57,1/8,5,44,2,match,2,5,True
71,65,1/8,5,44,1,match,1,5,True
71,65,1/8,5,44,0,match,0,5,True
82,57,1/8,6,51,2,match,2,6,True
83,65,1/8,6,51,1,repetition,1,6,True
84,72,1/8,6,51,0,match,0,6,True
85,70,1/16,49/8,52,0,ornamentation,0,6,False
