note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
12;57;1/16;17/16;7;2;ornamentation;0;1;True;[non_monotonic]
13;58;1/32;9/8;8;2;ornamentation;0;1;False;[non_monotonic]
14;57;1/32;37/32;9;2;ornamentation;0;1;False;[non_monotonic]
15;58;1/32;19/16;10;2;ornamentation;0;1;False;[non_monotonic]
16;60;1/32;39/32;11;2;ornamentation;0;1;False;[non_monotonic]
17;58;1/8;5/4;12;2;match;0;1;True;[non_monotonic]
64;64;1/8;37/8;39;1;ornamentation;0;5;True;[monotonic_perfect_fifth_0_2]
65;62;1/16;19/4;40;1;ornamentation;0;5;False;[monotonic_perfect_fifth_0_2]
66;64;1/16;77/16;41;1;ornamentation;0;5;False;[monotonic_perfect_fifth_0_2]
67;65;1/16;39/8;42;1;repetition;0;5;False;[monotonic_perfect_fifth_0_2]
68;67;1/16;79/16;43;1;ornamentation;0;5;False;[monotonic_perfect_fifth_0_2]
69;50;1/8;5;44;3;repetition;3;5;True;[monotonic_perfect_fifth_0_2]
70;57;1/8;5;44;2;match;2;5;True;[monotonic_perfect_fifth_0_2]
71;65;1/8;5;44;1;match;1;5;True;[monotonic_perfect_fifth_0_2]
71;65;1/8;5;44;0;match;0;5;True;[monotonic_perfect_fifth_0_2]
300;50;1/4;87/4;167;4;match;0;18;True;[non_monotonic_chords]
301;52;1/8;22;168;4;match;2;18;False;[non_monotonic_chords]
302;64;1/8;22;168;1;match;1;18;False;[non_monotonic_chords]
303;67;1/8;22;168;0;match;0;18;False;[non_monotonic_chords]
304;50;1/8;177/8;169;4;ornamentation;0;18;False;[non_monotonic_chords]
305;52;1/8;89/4;170;4;repetition;1;18;False;[non_monotonic_chords]
306;55;1/8;89/4;170;3;match;0;18;False;[non_monotonic_chords]
307;53;1/8;179/8;171;4;match;0;18;False;[non_monotonic_chords]
308;55;1/4;45/2;172;4;match;3;18;True;[non_monotonic_chords]
309;58;1/4;45/2;172;3;match;2;18;True;[non_monotonic_chords]
310;62;1/4;45/2;172;1;match;1;18;True;[non_monotonic_chords]
311;67;1/4;45/2;172;0;repetition;0;18;True;[non_monotonic_chords]
308;55;1/4;45/2;172;4;match;3;19;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
309;58;1/4;45/2;172;3;match;2;19;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
310;62;1/4;45/2;172;1;match;1;19;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
311;67;1/4;45/2;172;0;repetition;0;19;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
312;55;1/16;91/4;173;5;match;1;19;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
313;62;1/16;91/4;173;2;match;0;19;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
314;64;1/16;365/16;174;2;ornamentation;0;19;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
315;65;1/16;183/8;175;2;ornamentation;0;19;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
316;67;1/16;367/16;176;2;ornamentation;0;19;False;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
317;50;1/8;23;177;4;match;2;19;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
318;57;1/8;23;177;3;match;1;19;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
319;65;1/8;23;177;2;match;0;19;True;[monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_1_chords]
461;43;1/8;129/4;247;5;match;1;27;True;[non_monotonic]
462;55;1/8;129/4;247;1;match;0;27;True;[non_monotonic]
463;57;1/32;259/8;248;3;ornamentation;0;27;False;[non_monotonic]
464;55;1/32;1037/32;249;3;ornamentation;0;27;False;[non_monotonic]
465;54;1/32;519/16;250;3;ornamentation;0;27;False;[non_monotonic]
466;55;1/32;1039/32;251;3;ornamentation;0;27;False;[non_monotonic]
467;45;1/8;65/2;252;5;match;1;27;True;[non_monotonic]
468;54;1/8;65/2;252;3;adaptation;0;27;True;[non_monotonic]
627;53;1/8;43;337;5;match;2;43;True;[non_monotonic]
628;60;1/8;43;337;2;match;1;43;True;[non_monotonic]
629;69;1/8;43;337;0;match;0;43;True;[non_monotonic]
630;62;1/32;345/8;338;2;ornamentation;0;43;False;[non_monotonic]
631;60;1/32;1381/32;339;2;ornamentation;0;43;False;[non_monotonic]
632;59;1/32;691/16;340;2;ornamentation;0;43;False;[non_monotonic]
633;60;1/32;1383/32;341;2;ornamentation;0;43;False;[non_monotonic]
634;62;1/4;173/4;342;2;match;0;43;True;[non_monotonic]
702;64;1/8;381/8;382;2;match;0;48;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
703;65;1/16;191/4;383;2;adaptation;0;48;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
704;64;1/16;765/16;384;2;ornamentation;0;48;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
705;62;1/16;383/8;385;2;repetition;0;48;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
706;60;1/16;767/16;386;2;ornamentation;0;48;False;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
707;43;1/4;48;387;5;match;4;48;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
708;55;1/4;48;387;4;match;3;48;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
708;55;1/4;48;387;3;match;2;48;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
709;58;1/4;48;387;2;match;1;48;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
710;70;1/4;48;387;0;match;0;48;True;[monotonic_perfect_fifth_0_1, monotonic_perfect_fifth_0_0]
733;53;1/8;99/2;397;5;ficta;4;49;True;[monotonic]
732;50;1/8;99/2;397;4;match;3;49;True;[monotonic]
734;57;1/8;99/2;397;3;match;2;49;True;[monotonic]
735;62;1/8;99/2;397;2;repetition;1;49;True;[monotonic]
736;69;1/8;99/2;397;0;repetition;0;49;True;[monotonic]
737;67;1/16;397/8;398;1;adaptation;0;49;False;[monotonic]
738;65;1/16;795/16;399;1;ornamentation;0;49;False;[monotonic]
739;64;1/16;199/4;400;1;repetition;0;49;False;[monotonic]
740;62;1/16;797/16;401;2;ornamentation;0;49;False;[monotonic]
741;64;1/32;399/8;402;2;adaptation;0;49;True;[monotonic]
740;62;1/16;797/16;401;2;ornamentation;0;50;True;[monotonic]
741;64;1/32;399/8;402;2;adaptation;0;50;False;[monotonic]
742;65;1/32;1597/32;403;0;ornamentation;0;50;False;[monotonic]
743;67;1/32;799/16;404;0;ornamentation;0;50;False;[monotonic]
744;69;1/32;1599/32;405;0;ornamentation;0;50;False;[monotonic]
746;55;1/4;50;406;5;match;4;50;True;[monotonic]
745;43;1/4;50;406;4;match;3;50;True;[monotonic]
747;58;1/4;50;406;3;match;2;50;True;[monotonic]
747;58;1/4;50;406;1;match;1;50;True;[monotonic]
748;67;1/4;50;406;0;match;0;50;True;[monotonic]
746;55;1/4;50;406;5;match;4;51;True;[monotonic_perfect_fifth_0_2_chords]
745;43;1/4;50;406;4;match;3;51;True;[monotonic_perfect_fifth_0_2_chords]
747;58;1/4;50;406;3;match;2;51;True;[monotonic_perfect_fifth_0_2_chords]
747;58;1/4;50;406;1;match;1;51;True;[monotonic_perfect_fifth_0_2_chords]
748;67;1/4;50;406;0;match;0;51;True;[monotonic_perfect_fifth_0_2_chords]
750;58;1/16;201/4;407;4;match;2;51;False;[monotonic_perfect_fifth_0_2_chords]
751;62;1/16;201/4;407;2;match;1;51;False;[monotonic_perfect_fifth_0_2_chords]
749;55;1/16;201/4;407;1;match;0;51;False;[monotonic_perfect_fifth_0_2_chords]
752;57;1/16;805/16;408;1;ornamentation;0;51;False;[monotonic_perfect_fifth_0_2_chords]
753;58;1/16;403/8;409;1;ornamentation;0;51;False;[monotonic_perfect_fifth_0_2_chords]
754;60;1/16;807/16;410;1;ornamentation;0;51;False;[monotonic_perfect_fifth_0_2_chords]
755;55;1/8;101/2;411;3;match;3;51;True;[monotonic_perfect_fifth_0_2_chords]
757;62;1/8;101/2;411;2;match;2;51;True;[monotonic_perfect_fifth_0_2_chords]
756;58;1/8;101/2;411;1;match;1;51;True;[monotonic_perfect_fifth_0_2_chords]
758;67;1/8;101/2;411;0;repetition;0;51;True;[monotonic_perfect_fifth_0_2_chords]
845;62;1/8;453/8;456;2;ornamentation;0;58;True;[monotonic]
846;62;1/16;227/4;457;2;match;0;58;False;[monotonic]
847;64;1/16;909/16;458;1;ornamentation;0;58;False;[monotonic]
848;65;1/16;455/8;459;1;ornamentation;0;58;False;[monotonic]
849;67;1/16;911/16;460;1;ornamentation;0;58;False;[monotonic]
850;50;1/4;57;461;4;match;1;58;True;[monotonic]
851;65;1/4;57;461;1;match;0;58;True;[monotonic]
852;55;1/8;229/4;462;4;match;2;59;True;[non_monotonic]
853;58;1/8;229/4;462;2;match;1;59;True;[non_monotonic]
854;67;1/8;229/4;462;1;match;0;59;True;[non_monotonic]
855;60;1/32;459/8;463;2;ornamentation;0;59;False;[non_monotonic]
856;58;1/32;1837/32;464;2;ornamentation;0;59;False;[non_monotonic]
857;57;1/32;919/16;465;2;ornamentation;0;59;False;[non_monotonic]
858;58;1/32;1839/32;466;2;ornamentation;0;59;False;[non_monotonic]
859;52;1/8;115/2;467;4;match;2;59;True;[non_monotonic]
860;60;1/8;115/2;467;2;match;1;59;True;[non_monotonic]
861;67;1/8;115/2;467;1;repetition;0;59;True;[non_monotonic]
1060;62;1/8;70;561;3;match;3;77;True;[non_monotonic]
1060;62;1/8;70;561;2;match;2;77;True;[non_monotonic]
1060;62;1/8;70;561;1;match;1;77;True;[non_monotonic]
1061;69;1/8;70;561;0;match;0;77;True;[non_monotonic]
1062;70;1/32;561/8;562;0;ornamentation;0;77;False;[non_monotonic]
1063;69;1/32;2245/32;563;0;ornamentation;0;77;False;[non_monotonic]
1064;67;1/32;1123/16;564;0;ornamentation;0;77;False;[non_monotonic]
1065;69;1/32;2247/32;565;0;ornamentation;0;77;False;[non_monotonic]
1066;55;1/4;281/4;566;4;match;1;77;True;[non_monotonic]
1067;70;1/4;281/4;566;0;match;0;77;True;[non_monotonic]
1144;55;1/8;76;604;5;match;2;84;True;[non_monotonic]
1145;58;1/8;76;604;3;match;1;84;True;[non_monotonic]
1146;62;1/8;76;604;2;adaptation;0;84;True;[non_monotonic]
1147;60;1/32;609/8;605;3;ornamentation;0;84;False;[non_monotonic]
1148;58;1/32;2437/32;606;3;ornamentation;0;84;False;[non_monotonic]
1149;57;1/32;1219/16;607;3;ornamentation;0;84;False;[non_monotonic]
1150;58;1/32;2439/32;608;3;ornamentation;0;84;False;[non_monotonic]
1151;48;1/16;305/4;609;5;match;2;84;True;[non_monotonic]
1152;60;1/16;305/4;609;3;match;1;84;True;[non_monotonic]
1153;64;1/16;305/4;609;2;repetition;0;84;True;[non_monotonic]
1214;74;1/4;321/4;633;0;repetition;0;89;True;[non_monotonic_chords]
1215;46;1/8;161/2;634;5;match;3;89;False;[non_monotonic_chords]
1216;53;1/8;161/2;634;3;repetition;2;89;False;[non_monotonic_chords]
1217;62;1/8;161/2;634;2;repetition;1;89;False;[non_monotonic_chords]
1218;74;1/8;161/2;634;0;match;0;89;False;[non_monotonic_chords]
1219;76;1/8;645/8;635;0;ornamentation;0;89;False;[non_monotonic_chords]
1220;77;1/8;323/4;636;0;ornamentation;0;89;False;[non_monotonic_chords]
1221;76;1/8;647/8;637;0;ornamentation;0;89;False;[non_monotonic_chords]
1222;46;1/4;81;638;5;repetition;3;89;True;[non_monotonic_chords]
1223;58;1/4;81;638;3;match;2;89;True;[non_monotonic_chords]
1224;65;1/4;81;638;1;repetition;1;89;True;[non_monotonic_chords]
1225;74;1/4;81;638;0;match;0;89;True;[non_monotonic_chords]
1308;43;1/4;86;686;5;match;5;96;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1309;55;1/4;86;686;4;repetition;4;96;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1312;67;1/4;86;686;3;adaptation;3;96;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1311;62;1/4;86;686;2;match;2;96;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1310;58;1/4;86;686;1;match;1;96;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1313;74;1/4;86;686;0;match;0;96;True;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1314;67;1/16;345/4;687;2;adaptation;0;96;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1315;69;1/16;1381/16;688;0;ornamentation;0;96;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1316;70;1/16;691/8;689;0;ornamentation;0;96;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
1317;72;1/16;1383/16;690;0;ornamentation;0;96;False;[monotonic_perfect_fifth_0_2, monotonic_perfect_fifth_0_0]
