note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
12;57;1/16;17/16;7;2;ornamentation;0;1;True
13;58;1/32;9/8;8;2;ornamentation;0;1;False
14;57;1/32;37/32;9;2;ornamentation;0;1;False
15;58;1/32;19/16;10;2;ornamentation;0;1;False
16;60;1/32;39/32;11;2;ornamentation;0;1;False
17;58;1/8;5/4;12;2;match;0;1;True
31;57;1/8;5/2;21;3;match;2;4;True
32;67;1/8;5/2;21;2;repetition;1;4;True
33;72;1/8;5/2;21;0;match;0;4;True
34;66;1/16;21/8;22;2;match;0;4;False
35;64;1/16;43/16;23;2;ornamentation;0;4;False
36;66;1/16;11/4;24;2;match;0;4;False
37;67;1/16;45/16;25;2;ornamentation;0;4;False
38;64;1/16;23/8;26;2;match;0;4;False
39;66;1/16;47/16;27;2;ornamentation;0;4;False
40;55;1/4;3;28;3;match;2;4;True
41;67;1/4;3;28;2;match;1;4;True
42;70;1/4;3;28;0;match;0;4;True
64;64;1/8;37/8;39;1;ornamentation;0;6;True
65;62;1/16;19/4;40;1;ornamentation;0;6;False
66;64;1/16;77/16;41;1;ornamentation;0;6;False
67;65;1/16;39/8;42;1;repetition;0;6;False
68;67;1/16;79/16;43;1;ornamentation;0;6;False
69;50;1/8;5;44;3;repetition;3;6;True
70;57;1/8;5;44;2;match;2;6;True
71;65;1/8;5;44;1;match;1;6;True
71;65;1/8;5;44;0;match;0;6;True
159;55;3/16;12;91;5;match;2;13;True
158;43;3/16;12;91;4;match;1;13;True
160;58;3/16;12;91;3;match;0;13;True
161;57;1/16;195/16;92;3;ornamentation;0;13;False
162;55;1/16;49/4;93;3;ornamentation;0;13;False
163;57;1/16;197/16;94;3;ornamentation;0;13;False
164;58;1/16;99/8;95;3;ornamentation;0;13;False
165;60;1/16;199/16;96;3;ornamentation;0;13;False
166;55;1/4;25/2;97;4;match;1;13;True
167;58;1/4;25/2;97;3;repetition;0;13;True
195;55;1/8;15;111;5;match;3;15;True
197;62;1/8;15;111;2;match;2;15;True
196;58;1/8;15;111;1;match;1;15;True
198;67;1/8;15;111;0;match;0;15;True
199;43;1/16;121/8;112;1;ornamentation;0;15;False
200;57;1/16;243/16;113;1;ornamentation;0;15;False
201;58;1/16;61/4;114;1;repetition;0;15;False
202;60;1/16;245/16;115;2;ornamentation;0;15;False
203;62;1/16;123/8;116;2;repetition;0;15;False
204;64;1/16;247/16;117;2;ornamentation;0;15;False
205;50;1/4;31/2;118;5;match;3;15;True
207;65;1/4;31/2;118;2;match;2;15;True
206;57;1/4;31/2;118;1;match;1;15;True
208;69;1/4;31/2;118;0;match;0;15;True
242;67;1/16;291/16;135;0;ornamentation;0;16;True
243;69;1/32;73/4;136;0;ornamentation;0;16;False
244;67;1/32;585/32;137;0;ornamentation;0;16;False
245;65;1/32;293/16;138;0;ornamentation;0;16;False
246;67;1/32;587/32;139;0;ornamentation;0;16;False
247;69;1/32;147/8;140;0;ornamentation;0;16;False
248;67;1/32;589/32;141;0;ornamentation;0;16;False
249;65;1/32;295/16;142;0;ornamentation;0;16;False
250;64;1/32;591/32;143;0;ornamentation;0;16;False
251;50;1/4;37/2;144;5;match;3;16;True
252;57;1/4;37/2;144;3;match;2;16;True
252;57;1/4;37/2;144;1;match;1;16;True
253;65;1/4;37/2;144;0;match;0;16;True
261;55;1/8;39/2;149;4;match;3;17;True
262;58;1/8;39/2;149;3;match;2;17;True
263;62;1/8;39/2;149;2;match;1;17;True
261;55;1/8;39/2;149;1;match;0;17;True
264;43;1/16;157/8;150;3;ornamentation;0;17;False
265;57;1/16;315/16;151;3;ornamentation;0;17;False
266;58;1/16;79/4;152;3;repetition;0;17;False
267;60;1/16;317/16;153;2;ornamentation;0;17;False
268;62;1/16;159/8;154;2;repetition;0;17;False
269;64;1/16;319/16;155;2;ornamentation;0;17;False
270;50;1/8;20;156;4;match;3;17;True
272;57;1/8;20;156;3;match;2;17;True
273;65;1/8;20;156;2;match;1;17;True
271;53;1/8;20;156;1;match;0;17;True
355;48;1/8;51/2;194;5;match;4;22;True
356;52;1/8;51/2;194;4;match;3;22;True
357;55;1/8;51/2;194;3;match;2;22;True
358;60;1/8;51/2;194;2;match;1;22;True
359;64;1/8;51/2;194;1;match;0;22;True
360;65;1/16;205/8;195;3;ornamentation;0;22;False
361;64;1/16;411/16;196;3;ornamentation;0;22;False
362;62;1/16;103/4;197;3;ornamentation;0;22;False
363;60;1/16;413/16;198;3;ornamentation;0;22;False
364;58;1/16;207/8;199;3;ornamentation;0;22;False
365;57;1/16;415/16;200;3;ornamentation;0;22;False
366;46;1/4;26;201;5;match;4;22;True
367;53;1/4;26;201;4;match;3;22;True
368;58;1/4;26;201;3;match;2;22;True
369;62;1/4;26;201;2;match;1;22;True
369;62;1/4;26;201;1;match;0;22;True
389;50;1/8;55/2;210;5;repetition;3;24;True
390;57;1/8;55/2;210;3;match;2;24;True
391;62;1/8;55/2;210;2;repetition;1;24;True
392;67;1/8;55/2;210;0;repetition;0;24;True
393;66;1/16;221/8;211;0;repetition;0;24;False
394;64;1/16;443/16;212;0;ornamentation;0;24;False
395;66;1/16;111/4;213;0;adaptation;0;24;False
396;67;1/16;445/16;214;1;ornamentation;0;24;False
397;64;1/16;223/8;215;1;adaptation;0;24;False
398;66;1/16;447/16;216;0;ornamentation;0;24;False
399;43;1/4;28;217;5;match;3;24;True
