note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
454;55;1/8;63/2;241;3;repetition;0;4;True;4;[non_monotonic]
463;57;1/32;259/8;248;3;ornamentation;0;4;False;4;[non_monotonic]
464;55;1/32;1037/32;249;3;ornamentation;0;4;False;4;[non_monotonic]
465;54;1/32;519/16;250;3;ornamentation;0;4;False;4;[non_monotonic]
466;55;1/32;1039/32;251;3;ornamentation;0;4;False;4;[non_monotonic]
468;54;1/8;65/2;252;3;adaptation;0;4;True;4;[non_monotonic]
1145;58;1/8;76;604;3;match;1;11;True;11;[non_monotonic]
1147;60;1/32;609/8;605;3;ornamentation;0;11;False;11;[non_monotonic]
1148;58;1/32;2437/32;606;3;ornamentation;0;11;False;11;[non_monotonic]
1149;57;1/32;1219/16;607;3;ornamentation;0;11;False;11;[non_monotonic]
1150;58;1/32;2439/32;608;3;ornamentation;0;11;False;11;[non_monotonic]
1152;60;1/16;305/4;609;3;match;1;11;True;11;[non_monotonic]
1061;69;1/8;70;561;0;match;0;32;True;20;[non_monotonic]
1062;70;1/32;561/8;562;0;ornamentation;0;32;False;20;[non_monotonic]
1063;69;1/32;2245/32;563;0;ornamentation;0;32;False;20;[non_monotonic]
1064;67;1/32;1123/16;564;0;ornamentation;0;32;False;20;[non_monotonic]
1065;69;1/32;2247/32;565;0;ornamentation;0;32;False;20;[non_monotonic]
1067;70;1/4;281/4;566;0;match;0;32;True;20;[non_monotonic]
1214;74;1/4;321/4;633;0;repetition;0;34;True;22;[non_monotonic]
1218;74;1/8;161/2;634;0;match;0;34;False;22;[non_monotonic]
1219;76;1/8;645/8;635;0;ornamentation;0;34;False;22;[non_monotonic]
1220;77;1/8;323/4;636;0;ornamentation;0;34;False;22;[non_monotonic]
1221;76;1/8;647/8;637;0;ornamentation;0;34;False;22;[non_monotonic]
1225;74;1/4;81;638;0;match;0;34;True;22;[non_monotonic]
1323;74;1/4;173/2;691;0;match;0;38;True;26;[non_monotonic]
1330;74;1/8;87;693;0;match;0;38;False;26;[non_monotonic]
1331;72;1/8;697/8;694;0;ornamentation;0;38;False;26;[non_monotonic]
1332;74;1/8;349/4;695;0;ornamentation;0;38;False;26;[non_monotonic]
1333;75;1/8;699/8;696;0;ornamentation;0;38;False;26;[non_monotonic]
1339;74;1/4;175/2;697;0;repetition;0;38;True;26;[non_monotonic]
12;57;1/16;17/16;7;2;ornamentation;0;40;True;1;[non_monotonic]
13;58;1/32;9/8;8;2;ornamentation;0;40;False;1;[non_monotonic]
14;57;1/32;37/32;9;2;ornamentation;0;40;False;1;[non_monotonic]
15;58;1/32;19/16;10;2;ornamentation;0;40;False;1;[non_monotonic]
16;60;1/32;39/32;11;2;ornamentation;0;40;False;1;[non_monotonic]
17;58;1/8;5/4;12;2;match;0;40;True;1;[non_monotonic]
106;57;1/4;8;64;2;match;2;43;True;4;[monotonic_perfect_fifth_1_1]
109;55;1/8;33/4;65;2;match;1;43;False;4;[monotonic_perfect_fifth_1_1]
111;57;1/8;67/8;66;2;ornamentation;0;43;False;4;[monotonic_perfect_fifth_1_1]
112;58;1/8;17/2;67;2;match;1;43;False;4;[monotonic_perfect_fifth_1_1]
116;60;1/8;71/8;70;2;match;1;43;False;4;[monotonic_perfect_fifth_1_1]
120;62;1/4;9;71;2;match;1;43;True;4;[monotonic_perfect_fifth_1_1]
297;57;1/4;43/2;166;2;match;2;46;True;7;[monotonic]
313;62;1/16;91/4;173;2;match;0;46;False;7;[monotonic]
314;64;1/16;365/16;174;2;ornamentation;0;46;False;7;[monotonic]
315;65;1/16;183/8;175;2;ornamentation;0;46;False;7;[monotonic]
316;67;1/16;367/16;176;2;ornamentation;0;46;False;7;[monotonic]
319;65;1/8;23;177;2;match;0;46;True;7;[monotonic]
628;60;1/8;43;337;2;match;1;52;True;13;[non_monotonic]
630;62;1/32;345/8;338;2;ornamentation;0;52;False;13;[non_monotonic]
