note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
18,69,1/8,2,13,0,match,0,32,True,0
19,66,1/16,17/8,14,0,ornamentation,0,32,False,0
20,67,1/16,35/16,15,0,ornamentation,0,32,False,0
21,69,1/16,9/4,16,0,repetition,0,32,False,0
26,69,1/4,5/2,20,0,repetition,0,32,True,0
183,67,1/8,14,119,0,repetition,0,33,True,1
184,66,1/16,113/8,120,0,ornamentation,0,33,False,1
185,67,1/16,227/16,121,0,ornamentation,0,33,False,1
186,69,1/16,57/4,122,0,adaptation,0,33,False,1
187,67,1/16,229/16,123,0,ornamentation,0,33,False,1
188,66,1/16,115/8,124,0,repetition,0,33,False,1
189,64,1/16,231/16,125,0,ornamentation,0,33,False,1
191,66,1/8,29/2,126,0,match,0,33,True,1
189,64,1/16,231/16,125,0,ornamentation,0,34,True,2
191,66,1/8,29/2,126,0,match,0,34,False,2
192,67,1/8,117/8,127,0,ornamentation,0,34,False,2
196,67,1/8,59/4,128,0,adaptation,0,34,False,2
197,66,1/8,119/8,129,0,ornamentation,0,34,False,2
201,67,1/4,15,130,0,match,0,34,True,2
278,67,1/8,41/2,172,0,match,0,35,True,3
279,66,1/16,165/8,173,0,ornamentation,0,35,False,3
280,67,1/16,331/16,174,0,ornamentation,0,35,False,3
281,69,1/16,83/4,175,0,adaptation,0,35,False,3
282,67,1/16,333/16,176,0,ornamentation,0,35,False,3
283,65,1/16,167/8,177,0,adaptation,0,35,False,3
284,64,1/16,335/16,178,0,ornamentation,0,35,False,3
288,65,1/8,21,179,0,match,0,35,True,3
284,64,1/16,335/16,178,0,ornamentation,0,36,True,4
288,65,1/8,21,179,0,match,0,36,False,4
297,64,1/8,43/2,186,0,match,0,36,False,4
298,66,1/8,173/8,187,0,ornamentation,0,36,False,4
301,67,1/4,87/4,188,0,match,0,36,True,4
390,71,1/4,28,234,0,match,0,37,True,5
392,69,1/8,113/4,235,0,match,0,37,False,5
393,71,1/8,227/8,236,0,ornamentation,0,37,False,5
395,72,1/8,57/2,237,0,match,0,37,False,5
399,72,1/8,115/4,240,0,repetition,0,37,False,5
401,71,1/8,231/8,241,0,match,0,37,False,5
403,69,1/8,29,242,0,match,0,37,False,5
404,67,1/8,233/8,243,0,match,0,37,False,5
406,67,1/8,117/4,244,0,match,0,37,False,5
413,67,1/8,59/2,249,0,repetition,0,37,False,5
414,66,1/16,237/8,250,0,match,0,37,True,5
413,67,1/8,59/2,249,0,repetition,0,38,True,6
414,66,1/16,237/8,250,0,match,0,38,False,6
415,64,1/16,475/16,251,0,ornamentation,0,38,False,6
416,66,1/16,119/4,252,0,match,0,38,False,6
417,67,1/16,477/16,253,0,ornamentation,0,38,False,6
418,64,1/16,239/8,254,0,match,0,38,False,6
419,66,1/16,479/16,255,0,ornamentation,0,38,False,6
422,67,3/16,30,256,0,match,0,38,True,6
430,67,1/8,61/2,262,0,repetition,0,39,True,7
528,61,1/16,293/8,336,0,ornamentation,0,39,False,7
529,59,1/16,587/16,337,0,ornamentation,0,39,False,7
530,61,1/16,147/4,338,0,ornamentation,0,39,False,7
531,62,1/16,589/16,339,0,ornamentation,0,39,False,7
532,64,1/16,295/8,340,0,ornamentation,0,39,False,7
533,66,1/16,591/16,341,0,ornamentation,0,39,False,7
538,67,1/4,37,342,0,match,0,39,True,7
770,65,1/8,205/4,460,0,repetition,0,40,True,8
771,67,1/16,411/8,461,0,ornamentation,0,40,False,8
772,65,1/16,823/16,462,0,ornamentation,0,40,False,8
774,64,1/8,103/2,463,0,match,0,40,True,8
774,64,1/8,103/2,463,0,match,0,41,True,9
782,64,1/16,833/16,471,0,ornamentation,0,41,False,9
783,65,1/16,417/8,472,0,ornamentation,0,41,False,9
784,67,1/16,835/16,473,0,ornamentation,0,41,False,9
786,65,1/8,209/4,474,0,repetition,0,41,True,9
798,67,1/8,425/8,480,0,match,0,42,True,10
799,69,1/16,213/4,481,0,adaptation,0,42,False,10
800,67,1/16,853/16,482,0,ornamentation,0,42,False,10
801,66,1/16,427/8,483,0,ornamentation,0,42,False,10
802,64,1/16,855/16,484,0,ornamentation,0,42,False,10
805,66,1/16,107/2,485,0,adaptation,0,42,False,10
806,67,1/4,857/16,486,0,repetition,0,42,True,10
806,67,1/4,857/16,486,0,repetition,0,43,True,11
807,66,1/16,861/16,487,0,ornamentation,0,43,False,11
808,67,1/32,431/8,488,0,ornamentation,0,43,True,11
807,66,1/16,861/16,487,0,ornamentation,0,44,True,12
808,67,1/32,431/8,488,0,ornamentation,0,44,False,12
809,66,1/32,1725/32,489,0,ornamentation,0,44,False,12
810,64,1/32,863/16,490,0,ornamentation,0,44,False,12
811,66,1/32,1727/32,491,0,ornamentation,0,44,False,12
813,67,1/4,54,492,0,match,0,44,True,12
930,69,1/4,247/4,556,0,match,0,45,True,13
933,67,1/8,62,557,0,match,0,45,False,13
934,65,1/8,497/8,558,0,match,0,45,False,13
937,67,1/8,249/4,559,0,match,0,45,False,13
938,64,1/8,499/8,560,0,match,0,45,False,13
942,65,1/8,125/2,561,0,match,0,45,False,13
943,67,1/8,501/8,562,0,ornamentation,0,45,False,13
945,69,1/8,251/4,563,0,match,0,45,False,13
946,71,1/8,503/8,564,0,ornamentation,0,45,False,13
950,69,1/8,63,565,0,repetition,0,45,False,13
951,67,1/8,505/8,566,0,match,0,45,False,13
955,67,1/8,253/4,567,0,match,0,45,False,13
960,67,1/8,127/2,569,0,repetition,0,45,False,13
961,66,1/16,509/8,570,0,match,0,45,True,13
960,67,1/8,127/2,569,0,repetition,0,46,True,14
961,66,1/16,509/8,570,0,match,0,46,False,14
962,64,1/16,1019/16,571,0,ornamentation,0,46,False,14
964,67,1/16,255/4,572,0,adaptation,0,46,False,14
965,64,1/16,1021/16,573,0,ornamentation,0,46,False,14
966,66,1/8,511/8,574,0,repetition,0,46,True,14
1084,74,1/4,283/4,627,0,match,0,47,True,15
1088,72,1/8,569/8,629,0,match,0,47,False,15
1092,72,1/8,285/4,630,0,match,0,47,False,15
1100,72,1/8,287/4,634,0,repetition,0,47,False,15
1101,71,1/8,575/8,635,0,ornamentation,0,47,False,15
1105,72,1/4,72,636,0,match,0,47,True,15
1105,72,1/4,72,636,0,match,0,48,True,16
1110,72,1/8,145/2,638,0,repetition,0,48,False,16
1309,72,1/8,86,773,0,match,0,48,False,16
1314,72,1/8,691/8,776,0,ornamentation,0,48,False,16
1319,71,1/4,173/2,777,0,match,0,48,True,16
1416,71,3/16,93,819,0,match,0,49,True,17
1417,69,1/16,1491/16,820,0,ornamentation,0,49,False,17
1418,71,1/16,373/4,821,0,ornamentation,0,49,False,17
1419,69,1/16,1493/16,822,0,ornamentation,0,49,False,17
1420,67,1/16,747/8,823,0,match,0,49,False,17
1421,66,1/16,1495/16,824,0,ornamentation,0,49,False,17
1423,67,1/4,187/2,825,0,match,0,49,True,17
1428,74,1/4,375/4,826,0,match,0,50,True,18
1433,72,1/8,94,827,0,match,0,50,False,18
1434,71,1/8,753/8,828,0,ornamentation,0,50,False,18
1439,71,1/4,377/4,829,0,match,0,50,True,18
1455,71,3/16,95,837,0,match,0,51,True,19
1456,69,1/16,1523/16,838,0,ornamentation,0,51,False,19
1457,67,1/16,381/4,839,0,ornamentation,0,51,False,19
1458,69,1/16,1525/16,840,0,ornamentation,0,51,False,19
1459,71,1/16,763/8,841,0,ornamentation,0,51,False,19
1460,72,1/16,1527/16,842,0,ornamentation,0,51,False,19
1462,74,1/4,191/2,843,0,match,0,51,True,19
1462,74,1/4,191/2,843,0,match,0,52,True,20
1467,74,1/8,767/8,845,0,ornamentation,0,52,False,20
1472,72,1/4,96,846,0,match,0,52,True,20
1511,71,1/8,197/2,865,0,repetition,0,53,True,21
1512,69,1/16,789/8,866,0,ornamentation,0,53,False,21
1513,67,1/16,1579/16,867,0,ornamentation,0,53,False,21
1514,66,1/16,395/4,868,0,ornamentation,0,53,False,21
1515,67,1/16,1581/16,869,0,ornamentation,0,53,False,21
1516,69,1/16,791/8,870,0,ornamentation,0,53,False,21
1517,71,1/16,1583/16,871,0,ornamentation,0,53,False,21
1522,72,1/8,99,872,0,match,0,53,True,21
1540,72,1/8,100,882,0,repetition,0,54,True,22
1544,67,1/16,1605/16,886,0,ornamentation,0,54,False,22
1545,69,1/16,803/8,887,0,ornamentation,0,54,False,22
1546,71,1/16,1607/16,888,0,ornamentation,0,54,False,22
1551,72,1/8,201/2,889,0,repetition,0,54,True,22
1546,71,1/16,1607/16,888,0,ornamentation,0,55,True,23
1551,72,1/8,201/2,889,0,repetition,0,55,False,23
1552,71,1/8,805/8,890,0,ornamentation,0,55,False,23
1553,69,1/8,403/4,891,0,ornamentation,0,55,False,23
1554,67,1/8,807/8,892,0,ornamentation,0,55,False,23
1559,69,1/4,101,893,0,match,0,55,True,23
1559,69,1/4,101,893,0,match,0,56,True,24
1560,62,1/16,405/4,894,0,ornamentation,0,56,False,24
1561,64,1/16,1621/16,895,0,ornamentation,0,56,False,24
1562,66,1/16,811/8,896,0,ornamentation,0,56,False,24
1563,67,1/16,1623/16,897,0,ornamentation,0,56,False,24
1568,69,1/4,203/2,898,0,repetition,0,56,True,24
1590,66,3/16,103,910,0,ficta,0,57,True,25
1591,64,1/16,1651/16,911,0,ornamentation,0,57,False,25
1592,62,1/16,413/4,912,0,ornamentation,0,57,False,25
1593,64,1/16,1653/16,913,0,ornamentation,0,57,False,25
1594,66,1/16,827/8,914,0,ornamentation,0,57,False,25
1595,67,1/16,1655/16,915,0,ornamentation,0,57,False,25
1596,69,1/16,207/2,916,0,adaptation,0,57,False,25
1603,66,1/8,831/8,921,0,ornamentation,0,57,True,25
1596,69,1/16,207/2,916,0,adaptation,0,58,True,26
1603,66,1/8,831/8,921,0,ornamentation,0,58,False,26
1608,67,3/8,104,922,0,match,0,58,True,26
1623,67,1/8,105,927,0,match,0,59,True,27
1624,61,1/16,841/8,928,0,ornamentation,0,59,False,27
1625,62,1/16,1683/16,929,0,ornamentation,0,59,False,27
1626,64,1/16,421/4,930,0,ornamentation,0,59,False,27
1627,66,1/16,1685/16,931,0,ornamentation,0,59,False,27
1628,67,1/16,843/8,932,0,ornamentation,0,59,False,27
1629,69,1/16,1687/16,933,0,ornamentation,0,59,False,27
1634,67,1/8,211/2,934,0,repetition,0,59,True,27
2,55,3/16,1/2,1,1,match,1,0,True,0
4,54,1/16,11/16,2,1,ornamentation,0,0,False,0
5,55,1/8,3/4,3,1,ornamentation,0,0,True,0
4,54,1/16,11/16,2,1,ornamentation,0,1,True,1
