output_csv,sequence_length,count,sequence_ids
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,1,1,17
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,2,7,"4,11,24,25,27,28,34"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,4,14,"5,7,8,12,14,15,19,20,22,23,26,32,35,36"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,5,5,"0,1,29,30,33"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,6,7,"2,9,16,18,21,38,40"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,7,2,"3,13"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,8,2,"10,31"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,11,1,37
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,13,1,6
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab.csv,35,1,39
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab_fourstep.csv,4,11,"5,7,12,15,19,20,22,23,26,35,36"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab_non_chord.csv,1,1,17
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab_non_chord.csv,2,5,"4,11,24,28,34"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab_non_chord.csv,4,11,"5,7,8,12,14,15,19,20,22,23,35"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab_non_chord.csv,5,5,"0,1,29,30,33"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab_non_chord.csv,6,7,"2,9,16,18,21,38,40"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_abtab_non_chord.csv,8,1,10
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_raw.csv,4,15,"4,6,7,10,12,13,16,17,19,20,21,25,26,28,29"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_raw.csv,5,5,"0,1,22,23,27"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_raw.csv,6,7,"2,8,14,15,18,31,34"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_raw.csv,7,2,"3,11"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_raw.csv,8,3,"9,24,32"
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_raw.csv,11,1,30
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_raw.csv,13,1,5
output/5254_03_benedicta_es_coelorum_desprez-2/5254_03_benedicta_es_coelorum_desprez-2_tab_raw.csv,35,1,33
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_raw_fourstep.csv,4,12,"4,6,10,13,16,17,19,20,21,25,28,29"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_raw_non_chord.csv,4,11,"4,6,7,10,12,13,16,17,19,20,28"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_raw_non_chord.csv,5,5,"0,1,22,23,27"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_raw_non_chord.csv,6,7,"2,8,14,15,18,31,34"
output/5254_03_benedicta_es_coelorum_desprez-2/fourstep/5254_03_benedicta_es_coelorum_desprez-2_tab_raw_non_chord.csv,8,1,9
output/5254_03_benedicta_es_coelorum_desprez-2/voices/5254_03_benedicta_es_coelorum_desprez-2_voice-1.csv,2,2,"1,3"
output/5254_03_benedicta_es_coelorum_desprez-2/voices/5254_03_benedicta_es_coelorum_desprez-2_voice-1.csv,3,2,"6,15"
output/5254_03_benedicta_es_coelorum_desprez-2/voices/5254_03_benedicta_es_coelorum_desprez-2_voice-1.csv,4,3,"4,10,11"
output/5254_03_benedicta_es_coelorum_desprez-2/voices/5254_03_benedicta_es_coelorum_desprez-2_voice-1.csv,5,3,"0,12,13"
output/5254_03_benedicta_es_coelorum_desprez-2/voices/5254_03_benedicta_es_coelorum_desprez-2_voice-1.csv,6,4,"2,7,9,14"
