note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
0,62,3/16,0,0,1,match,0,0,True
1,60,1/16,3/16,1,1,ornamentation,0,0,False
2,62,1/16,1/4,2,1,ornamentation,0,0,False
3,64,1/16,5/16,3,1,ornamentation,0,0,False
4,65,1/16,3/8,4,1,ornamentation,0,0,False
5,67,1/16,7/16,5,1,ornamentation,0,0,False
6,65,3/16,1/2,6,1,match,1,0,True
7,69,3/16,1/2,6,0,match,0,0,True
6,65,3/16,1/2,6,1,match,1,1,True
7,69,3/16,1/2,6,0,match,0,1,True
8,67,1/16,11/16,7,1,ornamentation,0,1,False
9,65,1/16,3/4,8,1,match,0,1,False
10,67,1/16,13/16,9,0,ornamentation,0,1,False
11,69,1/16,7/8,10,0,ornamentation,0,1,False
12,71,1/16,15/16,11,0,ornamentation,0,1,False
13,65,1/8,1,12,1,match,1,1,True
14,72,1/8,1,12,0,match,0,1,True
13,65,1/8,1,12,1,match,1,2,True
14,72,1/8,1,12,0,match,0,2,True
15,64,1/16,9/8,13,1,ornamentation,0,2,False
16,65,1/16,19/16,14,1,ornamentation,0,2,False
17,67,1/16,5/4,15,1,adaptation,0,2,False
18,65,1/16,21/16,16,1,ornamentation,0,2,False
19,64,1/16,11/8,17,1,ornamentation,0,2,False
20,62,1/16,23/16,18,1,ornamentation,0,2,False
21,64,1/4,3/2,19,1,match,1,2,True
22,72,1/4,3/2,19,0,match,0,2,True
21,64,1/4,3/2,19,1,match,1,3,True
22,72,1/4,3/2,19,0,match,0,3,True
23,60,1/8,7/4,20,1,match,0,3,False
24,62,1/8,15/8,21,1,match,0,3,False
25,64,1/8,2,22,1,match,1,3,False
26,71,1/8,2,22,0,match,0,3,False
27,66,1/8,17/8,23,1,ficta,0,3,False
28,67,1/8,9/4,24,1,match,1,3,False
29,67,1/8,9/4,24,0,match,0,3,False
30,71,1/8,19/8,25,0,ornamentation,0,3,False
31,67,1/8,5/2,26,1,repetition,1,3,False
32,69,1/8,5/2,26,0,match,0,3,False
33,66,1/16,21/8,27,1,match,0,3,True
31,67,1/8,5/2,26,1,repetition,1,4,True
32,69,1/8,5/2,26,0,match,0,4,True
33,66,1/16,21/8,27,1,match,0,4,False
34,64,1/16,43/16,28,1,ornamentation,0,4,False
35,66,1/8,11/4,29,1,match,1,4,True
36,69,1/8,11/4,29,0,repetition,0,4,True
35,66,1/8,11/4,29,1,match,1,5,True
36,69,1/8,11/4,29,0,repetition,0,5,True
37,67,1/32,23/8,30,1,adaptation,0,5,False
38,66,1/32,93/32,31,1,ornamentation,0,5,False
39,64,1/32,47/16,32,1,ornamentation,0,5,False
40,66,1/32,95/32,33,1,ornamentation,0,5,False
41,67,1/8,3,34,1,match,1,5,True
42,67,1/8,3,34,0,match,0,5,True
40,66,1/32,95/32,33,1,ornamentation,0,6,True
41,67,1/8,3,34,1,match,1,6,False
42,67,1/8,3,34,0,match,0,6,False
43,69,1/8,25/8,35,0,match,0,6,False
44,55,1/8,13/4,36,1,match,1,6,False
