note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
35;66;1/8;11/4;29;1;match;1;4;True;4;[non_monotonic]
37;67;1/32;23/8;30;1;adaptation;0;4;False;4;[non_monotonic]
38;66;1/32;93/32;31;1;ornamentation;0;4;False;4;[non_monotonic]
39;64;1/32;47/16;32;1;ornamentation;0;4;False;4;[non_monotonic]
40;66;1/32;95/32;33;1;ornamentation;0;4;False;4;[non_monotonic]
41;67;1/8;3;34;1;match;1;4;True;4;[non_monotonic]
170;59;1/8;95/8;142;1;ornamentation;0;11;True;11;[monotonic_perfect_fifth_1_1]
171;60;1/16;12;143;1;match;1;11;False;11;[monotonic_perfect_fifth_1_1]
173;62;1/16;193/16;144;1;ornamentation;0;11;False;11;[monotonic_perfect_fifth_1_1]
174;64;1/16;97/8;145;1;ornamentation;0;11;False;11;[monotonic_perfect_fifth_1_1]
175;66;1/16;195/16;146;1;ornamentation;0;11;False;11;[monotonic_perfect_fifth_1_1]
176;67;1/4;49/4;147;1;match;1;11;True;11;[monotonic_perfect_fifth_1_1]
99;69;1/8;15/2;79;0;repetition;0;24;True;6;[non_monotonic]
100;71;1/32;61/8;80;0;ornamentation;0;24;False;6;[non_monotonic]
101;69;1/32;245/32;81;0;ornamentation;0;24;False;6;[non_monotonic]
102;67;1/32;123/16;82;0;ornamentation;0;24;False;6;[non_monotonic]
103;69;1/32;247/32;83;0;ornamentation;0;24;False;6;[non_monotonic]
105;71;1/8;31/4;84;0;match;0;24;True;6;[non_monotonic]
117;66;1/16;141/16;94;0;ornamentation;0;26;True;8;[non_monotonic]
118;67;1/32;71/8;95;0;adaptation;0;26;False;8;[non_monotonic]
119;66;1/32;285/32;96;0;ornamentation;0;26;False;8;[non_monotonic]
120;64;1/32;143/16;97;0;ornamentation;0;26;False;8;[non_monotonic]
121;66;1/32;287/32;98;0;ornamentation;0;26;False;8;[non_monotonic]
123;67;1/8;9;99;0;match;0;26;True;8;[non_monotonic]
137;69;1/8;10;113;0;match;0;30;True;12;[non_monotonic]
138;67;1/16;81/8;114;0;ornamentation;0;30;False;12;[non_monotonic]
139;69;1/16;163/16;115;0;ornamentation;0;30;False;12;[non_monotonic]
140;71;1/16;41/4;116;0;ornamentation;0;30;False;12;[non_monotonic]
141;69;1/16;165/16;117;0;ornamentation;0;30;False;12;[non_monotonic]
142;71;1/32;83/8;118;0;ornamentation;0;30;True;12;[non_monotonic]
141;69;1/16;165/16;117;0;ornamentation;0;31;True;13;[non_monotonic]
142;71;1/32;83/8;118;0;ornamentation;0;31;False;13;[non_monotonic]
143;69;1/32;333/32;119;0;ornamentation;0;31;False;13;[non_monotonic]
144;67;1/32;167/16;120;0;ornamentation;0;31;False;13;[non_monotonic]
145;69;1/32;335/32;121;0;ornamentation;0;31;False;13;[non_monotonic]
147;71;1/8;21/2;122;0;match;0;31;True;13;[non_monotonic]
155;71;1/8;11;129;0;repetition;0;32;True;14;[non_monotonic]
156;67;1/16;89/8;130;0;ornamentation;0;32;False;14;[non_monotonic]
157;69;1/16;179/16;131;0;ornamentation;0;32;False;14;[non_monotonic]
158;71;1/16;45/4;132;0;repetition;0;32;False;14;[non_monotonic]
159;69;1/16;181/16;133;0;ornamentation;0;32;False;14;[non_monotonic]
160;71;1/32;91/8;134;0;ornamentation;0;32;True;14;[non_monotonic]
159;69;1/16;181/16;133;0;ornamentation;0;33;True;15;[monotonic]
160;71;1/32;91/8;134;0;ornamentation;0;33;False;15;[monotonic]
161;69;1/32;365/32;135;0;ornamentation;0;33;False;15;[monotonic]
162;67;1/32;183/16;136;0;ornamentation;0;33;False;15;[monotonic]
163;66;1/32;367/32;137;0;ornamentation;0;33;False;15;[monotonic]
165;67;1/8;23/2;138;0;match;0;33;True;15;[monotonic]
242;60;1/16;293/16;196;0;ornamentation;0;40;True;22;[monotonic]
243;59;1/32;147/8;197;0;ornamentation;0;40;False;22;[monotonic]
244;60;1/32;589/32;198;0;ornamentation;0;40;False;22;[monotonic]
245;62;1/32;295/16;199;0;ornamentation;0;40;False;22;[monotonic]
246;64;1/32;591/32;200;0;ornamentation;0;40;False;22;[monotonic]
247;65;1/8;37/2;201;0;match;0;40;True;22;[monotonic]
246;64;1/32;591/32;200;0;ornamentation;0;41;True;23;[non_monotonic]
247;65;1/8;37/2;201;0;match;0;41;False;23;[non_monotonic]
248;64;1/8;149/8;202;0;ornamentation;0;41;False;23;[non_monotonic]
250;65;1/8;75/4;203;0;repetition;0;41;False;23;[non_monotonic]
251;67;1/8;151/8;204;0;match;0;41;False;23;[non_monotonic]
253;69;1/4;19;205;0;match;0;41;True;23;[non_monotonic]
