output_csv,duration,count,sequence_ids
output/5254_03_benedicta_es_coelorum_desprez-3/5254_03_benedicta_es_coelorum_desprez-3_tab_abtab.csv,1/32,2,"1,12"
output/5254_03_benedicta_es_coelorum_desprez-3/5254_03_benedicta_es_coelorum_desprez-3_tab_abtab.csv,1/16,17,"0,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18"
output/5254_03_benedicta_es_coelorum_desprez-3/fourstep/5254_03_benedicta_es_coelorum_desprez-3_tab_abtab_fourstep.csv,1/32,1,12
output/5254_03_benedicta_es_coelorum_desprez-3/fourstep/5254_03_benedicta_es_coelorum_desprez-3_tab_abtab_non_chord.csv,1/32,2,"1,12"
output/5254_03_benedicta_es_coelorum_desprez-3/fourstep/5254_03_benedicta_es_coelorum_desprez-3_tab_abtab_non_chord.csv,1/16,17,"0,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18"
output/5254_03_benedicta_es_coelorum_desprez-3/5254_03_benedicta_es_coelorum_desprez-3_tab_raw.csv,1/32,2,"0,10"
output/5254_03_benedicta_es_coelorum_desprez-3/5254_03_benedicta_es_coelorum_desprez-3_tab_raw.csv,1/16,8,"1,3,4,5,7,18,20,21"
output/5254_03_benedicta_es_coelorum_desprez-3/5254_03_benedicta_es_coelorum_desprez-3_tab_raw.csv,1/8,12,"2,6,8,9,11,12,13,14,15,16,17,19"
output/5254_03_benedicta_es_coelorum_desprez-3/fourstep/5254_03_benedicta_es_coelorum_desprez-3_tab_raw_fourstep.csv,1/32,1,10
output/5254_03_benedicta_es_coelorum_desprez-3/fourstep/5254_03_benedicta_es_coelorum_desprez-3_tab_raw_non_chord.csv,1/32,2,"0,10"
output/5254_03_benedicta_es_coelorum_desprez-3/fourstep/5254_03_benedicta_es_coelorum_desprez-3_tab_raw_non_chord.csv,1/16,8,"1,3,4,5,7,18,20,21"
output/5254_03_benedicta_es_coelorum_desprez-3/voices/5254_03_benedicta_es_coelorum_desprez-3_voice-1.csv,1/32,1,3
output/5254_03_benedicta_es_coelorum_desprez-3/voices/5254_03_benedicta_es_coelorum_desprez-3_voice-1.csv,1/16,5,"0,1,2,4,5"
output/5254_03_benedicta_es_coelorum_desprez-3/voices/5254_03_benedicta_es_coelorum_desprez-3_voice-1_fourstep.csv,1/32,1,3
output/5254_03_benedicta_es_coelorum_desprez-3/voices/5254_03_benedicta_es_coelorum_desprez-3_voice-0.csv,1/32,1,0
output/5254_03_benedicta_es_coelorum_desprez-3/voices/5254_03_benedicta_es_coelorum_desprez-3_voice-0.csv,1/16,9,"1,2,3,4,5,6,7,8,9"
output/5254_03_benedicta_es_coelorum_desprez-3/voices/5254_03_benedicta_es_coelorum_desprez-3_voice-3.csv,1/16,3,"0,1,2"
output/5254_03_benedicta_es_coelorum_desprez-3/voices/5254_03_benedicta_es_coelorum_desprez-3_voice-2.csv,1/16,4,"0,1,2,3"
output/5254_03_benedicta_es_coelorum_desprez-3/5254_03_benedicta_es_coelorum_desprez-3_voices_merged.csv,1/32,2,"3,6"
output/5254_03_benedicta_es_coelorum_desprez-3/5254_03_benedicta_es_coelorum_desprez-3_voices_merged.csv,1/16,21,"0,1,2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
output/5254_03_benedicta_es_coelorum_desprez-3/fourstep/5254_03_benedicta_es_coelorum_desprez-3_voices_merged_fourstep.csv,1/32,1,3
