note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
13,69,1/8,7/4,8,0,match,0,0,True
14,71,1/32,15/8,9,0,ornamentation,0,0,False
15,69,1/32,61/32,10,0,ornamentation,0,0,False
16,62,1/32,31/16,11,0,ornamentation,0,0,False
17,69,1/32,63/32,12,0,ornamentation,0,0,False
19,71,1/8,2,13,0,match,0,0,True
19,71,1/8,2,13,0,match,0,1,True
20,69,1/16,17/8,14,0,ornamentation,0,1,False
21,71,1/16,35/16,15,0,ornamentation,0,1,False
24,72,1/4,9/4,16,0,match,0,1,True
48,72,1/8,4,25,0,match,0,2,True
54,69,1/16,71/16,31,0,ornamentation,0,2,False
58,71,1/4,9/2,32,0,match,0,2,True
116,69,1/8,17/2,64,0,match,0,3,True
117,67,1/16,69/8,65,0,ornamentation,0,3,False
118,69,1/16,139/16,66,0,ornamentation,0,3,False
120,71,1/8,35/4,67,0,match,0,3,True
120,71,1/8,35/4,67,0,match,0,4,True
121,69,1/16,71/8,68,0,ornamentation,0,4,False
122,71,1/16,143/16,69,0,ornamentation,0,4,False
125,72,1/4,9,70,0,match,0,4,True
164,69,1/8,47/4,87,0,match,0,5,True
165,67,1/16,95/8,88,0,ornamentation,0,5,False
166,69,1/16,191/16,89,0,ornamentation,0,5,False
170,71,1/4,12,90,0,match,0,5,True
286,64,1/8,41/2,146,0,match,0,6,True
287,62,1/16,165/8,147,0,ornamentation,0,6,False
288,64,1/16,331/16,148,0,ornamentation,0,6,False
291,66,1/8,83/4,149,0,ficta,0,6,True
291,66,1/8,83/4,149,0,ficta,0,7,True
292,64,1/16,167/8,150,0,ornamentation,0,7,False
293,66,1/16,335/16,151,0,ornamentation,0,7,False
298,67,1/4,21,152,0,match,0,7,True
440,69,1/8,61/2,211,0,repetition,0,8,True
441,62,1/16,245/8,212,0,ornamentation,0,8,False
442,64,1/16,491/16,213,0,ornamentation,0,8,False
443,66,1/16,123/4,214,0,ornamentation,0,8,False
444,67,1/16,493/16,215,0,ornamentation,0,8,False
445,69,1/16,247/8,216,0,ornamentation,0,8,False
446,71,1/16,495/16,217,0,ornamentation,0,8,False
451,69,3/8,31,218,0,repetition,0,8,True
451,69,3/8,31,218,0,repetition,0,9,True
452,67,1/16,251/8,219,0,ornamentation,0,9,False
453,69,1/16,503/16,220,0,ornamentation,0,9,False
454,71,1/16,63/2,221,0,match,0,9,False
455,69,1/16,505/16,222,0,ornamentation,0,9,False
456,67,1/16,253/8,223,0,ornamentation,0,9,False
457,66,1/16,507/16,224,0,ornamentation,0,9,False
458,64,1/16,127/4,225,0,ornamentation,0,9,False
459,66,1/16,509/16,226,0,ornamentation,0,9,False
460,67,1/16,255/8,227,0,ornamentation,0,9,False
461,69,1/16,511/16,228,0,ornamentation,0,9,False
467,71,1/4,32,229,0,repetition,0,9,True
