note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1,60,3/16,1/2,1,4,match,1,0,True
2,72,3/16,1/2,1,0,match,0,0,True
3,58,1/16,11/16,2,4,ornamentation,0,0,False
4,60,1/16,3/4,3,4,ornamentation,0,0,False
5,58,1/16,13/16,4,4,ornamentation,0,0,False
6,57,1/16,7/8,5,4,ornamentation,0,0,False
7,55,1/16,15/16,6,4,ornamentation,0,0,False
8,57,3/16,1,7,4,match,2,0,True
9,60,3/16,1,7,2,repetition,1,0,True
10,72,3/16,1,7,0,match,0,0,True
8,57,3/16,1,7,4,match,2,1,True
9,60,3/16,1,7,2,repetition,1,1,True
10,72,3/16,1,7,0,match,0,1,True
11,70,1/16,19/16,8,0,ornamentation,0,1,False
12,72,1/16,5/4,9,0,ornamentation,0,1,False
13,70,1/16,21/16,10,0,ornamentation,0,1,False
14,69,1/16,11/8,11,0,ornamentation,0,1,False
15,67,1/16,23/16,12,0,ornamentation,0,1,False
16,53,1/8,3/2,13,4,match,2,1,True
17,60,1/8,3/2,13,2,repetition,1,1,True
18,69,1/8,3/2,13,0,match,0,1,True
15,67,1/16,23/16,12,0,ornamentation,0,2,True
16,53,1/8,3/2,13,4,match,2,2,False
17,60,1/8,3/2,13,2,repetition,1,2,False
18,69,1/8,3/2,13,0,match,0,2,False
19,67,1/8,13/8,14,0,ornamentation,0,2,False
20,65,1/8,7/4,15,0,ornamentation,0,2,False
21,64,1/8,15/8,16,0,ornamentation,0,2,False
22,58,1/8,2,17,4,match,2,2,False
23,62,1/8,2,17,2,match,1,2,False
24,65,1/8,2,17,0,match,0,2,False
25,64,1/16,17/8,18,4,ornamentation,0,2,True
22,58,1/8,2,17,4,match,2,3,True
23,62,1/8,2,17,2,match,1,3,True
24,65,1/8,2,17,0,match,0,3,True
25,64,1/16,17/8,18,4,ornamentation,0,3,False
26,67,1/16,35/16,19,4,ornamentation,0,3,False
27,65,1/8,9/4,20,4,ornamentation,0,3,True
26,67,1/16,35/16,19,4,ornamentation,0,4,True
27,65,1/8,9/4,20,4,ornamentation,0,4,False
28,57,1/8,19/8,21,4,match,0,4,False
29,55,1/8,5/2,22,4,match,3,4,False
30,58,1/8,5/2,22,3,match,2,4,False
31,62,1/8,5/2,22,2,repetition,1,4,False
32,70,1/8,5/2,22,0,match,0,4,False
33,55,1/16,21/8,23,3,ornamentation,0,4,True
