note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
78;64;1/8;23/4;53;2;repetition;1;2;True;2;[non_monotonic]
79;65;1/32;47/8;54;2;ornamentation;0;2;False;2;[non_monotonic]
80;64;1/32;189/32;55;2;ornamentation;0;2;False;2;[non_monotonic]
81;62;1/32;95/16;56;2;ornamentation;0;2;False;2;[non_monotonic]
82;64;1/32;191/32;57;2;ornamentation;0;2;False;2;[non_monotonic]
85;65;1/8;6;58;2;match;1;2;True;2;[non_monotonic]
91;67;1/16;103/16;64;2;ornamentation;0;4;True;4;[monotonic]
94;65;1/8;13/2;65;2;repetition;0;4;False;4;[monotonic]
95;64;1/8;53/8;66;2;ornamentation;0;4;False;4;[monotonic]
96;62;1/8;27/4;67;2;adaptation;0;4;False;4;[monotonic]
98;60;1/8;55/8;68;2;adaptation;1;4;False;4;[monotonic]
102;65;1/4;7;69;2;repetition;1;4;True;4;[monotonic]
713;55;1/4;46;405;2;match;1;15;True;15;[monotonic_perfect_fifth_0_0]
716;48;1/16;185/4;406;2;ornamentation;0;15;False;15;[monotonic_perfect_fifth_0_0]
717;50;1/16;741/16;407;2;ornamentation;0;15;False;15;[monotonic_perfect_fifth_0_0]
718;52;1/16;371/8;408;2;ornamentation;0;15;False;15;[monotonic_perfect_fifth_0_0]
719;53;1/16;743/16;409;2;ornamentation;0;15;False;15;[monotonic_perfect_fifth_0_0]
721;55;1/4;93/2;410;2;repetition;0;15;True;15;[monotonic_perfect_fifth_0_0]
940;48;1/8;497/8;541;4;ornamentation;0;35;True;10;[non_monotonic]
941;50;1/16;249/4;542;4;repetition;0;35;False;10;[non_monotonic]
942;48;1/16;997/16;543;4;ornamentation;0;35;False;10;[non_monotonic]
943;50;1/16;499/8;544;4;ornamentation;0;35;False;10;[non_monotonic]
944;52;1/16;999/16;545;4;ornamentation;0;35;False;10;[non_monotonic]
945;53;3/16;125/2;546;4;match;4;35;True;10;[non_monotonic]
333;67;1/8;173/8;201;0;ornamentation;0;55;True;13;[monotonic]
334;69;1/16;87/4;202;0;repetition;0;55;False;13;[monotonic]
335;67;1/16;349/16;203;0;ornamentation;0;55;False;13;[monotonic]
336;65;1/16;175/8;204;0;match;0;55;False;13;[monotonic]
337;64;1/16;351/16;205;0;ornamentation;0;55;False;13;[monotonic]
341;65;1/8;22;206;0;match;0;55;True;13;[monotonic]
422;64;1/16;429/16;250;0;ornamentation;0;63;True;21;[non_monotonic]
423;65;1/32;215/8;251;0;ornamentation;0;63;False;21;[non_monotonic]
424;64;1/32;861/32;252;0;ornamentation;0;63;False;21;[non_monotonic]
425;62;1/32;431/16;253;0;ornamentation;0;63;False;21;[non_monotonic]
426;64;1/32;863/32;254;0;ornamentation;0;63;False;21;[non_monotonic]
430;65;1/4;27;255;0;match;0;63;True;21;[non_monotonic]
751;70;1/8;393/8;426;0;ornamentation;0;69;True;27;[monotonic]
752;72;1/16;197/4;427;0;repetition;0;69;False;27;[monotonic]
753;70;1/16;789/16;428;0;ornamentation;0;69;False;27;[monotonic]
754;69;1/16;395/8;429;0;ornamentation;0;69;False;27;[monotonic]
755;67;1/16;791/16;430;0;ornamentation;0;69;False;27;[monotonic]
758;69;1/8;99/2;431;0;match;0;69;True;27;[monotonic]
758;69;1/8;99/2;431;0;match;0;70;True;28;[non_monotonic]
759;70;1/32;397/8;432;0;ornamentation;0;70;False;28;[non_monotonic]
760;69;1/32;1589/32;433;0;ornamentation;0;70;False;28;[non_monotonic]
761;67;1/32;795/16;434;0;ornamentation;0;70;False;28;[non_monotonic]
762;69;1/32;1591/32;435;0;ornamentation;0;70;False;28;[non_monotonic]
763;67;1/8;199/4;436;0;match;0;70;True;28;[non_monotonic]
779;64;1/16;813/16;448;0;ornamentation;0;73;True;31;[non_monotonic]
780;65;1/32;407/8;449;0;ornamentation;0;73;False;31;[non_monotonic]
781;64;1/32;1629/32;450;0;ornamentation;0;73;False;31;[non_monotonic]
782;62;1/32;815/16;451;0;ornamentation;0;73;False;31;[non_monotonic]
783;64;1/32;1631/32;452;0;ornamentation;0;73;False;31;[non_monotonic]
787;65;3/16;51;453;0;match;0;73;True;31;[non_monotonic]
1019;69;1/8;135/2;589;0;match;0;81;True;39;[non_monotonic]
1020;67;1/16;541/8;590;0;ornamentation;0;81;False;39;[non_monotonic]
1021;69;1/16;1083/16;591;0;ornamentation;0;81;False;39;[non_monotonic]
1022;70;1/16;271/4;592;0;adaptation;0;81;False;39;[non_monotonic]
1023;69;1/16;1085/16;593;0;ornamentation;0;81;False;39;[non_monotonic]
1024;70;1/32;543/8;594;0;ornamentation;0;81;True;39;[non_monotonic]
565;60;1/8;37;319;3;repetition;2;99;True;7;[non_monotonic]
568;62;1/32;297/8;320;3;ornamentation;0;99;False;7;[non_monotonic]
569;60;1/32;1189/32;321;3;ornamentation;0;99;False;7;[non_monotonic]
570;58;1/32;595/16;322;3;ornamentation;0;99;False;7;[non_monotonic]
571;60;1/32;1191/32;323;3;ornamentation;0;99;False;7;[non_monotonic]
572;58;1/8;149/4;324;3;match;0;99;True;7;[non_monotonic]
1205;59;1/16;1261/16;701;3;ornamentation;0;107;True;15;[non_monotonic]
1206;60;1/32;631/8;702;3;ornamentation;0;107;False;15;[non_monotonic]
1207;59;1/32;2525/32;703;3;ornamentation;0;107;False;15;[non_monotonic]
1208;57;1/32;1263/16;704;3;ornamentation;0;107;False;15;[non_monotonic]
1209;59;1/32;2527/32;705;3;ornamentation;0;107;False;15;[non_monotonic]
1210;60;1/4;79;706;3;match;2;107;True;15;[non_monotonic]
639;64;1/8;83/2;357;1;match;0;120;True;11;[non_monotonic]
640;65;1/32;333/8;358;1;ornamentation;0;120;False;11;[non_monotonic]
641;64;1/32;1333/32;359;1;ornamentation;0;120;False;11;[non_monotonic]
642;62;1/32;667/16;360;1;ornamentation;0;120;False;11;[non_monotonic]
643;64;1/32;1335/32;361;1;ornamentation;0;120;False;11;[non_monotonic]
646;62;1/8;167/4;362;1;adaptation;0;120;True;11;[non_monotonic]
670;64;1/16;689/16;376;1;ornamentation;0;122;True;13;[monotonic_perfect_fifth_0_0]
671;65;1/8;345/8;377;1;ornamentation;0;122;False;13;[monotonic_perfect_fifth_0_0]
673;64;1/8;173/4;378;1;adaptation;0;122;False;13;[monotonic_perfect_fifth_0_0]
674;62;1/8;347/8;379;1;ornamentation;0;122;False;13;[monotonic_perfect_fifth_0_0]
678;60;1/8;87/2;380;1;match;0;122;False;13;[monotonic_perfect_fifth_0_0]
679;58;1/16;349/8;381;1;ornamentation;0;122;True;13;[monotonic_perfect_fifth_0_0]
1156;62;1/8;605/8;669;1;ornamentation;0;134;True;25;[monotonic]
1157;62;1/16;303/4;670;1;match;0;134;False;25;[monotonic]
1158;64;1/16;1213/16;671;1;ornamentation;0;134;False;25;[monotonic]
1159;65;1/16;607/8;672;1;ornamentation;0;134;False;25;[monotonic]
1160;67;1/16;1215/16;673;1;ornamentation;0;134;False;25;[monotonic]
1163;65;1/4;76;674;1;match;1;134;True;25;[monotonic]
