note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
639;64;1/8;83/2;357;1;match;0;11;True;[non_monotonic]
640;65;1/32;333/8;358;1;ornamentation;0;11;False;[non_monotonic]
641;64;1/32;1333/32;359;1;ornamentation;0;11;False;[non_monotonic]
642;62;1/32;667/16;360;1;ornamentation;0;11;False;[non_monotonic]
643;64;1/32;1335/32;361;1;ornamentation;0;11;False;[non_monotonic]
646;62;1/8;167/4;362;1;adaptation;0;11;True;[non_monotonic]
670;64;1/16;689/16;376;1;ornamentation;0;13;True;[monotonic_perfect_fifth_0_0]
671;65;1/8;345/8;377;1;ornamentation;0;13;False;[monotonic_perfect_fifth_0_0]
673;64;1/8;173/4;378;1;adaptation;0;13;False;[monotonic_perfect_fifth_0_0]
674;62;1/8;347/8;379;1;ornamentation;0;13;False;[monotonic_perfect_fifth_0_0]
678;60;1/8;87/2;380;1;match;0;13;False;[monotonic_perfect_fifth_0_0]
679;58;1/16;349/8;381;1;ornamentation;0;13;True;[monotonic_perfect_fifth_0_0]
1156;62;1/8;605/8;669;1;ornamentation;0;25;True;[monotonic]
1157;62;1/16;303/4;670;1;match;0;25;False;[monotonic]
1158;64;1/16;1213/16;671;1;ornamentation;0;25;False;[monotonic]
1159;65;1/16;607/8;672;1;ornamentation;0;25;False;[monotonic]
1160;67;1/16;1215/16;673;1;ornamentation;0;25;False;[monotonic]
1163;65;1/4;76;674;1;match;1;25;True;[monotonic]
