output_csv,duration,count,sequence_ids
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,1/32,5,"22,29,43,59,62"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,1/24,1,82
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,1/16,58,"0,2,6,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,28,30,33,35,36,37,38,39,41,42,44,45,48,50,51,52,53,56,57,58,60,61,63,64,66,68,70,71,73,74,75,77,78,79,80,85,86,87"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,1/12,3,"81,83,84"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,1/8,21,"1,3,4,5,7,10,27,31,32,34,40,46,47,49,54,55,65,67,69,72,76"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_fourstep.csv,1/32,5,"22,29,43,59,62"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_fourstep.csv,1/24,1,82
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_fourstep.csv,1/16,2,"25,56"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_fourstep.csv,1/8,1,76
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,1/32,5,"22,29,43,59,62"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,1/24,1,82
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,1/16,54,"0,2,6,8,9,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,30,33,35,36,38,39,41,42,44,45,48,50,51,52,53,56,57,58,60,61,63,64,66,68,70,73,75,77,78,79,80,85,86,87"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,1/12,3,"81,83,84"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,1/32,5,"19,26,39,48,50"
