output_csv,sequence_length,count,sequence_ids
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,2,23,"8,10,16,17,18,19,20,33,38,39,41,45,48,53,54,57,58,60,63,64,81,83,84"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,3,3,"49,55,61"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,4,13,"21,22,25,27,29,31,42,43,56,59,62,76,82"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,5,11,"1,7,12,14,24,30,35,44,69,73,77"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,6,28,"0,2,3,6,9,11,13,15,23,26,34,36,37,46,50,51,52,65,66,68,70,75,78,79,80,85,86,87"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,7,2,"28,32"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,8,2,"4,74"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,9,1,40
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,10,2,"71,72"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,11,2,"47,67"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab.csv,14,1,5
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_fourstep.csv,4,9,"22,25,29,43,56,59,62,76,82"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,2,21,"8,16,17,18,19,20,33,38,39,41,45,48,53,57,58,60,63,64,81,83,84"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,3,1,61
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,4,10,"21,22,25,29,42,43,56,59,62,82"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,5,8,"12,14,24,30,35,44,73,77"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_abtab_non_chord.csv,6,23,"0,2,6,9,11,13,15,23,26,36,50,51,52,66,68,70,75,78,79,80,85,86,87"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,4,18,"18,19,22,24,26,28,29,38,39,42,47,48,49,50,62,67,68,71"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,5,12,"1,6,8,12,14,21,27,32,40,55,59,63"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,6,29,"0,2,3,7,10,11,13,15,20,23,31,34,35,41,44,45,46,51,52,54,56,61,64,65,66,72,73,74,75"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,7,4,"16,25,30,69"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,8,3,"4,36,60"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,9,3,"33,37,70"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,10,2,"57,58"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,11,3,"17,43,53"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,14,1,5
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw.csv,16,1,9
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw_fourstep.csv,4,11,"19,22,26,39,47,48,49,50,62,68,71"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw_non_chord.csv,4,10,"18,19,22,26,38,39,47,48,50,68"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw_non_chord.csv,5,8,"12,14,21,27,32,40,59,63"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_tab_raw_non_chord.csv,6,23,"0,2,7,10,11,13,15,20,23,34,44,45,46,52,54,56,61,64,65,66,73,74,75"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-4.csv,3,1,5
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-4.csv,4,2,"2,6"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-4.csv,5,2,"1,4"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-4.csv,10,1,3
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-4.csv,17,1,0
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-4_fourstep.csv,4,1,6
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3.csv,2,3,"6,10,11"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3.csv,3,3,"5,13,15"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3.csv,4,3,"9,14,17"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3.csv,5,4,"1,7,18,20"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3.csv,6,4,"0,2,12,19"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3.csv,7,1,8
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3.csv,8,2,"3,16"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3.csv,9,1,4
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-3_fourstep.csv,4,2,"9,14"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-2.csv,1,1,3
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-2.csv,6,1,0
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-2.csv,8,1,2
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-2.csv,14,1,1
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,1,1,15
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,2,13,"6,7,8,9,10,16,22,25,29,30,32,33,37"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,3,4,"19,20,26,35"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,4,9,"0,1,11,12,13,23,24,31,38"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,5,2,"4,18"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,6,8,"3,5,14,17,27,28,34,36"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,8,1,2
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,9,1,21
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0_fourstep.csv,4,5,"1,12,13,24,31"
