note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
28,72,1/8,3/2,18,0,match,0,32,False,0
32,72,1/8,15/8,21,0,ornamentation,0,32,False,0
36,74,1/8,2,22,0,match,0,32,False,0
37,76,1/8,17/8,23,0,ornamentation,0,32,False,0
38,77,1/4,9/4,24,0,match,0,32,True,0
38,77,1/4,9/4,24,0,match,0,33,True,1
42,77,1/8,21/8,26,0,ornamentation,0,33,False,1
44,76,1/8,11/4,27,0,match,0,33,False,1
46,74,1/8,23/8,28,0,match,0,33,False,1
50,76,1/8,3,29,0,match,0,33,False,1
57,74,1/4,7/2,33,0,match,0,33,True,1
57,74,1/4,7/2,33,0,match,0,34,True,2
71,76,1/8,9/2,39,0,match,0,34,False,2
76,76,1/8,39/8,42,0,repetition,0,34,False,2
79,77,1/8,5,43,0,match,0,34,False,2
80,64,1/8,41/8,44,0,ornamentation,0,34,False,2
81,65,1/8,21/4,45,0,ornamentation,0,34,False,2
82,76,1/8,43/8,46,0,match,0,34,False,2
86,74,1/8,11/2,47,0,match,0,34,False,2
87,72,1/8,45/8,48,0,match,0,34,False,2
89,74,1/4,23/4,49,0,match,0,34,True,2
200,74,1/8,25/2,101,0,match,0,35,True,3
201,62,1/16,101/8,102,0,ornamentation,0,35,False,3
202,64,1/16,203/16,103,0,ornamentation,0,35,False,3
203,65,1/16,51/4,104,0,ornamentation,0,35,False,3
204,67,1/16,205/16,105,0,ornamentation,0,35,False,3
205,69,1/16,103/8,106,0,ornamentation,0,35,False,3
206,70,1/16,207/16,107,0,ornamentation,0,35,False,3
210,72,3/16,13,108,0,match,0,35,True,3
210,72,3/16,13,108,0,match,0,36,True,4
211,70,1/16,211/16,109,0,ornamentation,0,36,False,4
212,72,1/16,53/4,110,0,ornamentation,0,36,False,4
213,70,1/16,213/16,111,0,ornamentation,0,36,False,4
214,69,1/16,107/8,112,0,adaptation,0,36,False,4
215,67,1/16,215/16,113,0,ornamentation,0,36,False,4
219,69,1/8,27/2,114,0,match,0,36,True,4
250,69,1/8,31/2,132,0,match,0,37,True,5
251,67,1/16,125/8,133,0,ornamentation,0,37,False,5
252,65,1/16,251/16,134,0,ornamentation,0,37,False,5
253,64,1/16,63/4,135,0,ornamentation,0,37,False,5
254,65,1/16,253/16,136,0,ornamentation,0,37,False,5
255,67,1/16,127/8,137,0,ornamentation,0,37,False,5
256,69,1/16,255/16,138,0,ornamentation,0,37,False,5
259,70,1/4,16,139,0,match,0,37,True,5
274,69,1/8,17,146,0,match,0,38,True,6
275,67,1/16,137/8,147,0,ornamentation,0,38,False,6
276,69,1/16,275/16,148,0,ornamentation,0,38,False,6
279,67,1/8,69/4,149,0,match,0,38,True,6
279,67,1/8,69/4,149,0,match,0,39,True,7
280,65,1/16,139/8,150,0,ornamentation,0,39,False,7
281,67,1/16,279/16,151,0,ornamentation,0,39,False,7
285,65,1/8,35/2,152,0,adaptation,0,39,True,7
309,69,1/8,75/4,162,0,match,0,40,True,8
310,70,1/16,151/8,163,0,ornamentation,0,40,False,8
311,69,1/16,303/16,164,0,ornamentation,0,40,False,8
314,67,1/8,19,165,0,match,0,40,True,8
314,67,1/8,19,165,0,match,0,41,True,9
315,69,1/16,153/8,166,0,ornamentation,0,41,False,9
316,67,1/16,307/16,167,0,ornamentation,0,41,False,9
319,65,1/8,77/4,168,0,match,0,41,True,9
319,65,1/8,77/4,168,0,match,0,42,True,10
320,67,1/16,155/8,169,0,ornamentation,0,42,False,10
321,65,1/16,311/16,170,0,ornamentation,0,42,False,10
325,65,1/8,39/2,171,0,repetition,0,42,True,10
325,65,1/8,39/2,171,0,repetition,0,43,True,11
326,64,1/16,157/8,172,0,ornamentation,0,43,False,11
327,62,1/16,315/16,173,0,ornamentation,0,43,False,11
328,65,1/16,79/4,174,0,repetition,0,43,False,11
329,64,1/16,317/16,175,0,ornamentation,0,43,False,11
330,65,1/32,159/8,176,0,ornamentation,0,43,True,11
329,64,1/16,317/16,175,0,ornamentation,0,44,True,12
330,65,1/32,159/8,176,0,ornamentation,0,44,False,12
331,64,1/32,637/32,177,0,ornamentation,0,44,False,12
332,62,1/32,319/16,178,0,ornamentation,0,44,False,12
333,64,1/32,639/32,179,0,ornamentation,0,44,False,12
337,65,1/8,20,180,0,match,0,44,True,12
337,65,1/8,20,180,0,match,0,45,True,13
356,62,1/16,85/4,194,0,ornamentation,0,45,False,13
357,64,1/16,341/16,195,0,ornamentation,0,45,False,13
358,65,1/16,171/8,196,0,ornamentation,0,45,False,13
359,67,1/16,343/16,197,0,ornamentation,0,45,False,13
362,65,1/8,43/2,198,0,match,0,45,True,13
362,65,1/8,43/2,198,0,match,0,46,True,14
363,64,1/16,173/8,199,0,ornamentation,0,46,False,14
