note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1,60,1/8,0,0,3,match,1,0,True
3,59,1/16,1/8,1,3,ornamentation,0,0,False
4,60,1/16,3/16,2,3,ornamentation,0,0,False
5,62,1/16,1/4,3,3,ornamentation,0,0,False
6,60,1/16,5/16,4,3,ornamentation,0,0,False
7,59,1/16,3/8,5,3,ornamentation,0,0,False
8,60,1/16,7/16,6,3,ornamentation,0,0,False
10,62,1/8,1/2,7,3,match,1,0,True
8,60,1/16,7/16,6,3,ornamentation,0,1,True
10,62,1/8,1/2,7,3,match,1,1,False
12,64,1/8,5/8,8,3,ornamentation,0,1,False
14,65,1/8,3/4,9,3,match,0,1,False
15,67,1/8,7/8,10,3,ornamentation,0,1,False
17,65,1/8,1,11,3,repetition,1,1,False
19,70,1/16,9/8,12,3,ornamentation,0,1,True
17,65,1/8,1,11,3,repetition,1,2,True
19,70,1/16,9/8,12,3,ornamentation,0,2,False
20,69,1/16,19/16,13,3,ornamentation,0,2,False
21,67,1/16,5/4,14,3,adaptation,0,2,False
22,65,1/16,21/16,15,3,ornamentation,0,2,False
23,64,1/16,11/8,16,3,repetition,0,2,False
24,62,1/16,23/16,17,3,ornamentation,0,2,False
26,64,1/8,3/2,18,3,match,2,2,True
24,62,1/16,23/16,17,3,ornamentation,0,3,True
26,64,1/8,3/2,18,3,match,2,3,False
29,62,1/8,13/8,19,3,ornamentation,0,3,False
31,64,1/8,7/4,20,3,repetition,0,3,False
34,62,1/8,2,22,3,match,2,3,False
40,62,1/8,5/2,25,3,repetition,1,3,False
43,60,1/8,11/4,27,3,match,1,3,False
45,58,1/8,23/8,28,3,match,1,3,False
47,57,1/8,3,29,3,match,3,3,False
54,50,1/4,7/2,33,3,match,3,3,True
58,62,1/4,15/4,34,3,match,1,4,True
60,64,1/8,4,35,3,match,2,4,False
63,62,1/8,33/8,36,3,match,0,4,False
64,60,1/8,17/4,37,3,ficta,1,4,False
66,59,1/8,35/8,38,3,match,1,4,False
68,60,1/8,9/2,39,3,ficta,3,4,False
72,62,1/8,37/8,40,3,ornamentation,0,4,False
73,62,1/8,19/4,41,3,adaptation,1,4,False
75,60,1/8,39/8,42,3,adaptation,1,4,False
77,62,1/8,5,43,3,match,3,4,False
88,57,1/4,23/4,49,3,match,1,4,True
174,55,1/8,11,90,3,match,3,5,True
179,57,1/16,179/16,92,3,ornamentation,0,5,False
180,58,1/16,45/4,93,3,match,0,5,False
183,64,1/16,183/16,96,3,ornamentation,0,5,False
185,62,1/8,23/2,97,3,match,2,5,True
183,64,1/16,183/16,96,3,ornamentation,0,6,True
185,62,1/8,23/2,97,3,match,2,6,False
188,53,1/8,93/8,98,3,ornamentation,0,6,False
189,55,1/4,47/4,99,3,match,1,6,True
345,53,3/16,41/2,187,3,match,2,7,True
348,55,1/16,331/16,188,3,ornamentation,0,7,False
349,57,1/16,83/4,189,3,ornamentation,0,7,False
350,53,1/16,333/16,190,3,ornamentation,0,7,False
351,55,1/16,167/8,191,3,ornamentation,0,7,False
352,57,1/16,335/16,192,3,ornamentation,0,7,False
353,58,1/4,21,193,3,match,2,7,True
376,55,3/16,45/2,209,3,match,3,8,True
380,69,1/16,363/16,210,3,ornamentation,0,8,False
381,67,1/16,91/4,211,3,ornamentation,0,8,False
382,65,1/16,365/16,212,3,ornamentation,0,8,False
383,64,1/16,183/8,213,3,ornamentation,0,8,False
384,62,1/16,367/16,214,3,ornamentation,0,8,False
385,60,1/16,23,215,3,match,3,8,False
388,58,1/16,369/16,216,3,ornamentation,0,8,False
389,60,1/32,185/8,217,3,ornamentation,0,8,True
388,58,1/16,369/16,216,3,ornamentation,0,9,True
389,60,1/32,185/8,217,3,ornamentation,0,9,False
390,58,1/32,741/32,218,3,ornamentation,0,9,False
391,60,1/32,371/16,219,3,ornamentation,0,9,False
392,62,1/32,743/32,220,3,ornamentation,0,9,False
393,60,1/8,93/4,221,3,repetition,2,9,True
556,53,1/4,67/2,304,3,match,2,10,True
561,52,1/16,271/8,306,3,match,0,10,False
562,50,1/16,543/16,307,3,ornamentation,0,10,False
563,48,1/4,34,308,3,match,3,10,True
630,65,1/8,77/2,344,3,match,1,11,True
631,67,1/16,309/8,345,3,ornamentation,0,11,False
632,65,1/16,619/16,346,3,ornamentation,0,11,False
634,64,1/8,155/4,347,3,adaptation,0,11,True
639,60,1/4,39,349,3,match,1,12,True
641,62,1/8,157/4,350,3,match,0,12,False
642,65,1/8,315/8,351,3,ornamentation,0,12,False
643,64,1/8,79/2,352,3,ornamentation,0,12,False
646,62,1/8,317/8,353,3,repetition,1,12,False
648,60,1/8,159/4,354,3,match,0,12,False
650,58,1/8,319/8,355,3,match,0,12,False
653,57,1/4,40,356,3,match,1,12,True
818,60,3/16,51,443,3,match,2,13,True
820,62,1/16,819/16,444,3,ornamentation,0,13,False
821,60,1/16,205/4,445,3,ornamentation,0,13,False
822,58,1/16,821/16,446,3,ornamentation,0,13,False
823,60,1/32,411/8,447,3,ornamentation,0,13,True
822,58,1/16,821/16,446,3,ornamentation,0,14,True
823,60,1/32,411/8,447,3,ornamentation,0,14,False
824,58,1/32,1645/32,448,3,ornamentation,0,14,False
825,57,1/32,823/16,449,3,ornamentation,0,14,False
826,55,1/32,1647/32,450,3,ornamentation,0,14,False
827,53,1/4,103/2,451,3,match,1,14,True
875,57,1/8,109/2,469,3,match,2,15,True
878,57,1/16,437/8,470,3,ornamentation,0,15,False
879,59,1/16,875/16,471,3,ornamentation,0,15,False
880,60,1/16,219/4,472,3,match,0,15,False
885,57,1/4,55,476,3,match,2,15,True
885,57,1/4,55,476,3,match,2,16,True
889,60,1/8,221/4,477,3,match,1,16,False
895,58,1/8,445/8,480,3,match,1,16,False
897,57,1/8,223/4,481,3,match,1,16,False
899,55,1/8,447/8,482,3,match,0,16,False
901,57,1/8,56,483,3,match,2,16,False
905,55,1/8,225/4,485,3,adaptation,1,16,False
907,53,1/8,451/8,486,3,ornamentation,0,16,False
909,52,1/8,113/2,487,3,match,2,16,False
918,50,1/2,57,494,3,match,2,16,True
952,55,1/16,60,517,3,match,2,17,True
963,55,1/8,243/4,525,3,match,1,17,False
967,53,1/8,61,527,3,match,2,17,False
971,50,1/8,245/4,529,3,match,1,17,False
973,53,1/8,491/8,530,3,ornamentation,0,17,False
975,52,3/16,123/2,531,3,match,2,17,True
1038,53,3/16,131/2,563,3,match,2,18,True
1041,48,1/16,1051/16,564,3,ornamentation,0,18,False
1042,50,1/16,263/4,565,3,ornamentation,0,18,False
1043,52,1/16,1053/16,566,3,ornamentation,0,18,False
1044,53,1/16,527/8,567,3,repetition,0,18,False
1045,55,1/16,1055/16,568,3,ornamentation,0,18,False
1047,57,1/8,66,569,3,match,2,18,True
1047,57,1/8,66,569,3,match,2,19,True
1050,58,1/16,529/8,570,3,ornamentation,0,19,False
1051,62,1/16,1059/16,571,3,ornamentation,0,19,False
1052,60,1/16,265/4,572,3,ornamentation,0,19,False
1053,58,1/16,1061/16,573,3,ornamentation,0,19,False
1054,57,1/16,531/8,574,3,ornamentation,0,19,False
1055,55,1/16,1063/16,575,3,ornamentation,0,19,False
1056,57,1/4,133/2,576,3,repetition,1,19,True
1086,60,1/8,137/2,589,3,match,2,20,True
1089,58,1/16,549/8,590,3,ornamentation,0,20,False
1090,60,1/16,1099/16,591,3,ornamentation,0,20,False
1091,62,1/16,275/4,592,3,ornamentation,0,20,False
1092,60,1/16,1101/16,593,3,ornamentation,0,20,False
1093,58,1/16,551/8,594,3,adaptation,0,20,False
1095,55,1/4,69,596,3,match,1,20,True
