note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
249;65;1/16;301/16;163;0;ornamentation;0;19;True;[monotonic_perfect_fifth_0_1]
250;67;1/32;151/8;164;0;repetition;0;19;False;[monotonic_perfect_fifth_0_1]
251;65;1/32;605/32;165;2;ornamentation;0;19;False;[monotonic_perfect_fifth_0_1]
252;64;1/32;303/16;166;2;ornamentation;0;19;False;[monotonic_perfect_fifth_0_1]
253;62;1/32;607/32;167;2;ornamentation;0;19;False;[monotonic_perfect_fifth_0_1]
254;48;1/4;19;168;4;match;3;19;True;[monotonic_perfect_fifth_0_1]
255;55;1/4;19;168;3;match;2;19;True;[monotonic_perfect_fifth_0_1]
256;60;1/4;19;168;2;match;1;19;True;[monotonic_perfect_fifth_0_1]
257;64;1/4;19;168;1;match;0;19;True;[monotonic_perfect_fifth_0_1]
260;46;1/8;39/2;171;4;match;3;20;True;[non_monotonic]
262;55;1/8;39/2;171;3;repetition;2;20;True;[non_monotonic]
261;50;1/8;39/2;171;2;match;1;20;True;[non_monotonic]
263;62;1/8;39/2;171;1;match;0;20;True;[non_monotonic]
264;53;1/16;157/8;172;3;ornamentation;0;20;False;[non_monotonic]
265;55;1/16;315/16;173;3;ornamentation;0;20;False;[non_monotonic]
266;57;1/16;79/4;174;3;ornamentation;0;20;False;[non_monotonic]
267;55;1/16;317/16;175;3;ornamentation;0;20;False;[non_monotonic]
268;57;1/32;159/8;176;3;ornamentation;0;20;True;[non_monotonic]
267;55;1/16;317/16;175;3;ornamentation;0;21;True;[non_monotonic]
268;57;1/32;159/8;176;3;ornamentation;0;21;False;[non_monotonic]
269;55;1/32;637/32;177;3;ornamentation;0;21;False;[non_monotonic]
270;53;1/32;319/16;178;3;ornamentation;0;21;False;[non_monotonic]
271;55;1/32;639/32;179;3;ornamentation;0;21;False;[non_monotonic]
272;45;1/4;20;180;4;match;3;21;True;[non_monotonic]
274;57;1/4;20;180;3;match;2;21;True;[non_monotonic]
273;52;1/4;20;180;2;match;1;21;True;[non_monotonic]
275;60;1/4;20;180;1;match;0;21;True;[non_monotonic]
307;53;1/8;45/2;196;4;repetition;3;23;True;[non_monotonic]
308;57;1/8;45/2;196;2;match;2;23;True;[non_monotonic]
309;62;1/8;45/2;196;1;repetition;1;23;True;[non_monotonic]
