note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
170;57;3/16;14;113;2;match;2;0;True;[non_monotonic]
175;60;1/16;229/16;116;2;ornamentation;0;0;False;[non_monotonic]
176;58;1/16;115/8;117;2;repetition;0;0;False;[non_monotonic]
184;60;1/16;237/16;123;2;ornamentation;0;0;False;[non_monotonic]
185;62;1/16;119/8;124;2;repetition;0;0;False;[non_monotonic]
188;60;1/8;15;126;2;match;2;0;True;[non_monotonic]
474;58;1/8;33;301;2;match;0;9;True;[non_monotonic]
475;60;1/32;265/8;302;2;ornamentation;0;9;False;[non_monotonic]
476;58;1/32;1061/32;303;2;ornamentation;0;9;False;[non_monotonic]
477;57;1/32;531/16;304;2;ornamentation;0;9;False;[non_monotonic]
478;58;1/32;1063/32;305;2;ornamentation;0;9;False;[non_monotonic]
479;57;1/8;133/4;306;2;match;0;9;True;[non_monotonic]
521;57;1/4;71/2;337;2;match;2;11;True;[monotonic]
524;57;1/16;143/4;338;2;ornamentation;0;11;False;[monotonic]
525;59;1/16;573/16;339;2;ornamentation;0;11;False;[monotonic]
526;60;1/16;287/8;340;2;ornamentation;0;11;False;[monotonic]
527;62;1/16;575/16;341;2;ornamentation;0;11;False;[monotonic]
530;60;1/8;36;342;2;match;0;11;True;[monotonic]
