output_csv,sequence_length,count,sequence_ids
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,1,2,"12,44"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,2,19,"0,1,10,16,18,23,28,34,35,40,45,46,48,49,50,51,52,53,58"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,3,1,41
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,4,17,"2,3,4,8,11,13,14,19,20,21,22,24,25,37,38,42,56"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,5,7,"6,15,26,29,36,43,55"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,6,9,"5,27,30,31,32,33,47,54,57"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,7,1,17
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,9,1,39
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,11,1,9
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_abtab.csv,12,1,7
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_abtab_fourstep.csv,4,13,"3,4,8,11,14,19,21,22,25,37,38,42,56"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_abtab_non_chord.csv,1,2,"12,44"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_abtab_non_chord.csv,2,18,"0,1,10,16,18,23,34,35,40,45,46,48,49,50,51,52,53,58"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_abtab_non_chord.csv,3,1,41
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_abtab_non_chord.csv,4,16,"2,3,4,8,11,13,14,19,20,21,22,24,25,37,38,42"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_abtab_non_chord.csv,5,4,"29,36,43,55"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_abtab_non_chord.csv,6,8,"5,27,30,31,32,33,47,54"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_abtab_non_chord.csv,9,1,39
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_raw.csv,4,17,"0,1,2,6,8,9,10,14,16,17,18,19,20,32,33,35,42"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_raw.csv,5,10,"4,11,13,15,21,25,30,36,37,41"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_raw.csv,6,10,"3,22,24,26,27,28,29,38,40,43"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_raw.csv,7,1,12
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_raw.csv,8,2,"23,39"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_raw.csv,9,2,"31,34"
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_raw.csv,11,1,7
output/5256_05_inviolata_integra_desprez-2/5256_05_inviolata_integra_desprez-2_tab_raw.csv,12,1,5
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_raw_fourstep.csv,4,13,"1,2,6,8,10,14,17,18,20,32,33,35,42"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_raw_non_chord.csv,4,16,"0,1,2,6,8,9,10,14,16,17,18,19,20,32,33,35"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_raw_non_chord.csv,5,4,"25,30,36,41"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_raw_non_chord.csv,6,8,"3,22,26,27,28,29,38,40"
output/5256_05_inviolata_integra_desprez-2/fourstep/5256_05_inviolata_integra_desprez-2_tab_raw_non_chord.csv,9,1,34
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-4.csv,1,1,10
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-4.csv,2,7,"0,1,8,12,13,20,21"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-4.csv,3,1,16
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-4.csv,4,10,"2,3,4,9,11,14,15,17,18,23"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-4.csv,5,1,19
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-4.csv,6,3,"5,6,22"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-4.csv,10,1,7
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-4_fourstep.csv,4,7,"3,4,9,15,17,18,23"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-2.csv,2,2,"12,14"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-2.csv,3,4,"8,9,10,13"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-2.csv,4,5,"2,3,5,6,11"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-2.csv,6,2,"0,7"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-2.csv,7,1,1
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-2.csv,12,1,4
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-2_fourstep.csv,4,4,"2,3,5,11"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-3.csv,3,1,0
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-0.csv,1,1,12
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-0.csv,2,10,"1,4,8,10,11,13,14,15,16,19"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-0.csv,3,2,"7,17"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-0.csv,4,3,"0,2,3"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-0.csv,5,2,"5,9"
output/5256_05_inviolata_integra_desprez-2/voices/5256_05_inviolata_integra_desprez-2_voice-0.csv,6,2,"6,18"
