note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
6,58,1/16,21/16,6,4,ornamentation,0,0,True
7,60,1/32,11/8,7,4,ornamentation,0,0,False
8,58,1/32,45/32,8,4,ornamentation,0,0,False
9,60,1/32,23/16,9,4,ornamentation,0,0,False
10,57,1/32,47/32,10,4,ornamentation,0,0,False
11,58,1/8,3/2,11,4,match,0,0,True
11,58,1/8,3/2,11,4,match,0,1,True
12,57,1/16,13/8,12,4,ornamentation,0,1,False
13,58,1/16,27/16,13,4,ornamentation,0,1,False
14,60,1/16,7/4,14,4,ornamentation,0,1,False
15,58,1/16,29/16,15,4,ornamentation,0,1,False
16,60,1/32,15/8,16,4,ornamentation,0,1,True
15,58,1/16,29/16,15,4,ornamentation,0,2,True
16,60,1/32,15/8,16,4,ornamentation,0,2,False
17,58,1/32,61/32,17,4,ornamentation,0,2,False
18,57,1/32,31/16,18,4,ornamentation,0,2,False
19,55,1/32,63/32,19,4,ornamentation,0,2,False
21,57,1/8,2,20,4,match,1,2,True
20,53,1/8,2,20,2,match,0,2,True
21,57,1/8,2,20,4,match,1,3,True
20,53,1/8,2,20,2,match,0,3,True
22,53,1/16,17/8,21,4,ornamentation,0,3,False
23,55,1/16,35/16,22,4,ornamentation,0,3,False
24,57,1/16,9/4,23,4,ornamentation,0,3,False
25,58,1/16,37/16,24,4,ornamentation,0,3,False
26,60,1/16,19/8,25,4,ornamentation,0,3,False
27,62,1/16,39/16,26,4,ornamentation,0,3,False
29,60,1/8,5/2,27,4,match,1,3,True
28,53,1/8,5/2,27,2,match,0,3,True
27,62,1/16,39/16,26,4,ornamentation,0,4,True
29,60,1/8,5/2,27,4,match,1,4,False
28,53,1/8,5/2,27,2,match,0,4,False
30,52,1/8,21/8,28,2,ornamentation,0,4,False
31,53,1/8,11/4,29,2,ornamentation,0,4,False
32,55,1/8,23/8,30,2,ornamentation,0,4,False
34,60,1/8,3,31,4,repetition,1,4,False
33,57,1/8,3,31,2,match,0,4,False
35,58,1/16,25/8,32,4,ornamentation,0,4,True
34,60,1/8,3,31,4,repetition,1,5,True
33,57,1/8,3,31,2,match,0,5,True
35,58,1/16,25/8,32,4,ornamentation,0,5,False
36,60,1/16,51/16,33,4,ornamentation,0,5,False
37,62,1/16,13/4,34,4,adaptation,0,5,False
38,60,1/16,53/16,35,4,ornamentation,0,5,False
39,58,1/16,27/8,36,4,repetition,0,5,False
40,57,1/16,55/16,37,2,ornamentation,0,5,False
41,55,1/16,7/2,38,4,match,1,5,False
42,58,1/16,7/2,38,2,match,0,5,False
43,62,1/16,57/16,39,2,ornamentation,0,5,False
44,60,1/16,29/8,40,2,ornamentation,0,5,False
45,58,1/16,59/16,41,2,ornamentation,0,5,False
46,60,1/16,15/4,42,2,ornamentation,0,5,False
47,58,1/16,61/16,43,2,ornamentation,0,5,False
48,60,1/32,31/8,44,2,ornamentation,0,5,True
47,58,1/16,61/16,43,2,ornamentation,0,6,True
48,60,1/32,31/8,44,2,ornamentation,0,6,False
49,58,1/32,125/32,45,2,ornamentation,0,6,False
50,57,1/32,63/16,46,2,ornamentation,0,6,False
51,55,1/32,127/32,47,2,ornamentation,0,6,False
52,53,1/4,4,48,4,match,1,6,True
53,57,1/4,4,48,2,match,0,6,True
52,53,1/4,4,48,4,match,1,7,True
53,57,1/4,4,48,2,match,0,7,True
54,41,1/8,17/4,49,4,match,0,7,False
55,43,1/8,35/8,50,4,match,0,7,False
56,45,1/8,9/2,51,4,match,1,7,False
57,60,1/8,9/2,51,2,match,0,7,False
58,46,1/8,37/8,52,4,match,0,7,False
59,48,1/8,19/4,53,4,match,0,7,False
60,50,1/8,39/8,54,4,match,0,7,False
61,52,1/8,5,55,4,match,1,7,False
62,60,1/8,5,55,2,repetition,0,7,False
63,48,1/8,41/8,56,4,ornamentation,0,7,False
64,53,1/8,21/4,57,4,match,1,7,False
65,58,1/8,21/4,57,2,match,0,7,False
66,57,1/8,43/8,58,2,match,0,7,False
67,53,1/8,11/2,59,4,repetition,1,7,False
68,55,1/8,11/2,59,2,match,0,7,False
69,52,1/16,45/8,60,4,match,0,7,True
71,52,1/8,23/4,62,4,match,1,8,True
72,55,1/8,23/4,62,2,repetition,0,8,True
73,53,1/32,47/8,63,4,adaptation,0,8,False
74,52,1/32,189/32,64,4,ornamentation,0,8,False
75,50,1/32,95/16,65,4,ornamentation,0,8,False
76,52,1/32,191/32,66,4,ornamentation,0,8,False
77,53,3/16,6,67,4,match,1,8,True
78,53,3/16,6,67,2,match,0,8,True
85,48,1/4,27/4,72,4,match,0,9,True
86,55,1/8,7,73,4,ornamentation,0,9,False
87,48,1/8,57/8,74,4,ornamentation,0,9,False
88,46,1/8,29/4,75,4,match,0,9,False
89,45,1/8,59/8,76,4,match,0,9,False
90,46,1/4,15/2,77,4,match,1,9,True
91,55,1/4,15/2,77,2,match,0,9,True
92,48,1/8,31/4,78,4,match,1,10,True
93,55,1/8,31/4,78,2,repetition,0,10,True
94,57,1/32,63/8,79,2,ornamentation,0,10,False
95,55,1/32,253/32,80,2,ornamentation,0,10,False
96,53,1/32,127/16,81,2,ornamentation,0,10,False
97,55,1/32,255/32,82,2,ornamentation,0,10,False
98,41,1/8,8,83,4,match,1,10,True
99,57,1/8,8,83,2,match,0,10,True
97,55,1/32,255/32,82,2,ornamentation,0,11,True
98,41,1/8,8,83,4,match,1,11,False
99,57,1/8,8,83,2,match,0,11,False
100,55,1/8,65/8,84,2,ornamentation,0,11,False
101,53,1/8,33/4,85,4,match,1,11,False
102,53,1/8,33/4,85,2,adaptation,0,11,False
103,57,1/8,67/8,86,2,ornamentation,0,11,False
104,52,1/8,17/2,87,4,match,1,11,False
105,55,1/8,17/2,87,2,match,0,11,False
106,53,1/16,69/8,88,4,ornamentation,0,11,True
107,55,1/16,139/16,89,4,ornamentation,0,12,True
108,53,1/8,35/4,90,4,match,1,12,False
109,57,1/8,35/4,90,2,match,0,12,False
110,58,1/8,71/8,91,2,ornamentation,0,12,False
111,53,1/8,9,92,4,repetition,1,12,False
112,57,1/8,9,92,2,repetition,0,12,False
113,52,1/8,73/8,93,4,match,1,12,False
114,55,1/8,73/8,93,2,match,0,12,False
115,53,1/8,37/4,94,4,match,1,12,False
116,57,1/8,37/4,94,2,match,0,12,False
117,50,1/8,75/8,95,4,match,1,12,False
118,53,1/8,75/8,95,2,match,0,12,False
119,52,1/8,19/2,96,4,match,1,12,False
120,55,1/8,19/2,96,2,match,0,12,False
121,53,1/16,77/8,97,4,ornamentation,0,12,True
123,53,1/4,39/4,99,4,match,1,13,True
124,57,1/4,39/4,99,2,match,0,13,True
125,48,1/8,10,100,4,match,1,13,False
126,57,1/8,10,100,2,repetition,0,13,False
127,55,1/8,81/8,101,2,match,0,13,False
128,53,1/8,41/4,102,4,match,1,13,False
129,57,1/8,41/4,102,2,match,0,13,False
130,53,1/8,83/8,103,2,match,0,13,False
131,52,1/8,21/2,104,4,match,1,13,False
132,55,1/8,21/2,104,2,match,0,13,False
133,57,1/32,85/8,105,2,ornamentation,0,13,True
131,52,1/8,21/2,104,4,match,1,14,True
132,55,1/8,21/2,104,2,match,0,14,True
133,57,1/32,85/8,105,2,ornamentation,0,14,False
134,55,1/32,341/32,106,2,ornamentation,0,14,False
135,53,1/32,171/16,107,2,ornamentation,0,14,False
136,55,1/32,343/32,108,2,ornamentation,0,14,False
137,53,1/4,43/4,109,4,match,1,14,True
138,57,1/4,43/4,109,2,match,0,14,True
137,53,1/4,43/4,109,4,match,1,15,True
138,57,1/4,43/4,109,2,match,0,15,True
139,53,1/8,11,110,4,repetition,1,15,False
140,57,1/8,11,110,2,repetition,0,15,False
141,52,1/8,89/8,111,4,match,1,15,False
142,55,1/8,89/8,111,2,match,0,15,False
143,53,1/8,45/4,112,4,match,1,15,False
144,57,1/8,45/4,112,2,match,0,15,False
145,50,1/8,91/8,113,4,match,1,15,False
146,53,1/8,91/8,113,2,match,0,15,False
147,52,1/8,23/2,114,4,match,1,15,False
148,55,1/8,23/2,114,2,match,0,15,False
149,48,1/16,93/8,115,4,adaptation,0,15,True
147,52,1/8,23/2,114,4,match,1,16,True
148,55,1/8,23/2,114,2,match,0,16,True
149,48,1/16,93/8,115,4,adaptation,0,16,False
150,50,1/16,187/16,116,4,ornamentation,0,16,False
151,52,1/16,47/4,117,4,adaptation,0,16,False
152,48,1/16,189/16,118,4,ornamentation,0,16,False
153,50,1/32,95/8,119,4,adaptation,0,16,True
152,48,1/16,189/16,118,4,ornamentation,0,17,True
153,50,1/32,95/8,119,4,adaptation,0,17,False
154,48,1/32,381/32,120,4,ornamentation,0,17,False
155,50,1/32,191/16,121,4,ornamentation,0,17,False
156,52,1/32,383/32,122,4,ornamentation,0,17,False
157,53,1/4,12,123,4,match,2,17,True
158,53,1/4,12,123,3,match,1,17,True
158,53,1/4,12,123,2,match,0,17,True
164,53,1/8,13,127,4,match,2,18,True
165,57,1/8,13,127,3,match,1,18,True
166,60,1/8,13,127,0,match,0,18,True
167,62,1/32,105/8,128,0,ornamentation,0,18,False
168,64,1/32,421/32,129,0,ornamentation,0,18,False
169,65,1/32,211/16,130,0,ornamentation,0,18,False
170,67,1/32,423/32,131,0,ornamentation,0,18,False
171,53,1/8,53/4,132,4,match,1,18,True
172,65,1/8,53/4,132,0,match,0,18,True
175,55,1/8,27/2,135,4,match,2,19,True
176,58,1/8,27/2,135,3,match,1,19,True
177,65,1/8,27/2,135,0,repetition,0,19,True
178,64,1/16,109/8,136,0,match,0,19,False
179,62,1/16,219/16,137,0,ornamentation,0,19,False
180,65,1/16,55/4,138,0,adaptation,0,19,False
181,64,1/16,221/16,139,0,ornamentation,0,19,False
182,65,1/32,111/8,140,0,adaptation,0,19,True
181,64,1/16,221/16,139,0,ornamentation,0,20,True
182,65,1/32,111/8,140,0,adaptation,0,20,False
183,64,1/32,445/32,141,0,ornamentation,0,20,False
184,62,1/32,223/16,142,0,ornamentation,0,20,False
185,64,1/32,447/32,143,0,ornamentation,0,20,False
186,53,1/4,14,144,4,match,3,20,True
187,57,1/4,14,144,3,match,2,20,True
188,60,1/4,14,144,1,match,1,20,True
189,65,1/4,14,144,0,match,0,20,True
195,53,1/4,59/4,147,2,match,0,21,True
197,55,1/8,15,148,3,match,2,21,False
196,48,1/8,15,148,2,match,1,21,False
198,64,1/8,15,148,1,match,0,21,False
199,62,1/8,121/8,149,2,ornamentation,0,21,False
200,48,1/8,61/4,150,4,match,1,21,False
201,60,1/8,61/4,150,2,match,0,21,False
202,64,1/8,123/8,151,1,ornamentation,0,21,False
203,50,1/8,31/2,152,4,match,3,21,False
204,53,1/8,31/2,152,3,match,2,21,False
205,60,1/8,31/2,152,2,repetition,1,21,False
206,65,1/8,31/2,152,1,match,0,21,False
207,59,1/16,125/8,153,2,match,0,21,True
203,50,1/8,31/2,152,4,match,3,22,True
204,53,1/8,31/2,152,3,match,2,22,True
205,60,1/8,31/2,152,2,repetition,1,22,True
206,65,1/8,31/2,152,1,match,0,22,True
207,59,1/16,125/8,153,2,match,0,22,False
208,57,1/16,251/16,154,2,ornamentation,0,22,False
209,59,1/16,63/4,155,2,match,0,22,False
210,60,1/16,253/16,156,2,ornamentation,0,22,False
211,57,1/16,127/8,157,2,match,0,22,False
212,59,1/16,255/16,158,2,ornamentation,0,22,False
213,48,1/4,16,159,4,match,2,22,True
214,60,1/4,16,159,2,match,1,22,True
215,64,1/4,16,159,1,match,0,22,True
221,60,1/4,67/4,163,2,match,1,23,True
222,67,1/4,67/4,163,0,match,0,23,True
223,43,1/8,17,164,4,match,4,23,False
224,55,1/8,17,164,3,repetition,3,23,False
225,58,1/8,17,164,2,match,2,23,False
226,62,1/8,17,164,1,match,1,23,False
227,67,1/8,17,164,0,repetition,0,23,False
228,60,1/8,137/8,165,2,match,1,23,False
229,65,1/8,137/8,165,0,match,0,23,False
230,62,1/8,69/4,166,2,match,1,23,False
230,62,1/8,69/4,166,0,match,0,23,False
231,58,1/8,139/8,167,2,match,0,23,False
232,48,1/8,35/2,168,4,match,4,23,False
233,55,1/8,35/2,168,3,match,3,23,False
234,60,1/8,35/2,168,2,match,2,23,False
234,60,1/8,35/2,168,1,match,1,23,False
235,64,1/8,35/2,168,0,match,0,23,False
236,65,1/8,141/8,169,0,match,0,23,False
238,52,1/8,71/4,170,4,match,2,23,False
237,48,1/8,71/4,170,2,match,1,23,False
239,67,1/8,71/4,170,0,match,0,23,False
240,64,1/8,143/8,171,0,match,0,23,False
241,50,1/6,18,172,4,match,3,23,True
243,57,1/6,18,172,3,match,2,23,True
242,53,1/6,18,172,2,match,1,23,True
244,65,1/6,18,172,0,match,0,23,True
240,64,1/8,143/8,171,0,match,0,24,True
241,50,1/6,18,172,4,match,3,24,False
243,57,1/6,18,172,3,match,2,24,False
242,53,1/6,18,172,2,match,1,24,False
244,65,1/6,18,172,0,match,0,24,False
245,55,1/6,109/6,173,3,adaptation,0,24,False
246,53,1/6,55/3,174,3,repetition,1,24,False
247,57,1/6,55/3,174,2,match,0,24,False
248,43,1/6,37/2,175,4,match,3,24,False
249,55,1/6,37/2,175,3,match,2,24,False
250,58,1/6,37/2,175,2,match,1,24,False
251,62,1/6,37/2,175,1,match,0,24,False
252,55,1/6,56/3,176,2,match,0,24,False
253,58,1/6,113/6,177,2,match,1,24,False
254,62,1/6,113/6,177,1,repetition,0,24,False
255,50,3/16,19,178,4,match,3,24,True
256,53,3/16,19,178,3,match,2,24,True
257,57,3/16,19,178,2,match,1,24,True
258,65,3/16,19,178,0,match,0,24,True
255,50,3/16,19,178,4,match,3,25,True
256,53,3/16,19,178,3,match,2,25,True
257,57,3/16,19,178,2,match,1,25,True
258,65,3/16,19,178,0,match,0,25,True
259,64,1/16,307/16,179,0,ornamentation,0,25,False
260,62,1/16,77/4,180,0,ornamentation,0,25,False
261,64,1/16,309/16,181,0,ornamentation,0,25,False
262,65,1/16,155/8,182,0,repetition,0,25,False
263,67,1/16,311/16,183,0,ornamentation,0,25,False
264,53,1/4,39/2,184,3,repetition,2,25,True
265,62,1/4,39/2,184,1,match,1,25,True
266,69,1/4,39/2,184,0,match,0,25,True
286,41,1/8,21,192,4,match,4,26,True
287,53,1/8,21,192,3,match,3,26,True
287,53,1/8,21,192,2,match,2,26,True
288,60,1/8,21,192,1,match,1,26,True
289,69,1/8,21,192,0,match,0,26,True
290,53,1/16,169/8,193,1,ornamentation,0,26,False
291,55,1/16,339/16,194,1,ornamentation,0,26,False
292,57,1/16,85/4,195,1,ornamentation,0,26,False
293,58,1/16,341/16,196,1,ornamentation,0,26,False
294,60,1/16,171/8,197,1,ornamentation,0,26,False
295,62,1/16,343/16,198,1,ornamentation,0,26,False
296,41,1/4,43/2,199,4,repetition,2,26,True
297,53,1/4,43/2,199,3,match,1,26,True
298,60,1/4,43/2,199,1,repetition,0,26,True
314,41,1/8,23,206,4,match,4,27,True
316,57,1/8,23,206,3,match,3,27,True
315,53,1/8,23,206,2,match,2,27,True
317,60,1/8,23,206,1,match,1,27,True
318,72,1/8,23,206,0,match,0,27,True
319,62,1/16,185/8,207,0,ornamentation,0,27,False
320,64,1/16,371/16,208,0,ornamentation,0,27,False
321,65,1/16,93/4,209,0,ornamentation,0,27,False
322,67,1/16,373/16,210,0,ornamentation,0,27,False
323,69,1/16,187/8,211,0,ornamentation,0,27,False
324,71,1/16,375/16,212,0,ornamentation,0,27,False
325,48,1/8,47/2,213,4,match,3,27,True
326,55,1/8,47/2,213,3,match,2,27,True
327,60,1/8,47/2,213,1,match,1,27,True
328,72,1/8,47/2,213,0,repetition,0,27,True
325,48,1/8,47/2,213,4,match,3,28,True
326,55,1/8,47/2,213,3,match,2,28,True
327,60,1/8,47/2,213,1,match,1,28,True
328,72,1/8,47/2,213,0,repetition,0,28,True
329,70,1/16,189/8,214,0,ornamentation,0,28,False
330,69,1/16,379/16,215,0,ornamentation,0,28,False
331,67,1/16,95/4,216,0,adaptation,0,28,False
332,65,1/16,381/16,217,1,ornamentation,0,28,False
333,64,1/16,191/8,218,1,adaptation,0,28,False
334,62,1/16,383/16,219,1,ornamentation,0,28,False
335,48,1/8,24,220,4,match,2,28,True
336,64,1/8,24,220,1,match,1,28,True
337,67,1/8,24,220,0,match,0,28,True
335,48,1/8,24,220,4,match,2,29,True
336,64,1/8,24,220,1,match,1,29,True
337,67,1/8,24,220,0,match,0,29,True
338,50,1/16,193/8,221,2,ornamentation,0,29,False
