note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
166,60,1/8,13,127,0,match,0,40,True,0
167,62,1/32,105/8,128,0,ornamentation,0,40,False,0
168,64,1/32,421/32,129,0,ornamentation,0,40,False,0
169,65,1/32,211/16,130,0,ornamentation,0,40,False,0
170,67,1/32,423/32,131,0,ornamentation,0,40,False,0
172,65,1/8,53/4,132,0,match,0,40,True,0
172,65,1/8,53/4,132,0,match,0,41,True,1
173,64,1/16,107/8,133,0,ornamentation,0,41,False,1
174,65,1/16,215/16,134,0,ornamentation,0,41,False,1
177,65,1/8,27/2,135,0,repetition,0,41,True,1
177,65,1/8,27/2,135,0,repetition,0,42,True,2
178,64,1/16,109/8,136,0,match,0,42,False,2
179,62,1/16,219/16,137,0,ornamentation,0,42,False,2
180,65,1/16,55/4,138,0,adaptation,0,42,False,2
181,64,1/16,221/16,139,0,ornamentation,0,42,False,2
182,65,1/32,111/8,140,0,adaptation,0,42,True,2
181,64,1/16,221/16,139,0,ornamentation,0,43,True,3
182,65,1/32,111/8,140,0,adaptation,0,43,False,3
183,64,1/32,445/32,141,0,ornamentation,0,43,False,3
184,62,1/32,223/16,142,0,ornamentation,0,43,False,3
185,64,1/32,447/32,143,0,ornamentation,0,43,False,3
189,65,1/4,14,144,0,match,0,43,True,3
216,67,1/4,65/4,160,0,match,0,44,True,4
219,64,1/8,33/2,161,0,match,0,44,False,4
220,65,1/8,133/8,162,0,ornamentation,0,44,False,4
222,67,1/4,67/4,163,0,match,0,44,True,4
258,65,3/16,19,178,0,match,0,45,True,5
259,64,1/16,307/16,179,0,ornamentation,0,45,False,5
260,62,1/16,77/4,180,0,ornamentation,0,45,False,5
261,64,1/16,309/16,181,0,ornamentation,0,45,False,5
262,65,1/16,155/8,182,0,repetition,0,45,False,5
263,67,1/16,311/16,183,0,ornamentation,0,45,False,5
266,69,1/4,39/2,184,0,match,0,45,True,5
318,72,1/8,23,206,0,match,0,46,True,6
319,62,1/16,185/8,207,0,ornamentation,0,46,False,6
320,64,1/16,371/16,208,0,ornamentation,0,46,False,6
321,65,1/16,93/4,209,0,ornamentation,0,46,False,6
322,67,1/16,373/16,210,0,ornamentation,0,46,False,6
323,69,1/16,187/8,211,0,ornamentation,0,46,False,6
324,71,1/16,375/16,212,0,ornamentation,0,46,False,6
328,72,1/8,47/2,213,0,repetition,0,46,True,6
328,72,1/8,47/2,213,0,repetition,0,47,True,7
329,70,1/16,189/8,214,0,ornamentation,0,47,False,7
330,69,1/16,379/16,215,0,ornamentation,0,47,False,7
331,67,1/16,95/4,216,0,adaptation,0,47,False,7
337,67,1/8,24,220,0,match,0,47,True,7
353,67,1/8,25,231,0,match,0,48,True,8
354,65,1/16,201/8,232,0,ornamentation,0,48,False,8
355,67,1/16,403/16,233,0,ornamentation,0,48,False,8
357,69,1/8,101/4,234,0,match,0,48,True,8
362,69,3/16,51/2,236,0,repetition,0,49,True,9
363,67,1/16,411/16,237,0,ornamentation,0,49,False,9
364,69,1/16,103/4,238,0,adaptation,0,49,False,9
365,67,1/16,413/16,239,0,ornamentation,0,49,False,9
366,65,1/16,207/8,240,0,match,0,49,False,9
367,67,1/16,415/16,241,0,ornamentation,0,49,False,9
369,69,1/4,26,242,0,match,0,49,True,9
401,67,3/16,28,261,0,match,0,50,True,10
406,65,1/16,455/16,266,0,ornamentation,0,50,False,10
407,67,1/16,57/2,267,0,match,0,50,False,10
414,67,1/8,115/4,271,0,repetition,0,50,True,10
414,67,1/8,115/4,271,0,repetition,0,51,True,11
415,65,1/16,231/8,272,0,ornamentation,0,51,False,11
416,67,1/16,463/16,273,0,ornamentation,0,51,False,11
419,69,3/16,29,274,0,match,0,51,True,11
446,72,3/16,31,292,0,match,0,52,True,12
447,70,1/16,499/16,293,0,ornamentation,0,52,False,12
449,69,1/4,125/4,294,0,match,0,52,True,12
453,69,1/8,63/2,295,0,repetition,0,53,True,13
454,67,1/16,253/8,296,0,ornamentation,0,53,False,13
455,69,1/16,507/16,297,0,ornamentation,0,53,False,13
458,67,1/8,127/4,298,0,match,0,53,True,13
513,67,1/8,35,326,0,match,0,54,True,14
514,65,1/16,281/8,327,0,ornamentation,0,54,False,14
515,67,1/16,563/16,328,0,ornamentation,0,54,False,14
517,69,1/8,141/4,329,0,match,0,54,True,14
521,69,1/8,71/2,331,0,repetition,0,55,True,15
522,67,1/16,285/8,332,0,adaptation,0,55,False,15
523,65,1/16,571/16,333,0,ornamentation,0,55,False,15
526,67,1/8,143/4,334,0,adaptation,0,55,True,15
526,67,1/8,143/4,334,0,adaptation,0,56,True,16
527,65,1/16,287/8,335,0,ficta,0,56,False,16
528,67,1/16,575/16,336,0,ornamentation,0,56,False,16
531,69,1/4,36,337,0,match,0,56,True,16
568,70,3/16,77/2,357,0,ficta,0,57,True,17
571,67,1/16,621/16,360,0,ornamentation,0,57,False,17
572,69,1/16,311/8,361,0,ornamentation,0,57,False,17
573,70,1/16,623/16,362,0,ornamentation,0,57,False,17
577,69,1/8,39,363,0,match,0,57,True,17
573,70,1/16,623/16,362,0,ornamentation,0,58,True,18
577,69,1/8,39,363,0,match,0,58,False,18
588,72,1/8,159/4,368,0,match,0,58,False,18
593,70,1/8,40,370,0,ficta,0,58,False,18
594,69,1/8,321/8,371,0,ornamentation,0,58,False,18
595,67,1/8,161/4,372,0,match,0,58,False,18
596,70,1/8,323/8,373,0,ornamentation,0,58,False,18
601,69,1/4,81/2,374,0,match,0,58,True,18
601,69,1/4,81/2,374,0,match,0,59,True,19
602,48,1/8,163/4,375,0,ornamentation,0,59,False,19
603,71,1/8,327/8,376,0,match,0,59,False,19
608,72,1,41,377,0,match,0,59,True,19
193,60,1/4,29/2,146,1,match,1,60,True,0
198,64,1/8,15,148,1,match,0,60,False,0
202,64,1/8,123/8,151,1,ornamentation,0,60,False,0
206,65,1/8,31/2,152,1,match,0,60,False,0
215,64,1/4,16,159,1,match,0,60,True,0
288,60,1/8,21,192,1,match,1,61,True,1
290,53,1/16,169/8,193,1,ornamentation,0,61,False,1
291,55,1/16,339/16,194,1,ornamentation,0,61,False,1
292,57,1/16,85/4,195,1,ornamentation,0,61,False,1
293,58,1/16,341/16,196,1,ornamentation,0,61,False,1
294,60,1/16,171/8,197,1,ornamentation,0,61,False,1
295,62,1/16,343/16,198,1,ornamentation,0,61,False,1
298,60,1/4,43/2,199,1,repetition,0,61,True,1
327,60,1/8,47/2,213,1,match,1,62,True,2
332,65,1/16,381/16,217,1,ornamentation,0,62,False,2
333,64,1/16,191/8,218,1,adaptation,0,62,False,2
334,62,1/16,383/16,219,1,ornamentation,0,62,False,2
336,64,1/8,24,220,1,match,1,62,True,2
346,65,1/4,49/2,227,1,match,0,63,True,3
348,64,1/16,199/8,229,1,ornamentation,0,63,False,3
349,65,1/16,399/16,230,1,ornamentation,0,63,False,3
352,64,1/8,25,231,1,match,1,63,True,3
400,64,3/16,28,261,1,match,1,64,True,4
402,62,1/16,451/16,262,1,ornamentation,0,64,False,4
403,60,1/16,113/4,263,1,ornamentation,0,64,False,4
404,62,1/16,453/16,264,1,ornamentation,0,64,False,4
405,64,1/16,227/8,265,1,repetition,0,64,False,4
413,64,1/8,115/4,271,1,repetition,1,64,True,4
567,67,3/16,77/2,357,1,match,1,65,True,5
569,69,1/16,619/16,358,1,ornamentation,0,65,False,5
570,65,1/16,155/4,359,1,adaptation,0,65,False,5
576,65,1/8,39,363,1,match,1,65,True,5
20,53,1/8,2,20,2,match,0,24,False,0
28,53,1/8,5/2,27,2,match,0,24,False,0
30,52,1/8,21/8,28,2,ornamentation,0,24,False,0
31,53,1/8,11/4,29,2,ornamentation,0,24,False,0
32,55,1/8,23/8,30,2,ornamentation,0,24,False,0
33,57,1/8,3,31,2,match,0,24,False,0
40,57,1/16,55/16,37,2,ornamentation,0,24,True,0
33,57,1/8,3,31,2,match,0,25,True,1
40,57,1/16,55/16,37,2,ornamentation,0,25,False,1
42,58,1/16,7/2,38,2,match,0,25,False,1
43,62,1/16,57/16,39,2,ornamentation,0,25,False,1
44,60,1/16,29/8,40,2,ornamentation,0,25,False,1
45,58,1/16,59/16,41,2,ornamentation,0,25,False,1
46,60,1/16,15/4,42,2,ornamentation,0,25,False,1
47,58,1/16,61/16,43,2,ornamentation,0,25,False,1
48,60,1/32,31/8,44,2,ornamentation,0,25,True,1
47,58,1/16,61/16,43,2,ornamentation,0,26,True,2
48,60,1/32,31/8,44,2,ornamentation,0,26,False,2
49,58,1/32,125/32,45,2,ornamentation,0,26,False,2
50,57,1/32,63/16,46,2,ornamentation,0,26,False,2
51,55,1/32,127/32,47,2,ornamentation,0,26,False,2
53,57,1/4,4,48,2,match,0,26,True,2
93,55,1/8,31/4,78,2,repetition,0,27,True,3
94,57,1/32,63/8,79,2,ornamentation,0,27,False,3
95,55,1/32,253/32,80,2,ornamentation,0,27,False,3
96,53,1/32,127/16,81,2,ornamentation,0,27,False,3
97,55,1/32,255/32,82,2,ornamentation,0,27,False,3
99,57,1/8,8,83,2,match,0,27,True,3
97,55,1/32,255/32,82,2,ornamentation,0,28,True,4
99,57,1/8,8,83,2,match,0,28,False,4
100,55,1/8,65/8,84,2,ornamentation,0,28,False,4
102,53,1/8,33/4,85,2,adaptation,0,28,False,4
103,57,1/8,67/8,86,2,ornamentation,0,28,False,4
105,55,1/8,17/2,87,2,match,0,28,False,4
109,57,1/8,35/4,90,2,match,0,28,False,4
110,58,1/8,71/8,91,2,ornamentation,0,28,False,4
112,57,1/8,9,92,2,repetition,0,28,False,4
114,55,1/8,73/8,93,2,match,0,28,False,4
116,57,1/8,37/4,94,2,match,0,28,False,4
118,53,1/8,75/8,95,2,match,0,28,False,4
120,55,1/8,19/2,96,2,match,0,28,False,4
124,57,1/4,39/4,99,2,match,0,28,True,4
132,55,1/8,21/2,104,2,match,0,29,True,5
133,57,1/32,85/8,105,2,ornamentation,0,29,False,5
134,55,1/32,341/32,106,2,ornamentation,0,29,False,5
135,53,1/32,171/16,107,2,ornamentation,0,29,False,5
136,55,1/32,343/32,108,2,ornamentation,0,29,False,5
138,57,1/4,43/4,109,2,match,0,29,True,5
195,53,1/4,59/4,147,2,match,0,30,True,6
196,48,1/8,15,148,2,match,1,30,False,6
199,62,1/8,121/8,149,2,ornamentation,0,30,False,6
201,60,1/8,61/4,150,2,match,0,30,False,6
205,60,1/8,31/2,152,2,repetition,1,30,False,6
207,59,1/16,125/8,153,2,match,0,30,True,6
205,60,1/8,31/2,152,2,repetition,1,31,True,7
207,59,1/16,125/8,153,2,match,0,31,False,7
208,57,1/16,251/16,154,2,ornamentation,0,31,False,7
209,59,1/16,63/4,155,2,match,0,31,False,7
210,60,1/16,253/16,156,2,ornamentation,0,31,False,7
211,57,1/16,127/8,157,2,match,0,31,False,7
212,59,1/16,255/16,158,2,ornamentation,0,31,False,7
214,60,1/4,16,159,2,match,1,31,True,7
