note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
11;58;1/8;3/2;11;4;match;0;3;True;[non_monotonic]
12;57;1/16;13/8;12;4;ornamentation;0;3;False;[non_monotonic]
13;58;1/16;27/16;13;4;ornamentation;0;3;False;[non_monotonic]
14;60;1/16;7/4;14;4;ornamentation;0;3;False;[non_monotonic]
15;58;1/16;29/16;15;4;ornamentation;0;3;False;[non_monotonic]
16;60;1/32;15/8;16;4;ornamentation;0;3;True;[non_monotonic]
15;58;1/16;29/16;15;4;ornamentation;0;4;True;[monotonic_perfect_fifth_0_0]
16;60;1/32;15/8;16;4;ornamentation;0;4;False;[monotonic_perfect_fifth_0_0]
17;58;1/32;61/32;17;4;ornamentation;0;4;False;[monotonic_perfect_fifth_0_0]
18;57;1/32;31/16;18;4;ornamentation;0;4;False;[monotonic_perfect_fifth_0_0]
19;55;1/32;63/32;19;4;ornamentation;0;4;False;[monotonic_perfect_fifth_0_0]
21;57;1/8;2;20;4;match;1;4;True;[monotonic_perfect_fifth_0_0]
20;53;1/8;2;20;2;match;0;4;True;[monotonic_perfect_fifth_0_0]
47;58;1/16;61/16;43;2;ornamentation;0;8;True;[monotonic_perfect_fifth_0_1]
48;60;1/32;31/8;44;2;ornamentation;0;8;False;[monotonic_perfect_fifth_0_1]
49;58;1/32;125/32;45;2;ornamentation;0;8;False;[monotonic_perfect_fifth_0_1]
50;57;1/32;63/16;46;2;ornamentation;0;8;False;[monotonic_perfect_fifth_0_1]
51;55;1/32;127/32;47;2;ornamentation;0;8;False;[monotonic_perfect_fifth_0_1]
52;53;1/4;4;48;4;match;1;8;True;[monotonic_perfect_fifth_0_1]
53;57;1/4;4;48;2;match;0;8;True;[monotonic_perfect_fifth_0_1]
71;52;1/8;23/4;62;4;match;1;11;True;[non_monotonic]
72;55;1/8;23/4;62;2;repetition;0;11;True;[non_monotonic]
73;53;1/32;47/8;63;4;adaptation;0;11;False;[non_monotonic]
74;52;1/32;189/32;64;4;ornamentation;0;11;False;[non_monotonic]
75;50;1/32;95/16;65;4;ornamentation;0;11;False;[non_monotonic]
76;52;1/32;191/32;66;4;ornamentation;0;11;False;[non_monotonic]
77;53;3/16;6;67;4;match;1;11;True;[non_monotonic]
78;53;3/16;6;67;2;match;0;11;True;[non_monotonic]
92;48;1/8;31/4;78;4;match;1;14;True;[non_monotonic]
93;55;1/8;31/4;78;2;repetition;0;14;True;[non_monotonic]
94;57;1/32;63/8;79;2;ornamentation;0;14;False;[non_monotonic]
95;55;1/32;253/32;80;2;ornamentation;0;14;False;[non_monotonic]
96;53;1/32;127/16;81;2;ornamentation;0;14;False;[non_monotonic]
97;55;1/32;255/32;82;2;ornamentation;0;14;False;[non_monotonic]
98;41;1/8;8;83;4;match;1;14;True;[non_monotonic]
99;57;1/8;8;83;2;match;0;14;True;[non_monotonic]
131;52;1/8;21/2;104;4;match;1;19;True;[non_monotonic]
132;55;1/8;21/2;104;2;match;0;19;True;[non_monotonic]
133;57;1/32;85/8;105;2;ornamentation;0;19;False;[non_monotonic]
134;55;1/32;341/32;106;2;ornamentation;0;19;False;[non_monotonic]
135;53;1/32;171/16;107;2;ornamentation;0;19;False;[non_monotonic]
136;55;1/32;343/32;108;2;ornamentation;0;19;False;[non_monotonic]
137;53;1/4;43/4;109;4;match;1;19;True;[non_monotonic]
138;57;1/4;43/4;109;2;match;0;19;True;[non_monotonic]
152;48;1/16;189/16;118;4;ornamentation;0;21;True;[non_monotonic]
153;50;1/32;95/8;119;4;adaptation;0;21;False;[non_monotonic]
154;48;1/32;381/32;120;4;ornamentation;0;21;False;[non_monotonic]
155;50;1/32;191/16;121;4;ornamentation;0;21;False;[non_monotonic]
156;52;1/32;383/32;122;4;ornamentation;0;21;False;[non_monotonic]
157;53;1/4;12;123;4;match;2;21;True;[non_monotonic]
158;53;1/4;12;123;3;match;1;21;True;[non_monotonic]
158;53;1/4;12;123;2;match;0;21;True;[non_monotonic]
164;53;1/8;13;127;4;match;2;22;True;[monotonic]
165;57;1/8;13;127;3;match;1;22;True;[monotonic]
166;60;1/8;13;127;0;match;0;22;True;[monotonic]
167;62;1/32;105/8;128;0;ornamentation;0;22;False;[monotonic]
168;64;1/32;421/32;129;0;ornamentation;0;22;False;[monotonic]
169;65;1/32;211/16;130;0;ornamentation;0;22;False;[monotonic]
170;67;1/32;423/32;131;0;ornamentation;0;22;False;[monotonic]
171;53;1/8;53/4;132;4;match;1;22;True;[monotonic]
172;65;1/8;53/4;132;0;match;0;22;True;[monotonic]
181;64;1/16;221/16;139;0;ornamentation;0;25;True;[non_monotonic]
182;65;1/32;111/8;140;0;adaptation;0;25;False;[non_monotonic]
183;64;1/32;445/32;141;0;ornamentation;0;25;False;[non_monotonic]
184;62;1/32;223/16;142;0;ornamentation;0;25;False;[non_monotonic]
185;64;1/32;447/32;143;0;ornamentation;0;25;False;[non_monotonic]
186;53;1/4;14;144;4;match;3;25;True;[non_monotonic]
187;57;1/4;14;144;3;match;2;25;True;[non_monotonic]
188;60;1/4;14;144;1;match;1;25;True;[non_monotonic]
189;65;1/4;14;144;0;match;0;25;True;[non_monotonic]
386;53;1/8;55/2;252;4;match;3;37;True;[non_monotonic]
387;57;1/8;55/2;252;2;match;2;37;True;[non_monotonic]
388;65;1/8;55/2;252;1;match;1;37;True;[non_monotonic]
389;69;1/8;55/2;252;0;match;0;37;True;[non_monotonic]
390;52;1/16;221/8;253;4;ornamentation;0;37;False;[non_monotonic]
391;53;1/16;443/16;254;4;ornamentation;0;37;False;[non_monotonic]
392;55;1/16;111/4;255;4;adaptation;0;37;False;[non_monotonic]
393;53;1/16;445/16;256;4;ornamentation;0;37;False;[non_monotonic]
394;55;1/32;223/8;257;4;adaptation;0;37;True;[non_monotonic]
393;53;1/16;445/16;256;4;ornamentation;0;38;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
394;55;1/32;223/8;257;4;adaptation;0;38;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
395;53;1/32;893/32;258;4;ornamentation;0;38;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
396;52;1/32;447/16;259;4;ornamentation;0;38;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
397;50;1/32;895/32;260;4;ornamentation;0;38;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
398;48;3/16;28;261;4;match;3;38;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
399;60;3/16;28;261;2;match;2;38;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
400;64;3/16;28;261;1;match;1;38;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
401;67;3/16;28;261;0;match;0;38;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_2]
422;58;1/16;469/16;277;2;ornamentation;0;42;True;[non_monotonic]
423;60;1/32;235/8;278;2;ornamentation;0;42;False;[non_monotonic]
424;58;1/32;941/32;279;2;ornamentation;0;42;False;[non_monotonic]
425;57;1/32;471/16;280;2;ornamentation;0;42;False;[non_monotonic]
426;58;1/32;943/32;281;2;ornamentation;0;42;False;[non_monotonic]
427;53;1/4;59/2;282;4;match;2;42;True;[non_monotonic]
427;53;1/4;59/2;282;3;match;1;42;True;[non_monotonic]
428;57;1/4;59/2;282;2;repetition;0;42;True;[non_monotonic]
573;70;1/16;623/16;362;0;ornamentation;0;56;True;[monotonic_perfect_fifth_chords]
574;53;1/8;39;363;4;match;3;56;False;[monotonic_perfect_fifth_chords]
575;57;1/8;39;363;3;match;2;56;False;[monotonic_perfect_fifth_chords]
576;65;1/8;39;363;1;match;1;56;False;[monotonic_perfect_fifth_chords]
