note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
15;43;3/16;2;4;4;match;4;0;True
16;55;3/16;2;4;3;match;3;0;True
17;58;3/16;2;4;2;match;2;0;True
18;62;3/16;2;4;1;match;1;0;True
19;67;3/16;2;4;0;match;0;0;True
20;65;1/16;35/16;5;0;ornamentation;0;0;False
21;64;1/16;9/4;6;0;ornamentation;0;0;False
22;65;1/16;37/16;7;0;ornamentation;0;0;False
23;67;1/16;19/8;8;0;ornamentation;0;0;False
24;69;1/16;39/16;9;0;ornamentation;0;0;False
25;43;1/8;5/2;10;4;match;4;0;True
26;55;1/8;5/2;10;3;repetition;3;0;True
27;58;1/8;5/2;10;2;repetition;2;0;True
28;62;1/8;5/2;10;1;repetition;1;0;True
29;70;1/8;5/2;10;0;match;0;0;True
47;41;3/16;4;20;4;match;3;2;True
48;57;3/16;4;20;2;match;2;2;True
49;60;3/16;4;20;1;match;1;2;True
50;69;3/16;4;20;0;match;0;2;True
51;67;1/16;67/16;21;0;ornamentation;0;2;False
52;65;1/16;17/4;22;0;ornamentation;0;2;False
53;67;1/16;69/16;23;0;ornamentation;0;2;False
54;69;1/16;35/8;24;0;repetition;0;2;False
55;70;1/16;71/16;25;0;ornamentation;0;2;False
56;41;1/2;9/2;26;4;repetition;3;2;True
57;57;1/2;9/2;26;2;repetition;2;2;True
58;60;1/2;9/2;26;1;repetition;1;2;True
59;72;1/2;9/2;26;0;match;0;2;True
60;57;1/8;5;27;3;match;1;3;True
61;60;1/8;5;27;2;match;0;3;True
62;62;1/16;41/8;28;0;ornamentation;0;3;False
63;64;1/16;83/16;29;0;ornamentation;0;3;False
64;65;1/16;21/4;30;0;ornamentation;0;3;False
65;67;1/16;85/16;31;0;ornamentation;0;3;False
66;69;1/16;43/8;32;0;ornamentation;0;3;False
67;70;1/16;87/16;33;0;ornamentation;0;3;False
68;57;1/8;11/2;34;3;repetition;2;3;True
69;60;1/8;11/2;34;2;repetition;1;3;True
70;72;1/8;11/2;34;0;match;0;3;True
74;48;1/8;6;38;4;match;4;5;True
75;55;1/8;6;38;3;match;3;5;True
76;60;1/8;6;38;2;repetition;2;5;True
77;64;1/8;6;38;1;match;1;5;True
78;72;1/8;6;38;0;repetition;0;5;True
79;70;1/16;49/8;39;1;ornamentation;0;5;False
80;69;1/16;99/16;40;1;ornamentation;0;5;False
81;70;1/16;25/4;41;1;ornamentation;0;5;False
82;69;1/16;101/16;42;1;ornamentation;0;5;False
83;67;1/16;51/8;43;1;ornamentation;0;5;False
84;65;1/16;103/16;44;1;ornamentation;0;5;False
85;48;1/8;13/2;45;4;repetition;4;5;True
86;55;1/8;13/2;45;3;repetition;3;5;True
87;60;1/8;13/2;45;2;repetition;2;5;True
88;64;1/8;13/2;45;1;repetition;1;5;True
89;67;1/8;13/2;45;0;match;0;5;True
85;48;1/8;13/2;45;4;repetition;4;6;True
86;55;1/8;13/2;45;3;repetition;3;6;True
87;60;1/8;13/2;45;2;repetition;2;6;True
88;64;1/8;13/2;45;1;repetition;1;6;True
89;67;1/8;13/2;45;0;match;0;6;True
90;58;1/16;53/8;46;2;ornamentation;0;6;False
91;60;1/16;107/16;47;2;ornamentation;0;6;False
92;62;1/16;27/4;48;2;ornamentation;0;6;False
93;60;1/16;109/16;49;2;ornamentation;0;6;False
94;58;1/16;55/8;50;2;ornamentation;0;6;False
95;57;1/16;111/16;51;2;ornamentation;0;6;False
96;43;1/8;7;52;4;match;4;6;True
97;55;1/8;7;52;3;match;3;6;True
98;58;1/8;7;52;2;match;2;6;True
99;62;1/8;7;52;1;match;1;6;True
100;67;1/8;7;52;0;match;0;6;True
96;43;1/8;7;52;4;match;4;7;True
97;55;1/8;7;52;3;match;3;7;True
98;58;1/8;7;52;2;match;2;7;True
99;62;1/8;7;52;1;match;1;7;True
100;67;1/8;7;52;0;match;0;7;True
101;67;1/16;57/8;53;0;ornamentation;0;7;False
102;65;1/16;115/16;54;0;ornamentation;0;7;False
103;64;1/16;29/4;55;0;ornamentation;0;7;False
104;65;1/16;117/16;56;0;ornamentation;0;7;False
105;67;1/16;59/8;57;0;ornamentation;0;7;False
106;69;1/16;119/16;58;0;ornamentation;0;7;False
107;43;1/8;15/2;59;4;match;4;7;True
108;55;1/8;15/2;59;3;repetition;3;7;True
109;58;1/8;15/2;59;2;repetition;2;7;True
110;62;1/8;15/2;59;1;repetition;1;7;True
111;70;1/8;15/2;59;0;match;0;7;True
132;41;1/8;9;71;4;match;3;9;True
133;57;1/8;9;71;2;match;2;9;True
134;60;1/8;9;71;1;match;1;9;True
135;69;1/8;9;71;0;match;0;9;True
136;62;1/16;73/8;72;0;ornamentation;0;9;False
137;64;1/16;147/16;73;0;ornamentation;0;9;False
138;65;1/16;37/4;74;0;ornamentation;0;9;False
139;67;1/16;149/16;75;0;ornamentation;0;9;False
140;69;1/16;75/8;76;0;repetition;0;9;False
141;70;1/16;151/16;77;0;ornamentation;0;9;False
142;41;3/16;19/2;78;4;repetition;3;9;True
143;57;3/16;19/2;78;2;repetition;2;9;True
144;60;3/16;19/2;78;1;repetition;1;9;True
145;72;3/16;19/2;78;0;match;0;9;True
142;41;3/16;19/2;78;4;repetition;3;10;True
143;57;3/16;19/2;78;2;repetition;2;10;True
144;60;3/16;19/2;78;1;repetition;1;10;True
145;72;3/16;19/2;78;0;match;0;10;True
146;55;1/16;155/16;79;2;ornamentation;0;10;False
147;57;1/16;39/4;80;2;ornamentation;0;10;False
148;58;1/16;157/16;81;2;ornamentation;0;10;False
149;60;1/16;79/8;82;2;ornamentation;0;10;False
150;62;1/16;159/16;83;2;ornamentation;0;10;False
151;57;1/2;10;84;3;match;1;10;True
152;60;1/2;10;84;2;match;0;10;True
153;57;1/8;21/2;85;3;repetition;2;11;True
154;60;1/8;21/2;85;2;repetition;1;11;True
155;72;1/8;21/2;85;0;match;0;11;True
156;55;1/16;85/8;86;4;ornamentation;0;11;False
157;53;1/16;171/16;87;4;ornamentation;0;11;False
158;55;1/16;43/4;88;4;ornamentation;0;11;False
159;53;1/16;173/16;89;4;ornamentation;0;11;False
160;52;1/16;87/8;90;4;ornamentation;0;11;False
161;50;1/16;175/16;91;4;ornamentation;0;11;False
162;48;1/8;11;92;4;match;4;11;True
163;55;1/8;11;92;3;match;3;11;True
164;60;1/8;11;92;2;repetition;2;11;True
165;64;1/8;11;92;1;match;1;11;True
166;72;1/8;11;92;0;repetition;0;11;True
162;48;1/8;11;92;4;match;4;12;True
163;55;1/8;11;92;3;match;3;12;True
164;60;1/8;11;92;2;repetition;2;12;True
165;64;1/8;11;92;1;match;1;12;True
166;72;1/8;11;92;0;repetition;0;12;True
167;71;1/16;89/8;93;2;ornamentation;0;12;False
168;69;1/16;179/16;94;2;ornamentation;0;12;False
169;67;1/16;45/4;95;2;ornamentation;0;12;False
170;65;1/16;181/16;96;2;ornamentation;0;12;False
171;64;1/16;91/8;97;2;ornamentation;0;12;False
172;62;1/16;183/16;98;2;ornamentation;0;12;False
173;48;1/8;23/2;99;4;repetition;4;12;True
174;55;1/8;23/2;99;3;repetition;3;12;True
175;60;1/8;23/2;99;2;repetition;2;12;True
176;64;1/8;23/2;99;1;repetition;1;12;True
177;67;1/8;23/2;99;0;match;0;12;True
181;43;3/16;12;103;4;match;4;14;True
182;55;3/16;12;103;3;match;3;14;True
183;58;3/16;12;103;2;match;2;14;True
184;62;3/16;12;103;1;match;1;14;True
185;67;3/16;12;103;0;match;0;14;True
186;65;1/16;195/16;104;0;ornamentation;0;14;False
187;64;1/16;49/4;105;0;ornamentation;0;14;False
188;65;1/16;197/16;106;0;ornamentation;0;14;False
189;67;1/16;99/8;107;0;ornamentation;0;14;False
190;69;1/16;199/16;108;0;ornamentation;0;14;False
191;43;3/16;25/2;109;4;match;4;14;True
192;55;3/16;25/2;109;3;repetition;3;14;True
193;58;3/16;25/2;109;2;repetition;2;14;True
194;62;3/16;25/2;109;1;repetition;1;14;True
195;70;3/16;25/2;109;0;match;0;14;True
191;43;3/16;25/2;109;4;match;4;15;True
192;55;3/16;25/2;109;3;repetition;3;15;True
193;58;3/16;25/2;109;2;repetition;2;15;True
194;62;3/16;25/2;109;1;repetition;1;15;True
195;70;3/16;25/2;109;0;match;0;15;True
196;41;1/16;203/16;110;4;ornamentation;0;15;False
197;43;1/16;51/4;111;4;ornamentation;0;15;False
198;41;1/16;205/16;112;4;ornamentation;0;15;False
199;43;1/16;103/8;113;4;ornamentation;0;15;False
200;45;1/16;207/16;114;4;ornamentation;0;15;False
201;46;1/8;13;115;4;match;4;15;True
202;53;1/8;13;115;3;match;3;15;True
203;58;1/8;13;115;2;match;2;15;True
204;62;1/8;13;115;1;match;1;15;True
205;70;1/8;13;115;0;repetition;0;15;True
209;46;1/8;27/2;119;4;repetition;4;17;True
210;53;1/8;27/2;119;3;repetition;3;17;True
211;58;1/8;27/2;119;2;repetition;2;17;True
212;62;1/8;27/2;119;1;repetition;1;17;True
213;65;1/8;27/2;119;0;match;0;17;True
214;45;1/16;109/8;120;4;ornamentation;0;17;False
215;46;1/16;219/16;121;4;ornamentation;0;17;False
216;48;1/16;55/4;122;4;adaptation;0;17;False
217;46;1/16;221/16;123;4;ornamentation;0;17;False
218;45;1/16;111/8;124;4;ornamentation;0;17;False
219;43;1/16;223/16;125;4;ornamentation;0;17;False
220;41;1/4;14;126;4;match;2;17;True
221;57;1/4;14;126;2;match;1;17;True
222;60;1/4;14;126;1;match;0;17;True
231;50;1/8;15;133;4;match;3;18;True
232;53;1/8;15;133;3;match;2;18;True
233;60;1/8;15;133;2;repetition;1;18;True
234;62;1/8;15;133;0;match;0;18;True
235;59;1/16;121/8;134;2;match;0;18;False
236;57;1/16;243/16;135;1;ornamentation;0;18;False
