note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
244;55;1/8;31/2;142;3;match;2;1;True;1;[non_monotonic]
247;53;1/16;125/8;143;3;ornamentation;0;1;False;1;[non_monotonic]
248;55;1/16;251/16;144;3;ornamentation;0;1;False;1;[non_monotonic]
249;57;1/16;63/4;145;3;ornamentation;0;1;False;1;[non_monotonic]
250;55;1/16;253/16;146;3;ornamentation;0;1;False;1;[non_monotonic]
251;57;1/32;127/8;147;3;ornamentation;0;1;True;1;[non_monotonic]
250;55;1/16;253/16;146;3;ornamentation;0;2;True;2;[non_monotonic]
251;57;1/32;127/8;147;3;ornamentation;0;2;False;2;[non_monotonic]
252;55;1/32;509/32;148;3;ornamentation;0;2;False;2;[non_monotonic]
253;53;1/32;255/16;149;3;ornamentation;0;2;False;2;[non_monotonic]
254;55;1/32;511/32;150;3;ornamentation;0;2;False;2;[non_monotonic]
255;57;1/4;16;151;3;match;1;2;True;2;[non_monotonic]
24;69;1/16;39/16;9;0;ornamentation;0;14;True;1;[non_monotonic]
29;70;1/8;5/2;10;0;match;0;14;False;1;[non_monotonic]
30;69;1/8;21/8;11;0;ornamentation;0;14;False;1;[non_monotonic]
31;67;1/8;11/4;12;0;ornamentation;0;14;False;1;[non_monotonic]
32;69;1/8;23/8;13;0;ornamentation;0;14;False;1;[non_monotonic]
37;70;1/4;3;14;0;repetition;0;14;True;1;[non_monotonic]
363;67;1/16;371/16;206;0;ornamentation;0;23;True;10;[monotonic]
364;65;1/8;93/4;207;0;ornamentation;0;23;False;10;[monotonic]
366;64;1/8;187/8;208;0;match;0;23;False;10;[monotonic]
369;62;1/8;47/2;209;0;match;0;23;False;10;[monotonic]
377;60;1/8;24;213;0;match;0;23;False;10;[monotonic]
382;60;1/16;389/16;217;0;ornamentation;0;23;True;10;[monotonic]
572;64;1/16;573/16;313;0;ornamentation;0;34;True;21;[non_monotonic]
573;65;1/32;287/8;314;0;ornamentation;0;34;False;21;[non_monotonic]
574;64;1/32;1149/32;315;0;ornamentation;0;34;False;21;[non_monotonic]
575;62;1/32;575/16;316;0;ornamentation;0;34;False;21;[non_monotonic]
576;64;1/32;1151/32;317;0;ornamentation;0;34;False;21;[non_monotonic]
580;65;1/4;36;318;0;match;0;34;True;21;[non_monotonic]
