note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
41,53,1/4,7/2,17,3,repetition,3,0,True
60,57,1/8,5,27,3,match,1,0,False
68,57,1/8,11/2,34,3,repetition,2,0,False
71,55,1/8,45/8,35,3,ornamentation,0,0,False
72,53,1/8,23/4,36,3,ornamentation,0,0,False
73,57,1/8,47/8,37,3,ornamentation,0,0,False
75,55,1/8,6,38,3,match,3,0,False
86,55,1/8,13/2,45,3,repetition,3,0,False
97,55,1/8,7,52,3,match,3,0,False
108,55,1/8,15/2,59,3,repetition,3,0,False
117,53,1/8,8,63,3,match,2,0,False
124,53,1/8,17/2,67,3,repetition,3,0,False
151,57,1/2,10,84,3,match,1,0,True
244,55,1/8,31/2,142,3,match,2,1,True
247,53,1/16,125/8,143,3,ornamentation,0,1,False
248,55,1/16,251/16,144,3,ornamentation,0,1,False
249,57,1/16,63/4,145,3,ornamentation,0,1,False
250,55,1/16,253/16,146,3,ornamentation,0,1,False
251,57,1/32,127/8,147,3,ornamentation,0,1,True
250,55,1/16,253/16,146,3,ornamentation,0,2,True
251,57,1/32,127/8,147,3,ornamentation,0,2,False
252,55,1/32,509/32,148,3,ornamentation,0,2,False
253,53,1/32,255/16,149,3,ornamentation,0,2,False
254,55,1/32,511/32,150,3,ornamentation,0,2,False
255,57,1/4,16,151,3,match,1,2,True
255,57,1/4,16,151,3,match,1,3,True
265,57,1/8,17,155,3,match,2,3,False
268,53,1/8,137/8,156,3,ornamentation,0,3,False
269,55,1/8,69/4,157,3,ornamentation,0,3,False
270,57,1/8,139/8,158,3,ornamentation,0,3,False
273,58,1/4,35/2,159,3,match,2,3,True
295,53,1/8,19,169,3,repetition,2,4,True
298,52,1/16,153/8,170,3,ornamentation,0,4,False
299,53,1/16,307/16,171,3,ornamentation,0,4,False
300,55,1/16,77/4,172,3,adaptation,0,4,False
301,53,1/16,309/16,173,3,ornamentation,0,4,False
302,52,1/16,155/8,174,3,repetition,0,4,False
303,50,1/16,311/16,175,3,repetition,0,4,False
318,55,1/8,81/4,182,3,adaptation,2,4,True
344,55,1/16,177/8,194,3,repetition,0,5,True
351,55,1/8,45/2,200,3,repetition,3,5,False
355,50,1/8,181/8,201,3,ornamentation,0,5,False
356,52,1/8,91/4,202,3,match,0,5,False
359,53,1/8,23,204,3,match,2,5,False
368,55,1/8,47/2,209,3,match,1,5,False
376,57,1/8,24,213,3,match,3,5,False
386,53,1/8,49/2,220,3,match,2,5,False
389,53,1/16,197/8,221,3,repetition,0,5,True
