output_csv,sequence_length,count,sequence_ids
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,1,2,"80,90"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,2,34,"4,8,10,11,18,24,25,29,30,37,47,48,55,56,66,71,72,73,74,78,79,81,83,85,94,96,98,100,101,102,103,106,107,111"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,3,4,"1,43,49,99"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,4,23,"9,15,16,27,38,40,41,42,44,45,50,51,53,64,65,76,82,89,95,97,104,105,109"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,5,17,"0,3,5,13,19,22,23,28,31,34,36,39,46,52,67,70,86"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,6,24,"2,6,12,14,17,20,21,26,33,35,58,59,61,62,63,68,69,84,87,88,92,93,108,110"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,7,2,"54,91"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,8,2,"7,75"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,9,2,"32,60"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,12,1,77
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_abtab.csv,13,1,57
output/5260_09_date_siceram_morentibus_sermisy/fourstep/5260_09_date_siceram_morentibus_sermisy_tab_abtab_fourstep.csv,4,17,"9,15,16,27,38,41,42,44,45,50,64,65,76,82,97,104,109"
output/5260_09_date_siceram_morentibus_sermisy/fourstep/5260_09_date_siceram_morentibus_sermisy_tab_abtab_non_chord.csv,1,2,"80,90"
output/5260_09_date_siceram_morentibus_sermisy/fourstep/5260_09_date_siceram_morentibus_sermisy_tab_abtab_non_chord.csv,2,21,"10,11,24,29,47,48,55,56,71,72,73,74,78,79,94,100,101,102,103,106,107"
output/5260_09_date_siceram_morentibus_sermisy/fourstep/5260_09_date_siceram_morentibus_sermisy_tab_abtab_non_chord.csv,3,1,43
output/5260_09_date_siceram_morentibus_sermisy/fourstep/5260_09_date_siceram_morentibus_sermisy_tab_abtab_non_chord.csv,4,18,"9,15,16,38,40,41,42,44,50,51,64,65,76,82,97,104,105,109"
output/5260_09_date_siceram_morentibus_sermisy/fourstep/5260_09_date_siceram_morentibus_sermisy_tab_abtab_non_chord.csv,5,14,"0,3,5,13,22,23,28,31,34,36,46,52,67,70"
output/5260_09_date_siceram_morentibus_sermisy/fourstep/5260_09_date_siceram_morentibus_sermisy_tab_abtab_non_chord.csv,6,23,"2,6,12,14,17,20,21,26,33,35,58,59,61,63,68,69,84,87,88,92,93,108,110"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_raw.csv,4,24,"6,10,11,19,28,30,31,32,33,34,36,37,39,48,49,55,57,62,66,67,68,69,70,72"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_raw.csv,5,18,"0,2,3,8,13,16,17,20,21,24,26,27,29,35,38,50,53,59"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_raw.csv,6,24,"1,4,7,9,12,14,15,18,23,25,42,43,45,46,47,51,52,58,60,61,64,65,71,73"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_raw.csv,7,2,"40,63"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_raw.csv,8,2,"5,54"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_raw.csv,9,2,"22,44"
output/5260_09_date_siceram_morentibus_sermisy/5260_09_date_siceram_morentibus_sermisy_tab_raw.csv,12,1,56
