note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
80;59;1/16;93/16;52;1;ornamentation;0;6;True;[non_monotonic]
81;60;1/32;47/8;53;1;repetition;0;6;False;[non_monotonic]
82;59;1/32;189/32;54;1;ornamentation;0;6;False;[non_monotonic]
83;60;1/32;95/16;55;1;ornamentation;0;6;False;[non_monotonic]
84;62;1/32;191/32;56;1;ornamentation;0;6;False;[non_monotonic]
85;60;1/8;6;57;3;match;2;6;True;[non_monotonic]
86;64;1/8;6;57;1;match;1;6;True;[non_monotonic]
87;67;1/8;6;57;0;match;0;6;True;[non_monotonic]
125;53;1/8;17/2;85;4;match;3;10;True;[non_monotonic]
126;57;1/8;17/2;85;3;match;2;10;True;[non_monotonic]
127;65;1/8;17/2;85;1;match;1;10;True;[non_monotonic]
128;69;1/8;17/2;85;0;match;0;10;True;[non_monotonic]
129;67;1/16;69/8;86;1;ornamentation;0;10;False;[non_monotonic]
130;69;1/16;139/16;87;1;ornamentation;0;10;False;[non_monotonic]
131;71;1/16;35/4;88;1;ornamentation;0;10;False;[non_monotonic]
132;69;1/16;141/16;89;1;ornamentation;0;10;False;[non_monotonic]
133;71;1/32;71/8;90;1;ornamentation;0;10;True;[non_monotonic]
132;69;1/16;141/16;89;1;ornamentation;0;11;True;[non_monotonic]
133;71;1/32;71/8;90;1;ornamentation;0;11;False;[non_monotonic]
134;69;1/32;285/32;91;1;ornamentation;0;11;False;[non_monotonic]
135;67;1/32;143/16;92;1;ornamentation;0;11;False;[non_monotonic]
136;69;1/32;287/32;93;1;ornamentation;0;11;False;[non_monotonic]
137;52;1/8;9;94;4;match;3;11;True;[non_monotonic]
138;59;1/8;9;94;3;adaptation;2;11;True;[non_monotonic]
139;67;1/8;9;94;1;match;1;11;True;[non_monotonic]
140;71;1/8;9;94;0;match;0;11;True;[non_monotonic]
242;45;1/4;15;153;4;match;3;19;True;[monotonic_perfect_fifth_0_1_chords]
243;52;1/4;15;153;2;match;2;19;True;[monotonic_perfect_fifth_0_1_chords]
244;57;1/4;15;153;1;match;1;19;True;[monotonic_perfect_fifth_0_1_chords]
245;72;1/4;15;153;0;match;0;19;True;[monotonic_perfect_fifth_0_1_chords]
246;57;1/8;61/4;154;1;ornamentation;0;19;False;[monotonic_perfect_fifth_0_1_chords]
247;59;1/8;123/8;155;1;match;1;19;False;[monotonic_perfect_fifth_0_1_chords]
248;71;1/8;123/8;155;0;match;0;19;False;[monotonic_perfect_fifth_0_1_chords]
249;45;1/8;31/2;156;4;repetition;3;19;False;[monotonic_perfect_fifth_0_1_chords]
250;52;1/8;31/2;156;2;repetition;2;19;False;[monotonic_perfect_fifth_0_1_chords]
251;60;1/8;31/2;156;1;match;1;19;False;[monotonic_perfect_fifth_0_1_chords]
252;69;1/8;31/2;156;0;match;0;19;False;[monotonic_perfect_fifth_0_1_chords]
253;62;1/8;125/8;157;1;match;0;19;False;[monotonic_perfect_fifth_0_1_chords]
254;64;1/4;63/4;158;1;match;1;19;True;[monotonic_perfect_fifth_0_1_chords]
255;67;1/4;63/4;158;0;match;0;19;True;[monotonic_perfect_fifth_0_1_chords]
356;53;1/8;87/4;218;3;match;2;28;True;[non_monotonic]
357;62;1/8;87/4;218;1;match;1;28;True;[non_monotonic]
358;69;1/8;87/4;218;0;match;0;28;True;[non_monotonic]
359;71;1/32;175/8;219;0;ornamentation;0;28;False;[non_monotonic]
360;69;1/32;701/32;220;0;ornamentation;0;28;False;[non_monotonic]
361;67;1/32;351/16;221;0;ornamentation;0;28;False;[non_monotonic]
362;69;1/32;703/32;222;0;ornamentation;0;28;False;[non_monotonic]
363;52;1/8;22;223;3;match;2;28;True;[non_monotonic]
364;62;1/8;22;223;1;repetition;1;28;True;[non_monotonic]
365;67;1/8;22;223;0;match;0;28;True;[non_monotonic]
377;59;1/16;365/16;231;1;ornamentation;0;31;True;[non_monotonic]
378;60;1/32;183/8;232;1;ornamentation;0;31;False;[non_monotonic]
379;59;1/32;733/32;233;1;ornamentation;0;31;False;[non_monotonic]
380;57;1/32;367/16;234;1;ornamentation;0;31;False;[non_monotonic]
381;59;1/32;735/32;235;1;ornamentation;0;31;False;[non_monotonic]
382;45;1/4;23;236;4;match;3;31;True;[non_monotonic]
383;48;1/4;23;236;3;match;2;31;True;[non_monotonic]
384;60;1/4;23;236;1;match;1;31;True;[non_monotonic]
385;64;1/4;23;236;0;match;0;31;True;[non_monotonic]
382;45;1/4;23;236;4;match;3;32;True;[monotonic_perfect_fifth_0_0]
383;48;1/4;23;236;3;match;2;32;True;[monotonic_perfect_fifth_0_0]
384;60;1/4;23;236;1;match;1;32;True;[monotonic_perfect_fifth_0_0]
385;64;1/4;23;236;0;match;0;32;True;[monotonic_perfect_fifth_0_0]
386;57;1/16;93/4;237;1;ornamentation;0;32;False;[monotonic_perfect_fifth_0_0]
387;59;1/16;373/16;238;1;ornamentation;0;32;False;[monotonic_perfect_fifth_0_0]
388;60;1/16;187/8;239;1;ornamentation;0;32;False;[monotonic_perfect_fifth_0_0]
389;62;1/16;375/16;240;1;ornamentation;0;32;False;[monotonic_perfect_fifth_0_0]
390;45;3/16;47/2;241;4;repetition;3;32;True;[monotonic_perfect_fifth_0_0]
391;48;3/16;47/2;241;3;repetition;2;32;True;[monotonic_perfect_fifth_0_0]
392;60;3/16;47/2;241;1;repetition;1;32;True;[monotonic_perfect_fifth_0_0]
393;64;3/16;47/2;241;0;repetition;0;32;True;[monotonic_perfect_fifth_0_0]
396;59;1/16;381/16;244;1;ornamentation;0;33;True;[monotonic_perfect_fifth_0_1]
397;60;1/32;191/8;245;1;ornamentation;0;33;False;[monotonic_perfect_fifth_0_1]
398;59;1/32;765/32;246;1;ornamentation;0;33;False;[monotonic_perfect_fifth_0_1]
399;57;1/32;383/16;247;1;ornamentation;0;33;False;[monotonic_perfect_fifth_0_1]
400;55;1/32;767/32;248;1;ornamentation;0;33;False;[monotonic_perfect_fifth_0_1]
401;53;1/4;24;249;4;match;1;33;True;[monotonic_perfect_fifth_0_1]
402;57;1/4;24;249;1;match;0;33;True;[monotonic_perfect_fifth_0_1]
403;60;1/4;97/4;250;3;match;1;34;True;[monotonic_perfect_fifth_2_0_chords, monotonic_perfect_fifth_1_3_chords, monotonic_perfect_fifth_1_2_chords, monotonic_perfect_fifth_0_2_chords]
