note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
14,69,1/8,3/2,10,0,repetition,0,0,True
15,69,1/16,13/8,11,0,ornamentation,0,0,False
16,67,1/16,27/16,12,0,ornamentation,0,0,False
17,66,1/16,7/4,13,0,ornamentation,0,0,False
18,67,1/16,29/16,14,0,ornamentation,0,0,False
19,69,1/16,15/8,15,0,ornamentation,0,0,False
20,71,1/16,31/16,16,0,ornamentation,0,0,False
23,72,3/16,2,17,0,match,0,0,True
38,71,3/16,3,26,0,match,0,1,True
39,69,1/16,51/16,27,0,ornamentation,0,1,False
40,71,1/16,13/4,28,0,ornamentation,0,1,False
41,69,1/16,53/16,29,0,ornamentation,0,1,False
42,67,1/16,27/8,30,0,ornamentation,0,1,False
43,66,1/16,55/16,31,0,ornamentation,0,1,False
46,67,1/8,7/2,32,0,match,0,1,True
46,67,1/8,7/2,32,0,match,0,2,True
47,66,1/16,29/8,33,0,ornamentation,0,2,False
48,64,1/16,59/16,34,0,ornamentation,0,2,False
49,62,1/16,15/4,35,0,ornamentation,0,2,False
50,64,1/16,61/16,36,0,ornamentation,0,2,False
51,66,1/16,31/8,37,0,ornamentation,0,2,False
52,67,1/16,63/16,38,0,ornamentation,0,2,False
55,69,1/8,4,39,0,match,0,2,True
52,67,1/16,63/16,38,0,ornamentation,0,3,True
55,69,1/8,4,39,0,match,0,3,False
56,72,1/8,33/8,40,0,ornamentation,0,3,False
58,71,1/8,17/4,41,0,adaptation,0,3,False
59,69,1/8,35/8,42,0,ornamentation,0,3,False
62,71,1/8,9/2,43,0,match,0,3,False
63,69,1/8,37/8,44,0,ornamentation,0,3,False
65,67,1/8,19/4,45,0,adaptation,0,3,False
66,66,1/8,39/8,46,0,ornamentation,0,3,False
69,64,1/4,5,47,0,match,0,3,True
87,67,1/8,6,57,0,match,0,4,True
88,69,1/16,49/8,58,0,ornamentation,0,4,False
89,67,1/16,99/16,59,0,ornamentation,0,4,False
92,65,1/8,25/4,60,0,match,0,4,True
92,65,1/8,25/4,60,0,match,0,5,True
93,67,1/16,51/8,61,0,ornamentation,0,5,False
94,65,1/16,103/16,62,0,ornamentation,0,5,False
97,64,1/8,13/2,63,0,match,0,5,True
140,71,1/8,9,94,0,match,0,6,True
141,69,1/16,73/8,95,0,ornamentation,0,6,False
142,67,1/16,147/16,96,0,ornamentation,0,6,False
143,66,1/16,37/4,97,0,ornamentation,0,6,False
144,67,1/16,149/16,98,0,ornamentation,0,6,False
145,69,1/16,75/8,99,0,ornamentation,0,6,False
146,71,1/16,151/16,100,0,ornamentation,0,6,False
150,72,1/8,19/2,101,0,match,0,6,True
146,71,1/16,151/16,100,0,ornamentation,0,7,True
150,72,1/8,19/2,101,0,match,0,7,False
151,71,1/8,77/8,102,0,ornamentation,0,7,False
155,72,1/4,39/4,103,0,repetition,0,7,True
155,72,1/4,39/4,103,0,repetition,0,8,True
159,71,1/8,10,104,0,match,0,8,False
160,69,1/8,81/8,105,0,ornamentation,0,8,False
162,69,1/8,41/4,106,0,match,0,8,False
167,69,1/8,21/2,108,0,repetition,0,8,False
168,68,1/16,85/8,109,0,ornamentation,0,8,True
167,69,1/8,21/2,108,0,repetition,0,9,True
168,68,1/16,85/8,109,0,ornamentation,0,9,False
169,66,1/16,171/16,110,0,ornamentation,0,9,False
170,68,1/16,43/4,111,0,match,0,9,False
171,69,1/16,173/16,112,0,ornamentation,0,9,False
172,68,1/16,87/8,113,0,ornamentation,0,9,False
173,66,1/16,175/16,114,0,ornamentation,0,9,False
177,69,1/8,11,115,0,match,0,9,True
258,65,3/16,16,159,0,match,0,10,True
259,69,1/16,259/16,160,0,ornamentation,0,10,False
260,67,1/16,65/4,161,0,adaptation,0,10,False
261,65,1/16,261/16,162,0,ornamentation,0,10,False
262,64,1/16,131/8,163,0,repetition,0,10,False
267,64,1/8,33/2,165,0,match,0,10,True
279,69,3/16,17,170,0,match,0,11,True
287,65,1/8,35/2,176,0,match,0,11,False
288,67,1/8,141/8,177,0,ornamentation,0,11,False
292,64,1/8,71/4,178,0,match,0,11,False
293,65,1/8,143/8,179,0,ornamentation,0,11,False
297,64,1/8,18,180,0,repetition,0,11,False
298,62,1/8,145/8,181,0,ornamentation,0,11,False
302,62,1/8,73/4,182,0,match,0,11,False
307,62,1/8,37/2,184,0,repetition,0,11,False
309,61,1/16,149/8,185,0,ornamentation,0,11,True
307,62,1/8,37/2,184,0,repetition,0,12,True
309,61,1/16,149/8,185,0,ornamentation,0,12,False
310,59,1/16,299/16,186,0,ornamentation,0,12,False
311,61,1/16,75/4,187,0,match,0,12,False
312,62,1/16,301/16,188,0,ornamentation,0,12,False
313,59,1/16,151/8,189,0,ornamentation,0,12,False
314,61,1/16,303/16,190,0,ornamentation,0,12,False
317,62,3/16,19,191,0,match,0,12,True
358,69,1/8,87/4,218,0,match,0,13,True
359,71,1/32,175/8,219,0,ornamentation,0,13,False
360,69,1/32,701/32,220,0,ornamentation,0,13,False
361,67,1/32,351/16,221,0,ornamentation,0,13,False
362,69,1/32,703/32,222,0,ornamentation,0,13,False
365,67,1/8,22,223,0,match,0,13,True
426,67,1/8,51/2,261,0,repetition,0,14,True
427,69,1/16,205/8,262,0,ornamentation,0,14,False
428,67,1/16,411/16,263,0,ornamentation,0,14,False
432,65,1/8,103/4,264,0,match,0,14,True
432,65,1/8,103/4,264,0,match,0,15,True
433,67,1/16,207/8,265,0,ornamentation,0,15,False
434,65,1/16,415/16,266,0,ornamentation,0,15,False
438,64,1/4,26,267,0,match,0,15,True
438,64,1/4,26,267,0,match,0,16,True
442,64,1/8,211/8,269,0,ornamentation,0,16,False
446,62,1/8,53/2,270,0,match,0,16,False
458,60,3/16,27,279,0,match,0,16,True
458,60,3/16,27,279,0,match,0,17,True
459,59,1/16,435/16,280,0,ornamentation,0,17,False
460,57,1/16,109/4,281,0,ornamentation,0,17,False
461,59,1/16,437/16,282,0,ornamentation,0,17,False
462,60,1/16,219/8,283,0,ornamentation,0,17,False
463,62,1/16,439/16,284,0,ornamentation,0,17,False
467,60,1/8,55/2,285,0,repetition,0,17,True
518,72,1/4,63/2,308,0,match,0,18,True
520,71,1/16,255/8,310,0,repetition,0,18,False
521,69,1/16,511/16,311,0,ornamentation,0,18,False
524,67,1/4,32,312,0,match,0,18,True
533,67,1/4,131/4,317,0,match,0,19,True
537,69,1/8,33,318,0,match,0,19,False
538,67,1/8,265/8,319,0,ornamentation,0,19,False
541,69,1/8,133/4,320,0,repetition,0,19,False
543,71,1/8,267/8,321,0,match,0,19,False
546,72,1/8,67/2,322,0,match,0,19,False
547,74,1/8,269/8,323,0,ornamentation,0,19,False
551,71,1/8,135/4,324,0,match,0,19,False
552,72,1/8,271/8,325,0,ornamentation,0,19,False
556,71,1/8,34,326,0,repetition,0,19,False
557,69,1/8,273/8,327,0,ornamentation,0,19,False
561,69,1/8,137/4,328,0,match,0,19,False
566,69,1/8,69/2,330,0,repetition,0,19,False
