note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
80;59;1/16;93/16;52;1;ornamentation;0;5;True;[non_monotonic]
81;60;1/32;47/8;53;1;repetition;0;5;False;[non_monotonic]
82;59;1/32;189/32;54;1;ornamentation;0;5;False;[non_monotonic]
83;60;1/32;95/16;55;1;ornamentation;0;5;False;[non_monotonic]
84;62;1/32;191/32;56;1;ornamentation;0;5;False;[non_monotonic]
86;64;1/8;6;57;1;match;1;5;True;[non_monotonic]
127;65;1/8;17/2;85;1;match;1;9;True;[non_monotonic]
129;67;1/16;69/8;86;1;ornamentation;0;9;False;[non_monotonic]
130;69;1/16;139/16;87;1;ornamentation;0;9;False;[non_monotonic]
131;71;1/16;35/4;88;1;ornamentation;0;9;False;[non_monotonic]
132;69;1/16;141/16;89;1;ornamentation;0;9;False;[non_monotonic]
133;71;1/32;71/8;90;1;ornamentation;0;9;True;[non_monotonic]
132;69;1/16;141/16;89;1;ornamentation;0;10;True;[non_monotonic]
133;71;1/32;71/8;90;1;ornamentation;0;10;False;[non_monotonic]
134;69;1/32;285/32;91;1;ornamentation;0;10;False;[non_monotonic]
135;67;1/32;143/16;92;1;ornamentation;0;10;False;[non_monotonic]
136;69;1/32;287/32;93;1;ornamentation;0;10;False;[non_monotonic]
139;67;1/8;9;94;1;match;1;10;True;[non_monotonic]
244;57;1/4;15;153;1;match;1;14;True;[monotonic_perfect_fifth_0_1]
246;57;1/8;61/4;154;1;ornamentation;0;14;False;[monotonic_perfect_fifth_0_1]
247;59;1/8;123/8;155;1;match;1;14;False;[monotonic_perfect_fifth_0_1]
251;60;1/8;31/2;156;1;match;1;14;False;[monotonic_perfect_fifth_0_1]
253;62;1/8;125/8;157;1;match;0;14;False;[monotonic_perfect_fifth_0_1]
254;64;1/4;63/4;158;1;match;1;14;True;[monotonic_perfect_fifth_0_1]
278;62;3/16;17;170;1;match;1;17;True;[monotonic]
280;67;1/16;275/16;171;1;ornamentation;0;17;False;[monotonic]
281;65;1/16;69/4;172;1;ornamentation;0;17;False;[monotonic]
282;64;1/16;277/16;173;1;ornamentation;0;17;False;[monotonic]
283;62;1/16;139/8;174;1;repetition;0;17;False;[monotonic]
308;64;1/8;37/2;184;1;match;1;17;True;[monotonic]
377;59;1/16;365/16;231;1;ornamentation;0;23;True;[non_monotonic]
378;60;1/32;183/8;232;1;ornamentation;0;23;False;[non_monotonic]
379;59;1/32;733/32;233;1;ornamentation;0;23;False;[non_monotonic]
380;57;1/32;367/16;234;1;ornamentation;0;23;False;[non_monotonic]
381;59;1/32;735/32;235;1;ornamentation;0;23;False;[non_monotonic]
384;60;1/4;23;236;1;match;1;23;True;[non_monotonic]
384;60;1/4;23;236;1;match;1;24;True;[monotonic]
386;57;1/16;93/4;237;1;ornamentation;0;24;False;[monotonic]
387;59;1/16;373/16;238;1;ornamentation;0;24;False;[monotonic]
388;60;1/16;187/8;239;1;ornamentation;0;24;False;[monotonic]
389;62;1/16;375/16;240;1;ornamentation;0;24;False;[monotonic]
392;60;3/16;47/2;241;1;repetition;1;24;True;[monotonic]
396;59;1/16;381/16;244;1;ornamentation;0;26;True;[monotonic]
397;60;1/32;191/8;245;1;ornamentation;0;26;False;[monotonic]
398;59;1/32;765/32;246;1;ornamentation;0;26;False;[monotonic]
399;57;1/32;383/16;247;1;ornamentation;0;26;False;[monotonic]
400;55;1/32;767/32;248;1;ornamentation;0;26;False;[monotonic]
402;57;1/4;24;249;1;match;0;26;True;[monotonic]
445;57;1/8;53/2;270;1;repetition;1;28;True;[non_monotonic]
447;56;1/16;213/8;271;1;ornamentation;0;28;False;[non_monotonic]
448;57;1/16;427/16;272;1;ornamentation;0;28;False;[non_monotonic]
449;59;1/16;107/4;273;1;adaptation;0;28;False;[non_monotonic]
450;57;1/16;429/16;274;1;ornamentation;0;28;False;[non_monotonic]
451;59;1/32;215/8;275;1;ornamentation;0;28;True;[non_monotonic]
