note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
6,69,1/8,3/2,4,0,match,0,0,True,0
7,62,1/16,13/8,5,0,ornamentation,0,0,False,0
8,64,1/16,27/16,6,0,ornamentation,0,0,False,0
9,65,1/16,7/4,7,0,ornamentation,0,0,False,0
10,67,1/16,29/16,8,0,ornamentation,0,0,False,0
11,69,1/16,15/8,9,0,ornamentation,0,0,False,0
12,70,1/16,31/16,10,0,ornamentation,0,0,False,0
14,69,1/4,2,11,0,match,0,0,True,0
18,69,1/8,5/2,13,0,match,0,1,True,1
19,67,1/16,21/8,14,0,ornamentation,0,1,False,1
20,69,1/16,43/16,15,0,ornamentation,0,1,False,1
21,70,1/16,11/4,16,0,ornamentation,0,1,False,1
22,69,1/16,45/16,17,0,ornamentation,0,1,False,1
23,70,1/32,23/8,18,0,ornamentation,0,1,True,1
22,69,1/16,45/16,17,0,ornamentation,0,2,True,2
23,70,1/32,23/8,18,0,ornamentation,0,2,False,2
24,69,1/32,93/32,19,0,ornamentation,0,2,False,2
25,67,1/32,47/16,20,0,ornamentation,0,2,False,2
26,69,1/32,95/32,21,0,ornamentation,0,2,False,2
28,70,1/4,3,22,0,match,0,2,True,2
39,67,1/8,4,31,0,match,0,3,True,3
40,65,1/16,33/8,32,0,ornamentation,0,3,False,3
41,67,1/16,67/16,33,0,ornamentation,0,3,False,3
42,69,1/16,17/4,34,0,ornamentation,0,3,False,3
43,67,1/16,69/16,35,0,ornamentation,0,3,False,3
44,65,1/16,35/8,36,0,ornamentation,0,3,False,3
45,64,1/16,71/16,37,0,ornamentation,0,3,False,3
47,65,1/2,9/2,38,0,match,0,3,True,3
56,69,3/16,13/2,45,0,match,0,4,True,4
57,67,1/16,107/16,46,0,ornamentation,0,4,False,4
58,69,1/16,27/4,47,0,ornamentation,0,4,False,4
59,67,1/16,109/16,48,0,ornamentation,0,4,False,4
60,69,1/32,55/8,49,0,ornamentation,0,4,True,4
