note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
17;62;1/8;5/2;13;1;match;1;1;True;[non_monotonic]
18;69;1/8;5/2;13;0;match;0;1;True;[non_monotonic]
19;67;1/16;21/8;14;0;ornamentation;0;1;False;[non_monotonic]
20;69;1/16;43/16;15;0;ornamentation;0;1;False;[non_monotonic]
21;70;1/16;11/4;16;0;ornamentation;0;1;False;[non_monotonic]
22;69;1/16;45/16;17;0;ornamentation;0;1;False;[non_monotonic]
23;70;1/32;23/8;18;0;ornamentation;0;1;True;[non_monotonic]
22;69;1/16;45/16;17;0;ornamentation;0;2;True;[non_monotonic]
23;70;1/32;23/8;18;0;ornamentation;0;2;False;[non_monotonic]
24;69;1/32;93/32;19;0;ornamentation;0;2;False;[non_monotonic]
25;67;1/32;47/16;20;0;ornamentation;0;2;False;[non_monotonic]
26;69;1/32;95/32;21;0;ornamentation;0;2;False;[non_monotonic]
27;62;1/4;3;22;1;match;1;2;True;[non_monotonic]
28;70;1/4;3;22;0;match;0;2;True;[non_monotonic]
59;67;1/16;109/16;48;0;ornamentation;0;5;True;[monotonic_perfect_fifth_0_1]
60;69;1/32;55/8;49;0;ornamentation;0;5;False;[monotonic_perfect_fifth_0_1]
61;67;1/32;221/32;50;0;ornamentation;0;5;False;[monotonic_perfect_fifth_0_1]
62;65;1/32;111/16;51;0;ornamentation;0;5;False;[monotonic_perfect_fifth_0_1]
63;64;1/32;223/32;52;0;ornamentation;0;5;False;[monotonic_perfect_fifth_0_1]
64;62;1/8;7;53;1;match;1;5;True;[monotonic_perfect_fifth_0_1]
65;65;1/8;7;53;0;match;0;5;True;[monotonic_perfect_fifth_0_1]
69;62;1/16;117/16;57;0;ornamentation;0;7;True;[monotonic]
70;64;1/32;59/8;58;0;ornamentation;0;7;False;[monotonic]
71;65;1/32;237/32;59;0;ornamentation;0;7;False;[monotonic]
72;67;1/32;119/16;60;0;ornamentation;0;7;False;[monotonic]
73;69;1/32;239/32;61;0;ornamentation;0;7;False;[monotonic]
74;58;1/8;15/2;62;1;match;1;7;True;[monotonic]
75;67;1/8;15/2;62;0;match;0;7;True;[monotonic]
74;58;1/8;15/2;62;1;match;1;8;True;[non_monotonic]
75;67;1/8;15/2;62;0;match;0;8;True;[non_monotonic]
76;57;1/16;61/8;63;1;ornamentation;0;8;False;[non_monotonic]
77;58;1/16;123/16;64;1;ornamentation;0;8;False;[non_monotonic]
78;60;1/16;31/4;65;1;ornamentation;0;8;False;[non_monotonic]
79;58;1/16;125/16;66;1;ornamentation;0;8;False;[non_monotonic]
80;60;1/32;63/8;67;1;ornamentation;0;8;True;[non_monotonic]
79;58;1/16;125/16;66;1;ornamentation;0;9;True;[non_monotonic]
80;60;1/32;63/8;67;1;ornamentation;0;9;False;[non_monotonic]
81;58;1/32;253/32;68;1;ornamentation;0;9;False;[non_monotonic]
82;57;1/32;127/16;69;1;ornamentation;0;9;False;[non_monotonic]
