output_csv,sequence_length,count,sequence_ids
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,1,11,"40,45,59,64,74,82,105,138,169,199,203"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,2,57,"0,12,16,20,21,22,31,32,33,34,41,43,57,65,76,77,78,91,94,96,100,106,112,118,120,123,128,129,130,147,149,150,151,152,159,162,163,165,170,171,173,174,175,178,180,182,183,187,192,193,195,196,198,201,202,204,205"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,3,8,"60,83,116,140,148,155,179,197"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,4,62,"1,2,3,5,6,11,19,23,24,27,28,29,30,35,36,44,46,47,50,52,61,62,66,67,68,71,72,85,86,88,93,97,98,99,108,110,114,117,121,124,126,127,131,136,137,139,141,142,143,146,156,157,160,164,167,168,177,186,188,189,190,200"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,5,24,"9,13,15,18,25,26,38,42,53,63,80,87,90,102,104,107,133,144,154,161,184,185,194,206"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,6,37,"4,7,8,10,14,37,39,49,54,55,56,58,69,70,73,75,79,81,84,89,92,95,101,103,109,111,115,122,132,135,145,153,158,172,176,181,191"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,8,5,"17,51,113,119,134"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,9,1,125
output/5263_12_in_exitu_israel_de_egipto_desprez-2/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab.csv,12,2,"48,166"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/fourstep/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab_fourstep.csv,4,55,"1,2,3,5,6,11,19,23,24,27,28,29,30,35,36,47,50,52,61,62,66,68,71,72,85,86,88,93,97,99,108,110,114,117,121,124,126,127,131,136,137,141,142,143,156,157,160,164,167,168,177,188,189,190,200"
output/5263_12_in_exitu_israel_de_egipto_desprez-2/fourstep/5263_12_in_exitu_israel_de_egipto_desprez-2_tab_abtab_non_chord.csv,1,11,"40,45,59,64,74,82,105,138,169,199,203"
