note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
1,48,1/2,1/2,1,3,match,0,0,True
2,50,1/8,1,2,3,match,1,0,False
3,53,1/8,1,2,2,match,0,0,False
4,48,1/8,9/8,3,3,ornamentation,0,0,False
5,50,1/16,5/4,4,3,ornamentation,0,0,True
4,48,1/8,9/8,3,3,ornamentation,0,1,True
5,50,1/16,5/4,4,3,ornamentation,0,1,False
6,48,1/16,21/16,5,3,ornamentation,0,1,False
7,46,1/16,11/8,6,3,ornamentation,0,1,False
8,45,1/16,23/16,7,3,ornamentation,0,1,False
9,43,1/8,3/2,8,3,match,2,1,True
10,55,1/8,3/2,8,2,match,1,1,True
11,58,1/8,3/2,8,1,match,0,1,True
9,43,1/8,3/2,8,3,match,2,2,True
10,55,1/8,3/2,8,2,match,1,2,True
11,58,1/8,3/2,8,1,match,0,2,True
12,53,1/16,13/8,9,2,ornamentation,0,2,False
13,55,1/16,27/16,10,2,ornamentation,0,2,False
14,57,1/16,7/4,11,2,ornamentation,0,2,False
15,55,1/16,29/16,12,2,ornamentation,0,2,False
16,57,1/32,15/8,13,2,ornamentation,0,2,True
15,55,1/16,29/16,12,2,ornamentation,0,3,True
16,57,1/32,15/8,13,2,ornamentation,0,3,False
17,55,1/32,61/32,14,2,ornamentation,0,3,False
18,53,1/32,31/16,15,2,ornamentation,0,3,False
19,55,1/32,63/32,16,2,ornamentation,0,3,False
20,57,1/8,2,17,2,match,1,3,True
21,60,1/8,2,17,1,match,0,3,True
20,57,1/8,2,17,2,match,1,4,True
21,60,1/8,2,17,1,match,0,4,True
22,58,1/16,17/8,18,2,ornamentation,0,4,False
23,60,1/16,35/16,19,2,ornamentation,0,4,False
24,62,1/16,9/4,20,2,ornamentation,0,4,False
25,60,1/16,37/16,21,2,ornamentation,0,4,False
26,58,1/16,19/8,22,2,ornamentation,0,4,False
27,60,1/16,39/16,23,2,ornamentation,0,4,False
28,58,1/4,5/2,24,2,match,2,4,True
29,62,1/4,5/2,24,1,match,1,4,True
30,65,1/4,5/2,24,0,match,0,4,True
39,46,1/4,4,30,3,match,2,5,True
40,62,1/4,4,30,1,match,1,5,True
41,70,1/4,4,30,0,match,0,5,True
42,62,1/16,17/4,31,1,match,0,5,False
43,64,1/16,69/16,32,0,ornamentation,0,5,False
44,65,1/16,35/8,33,0,ornamentation,0,5,False
45,67,1/16,71/16,34,0,ornamentation,0,5,False
46,58,1/4,9/2,35,2,match,2,5,True
47,62,1/4,9/2,35,1,match,1,5,True
48,65,1/4,9/2,35,0,match,0,5,True
54,55,1/8,21/4,38,3,match,2,6,True
55,58,1/8,21/4,38,2,match,1,6,True
56,67,1/8,21/4,38,0,match,0,6,True
57,60,1/32,43/8,39,2,ornamentation,0,6,False
58,58,1/32,173/32,40,2,ornamentation,0,6,False
59,57,1/32,87/16,41,2,ornamentation,0,6,False
60,58,1/32,175/32,42,2,ornamentation,0,6,False
61,53,1/8,11/2,43,3,match,2,6,True
62,60,1/8,11/2,43,2,match,1,6,True
63,69,1/8,11/2,43,0,match,0,6,True
61,53,1/8,11/2,43,3,match,2,7,True
62,60,1/8,11/2,43,2,match,1,7,True
63,69,1/8,11/2,43,0,match,0,7,True
64,67,1/16,45/8,44,0,ornamentation,0,7,False
65,65,1/16,91/16,45,0,ornamentation,0,7,False
66,64,1/16,23/4,46,0,ornamentation,0,7,False
67,65,1/16,93/16,47,0,ornamentation,0,7,False
68,67,1/16,47/8,48,0,ornamentation,0,7,False
69,69,1/16,95/16,49,0,ornamentation,0,7,False
70,46,1/8,6,50,3,match,2,7,True
71,58,1/8,6,50,2,match,1,7,True
72,70,1/8,6,50,0,match,0,7,True
70,46,1/8,6,50,3,match,2,8,True
71,58,1/8,6,50,2,match,1,8,True
72,70,1/8,6,50,0,match,0,8,True
73,45,1/16,49/8,51,3,ornamentation,0,8,False
74,46,1/16,99/16,52,3,ornamentation,0,8,False
75,48,1/16,25/4,53,3,ornamentation,0,8,False
76,50,1/16,101/16,54,3,ornamentation,0,8,False
77,51,1/16,51/8,55,3,ornamentation,0,8,False
78,53,1/16,103/16,56,3,ornamentation,0,8,False
79,51,3/16,13/2,57,3,match,3,8,True
81,58,3/16,13/2,57,2,repetition,2,8,True
80,55,3/16,13/2,57,1,match,1,8,True
82,70,3/16,13/2,57,0,repetition,0,8,True
79,51,3/16,13/2,57,3,match,3,9,True
81,58,3/16,13/2,57,2,repetition,2,9,True
80,55,3/16,13/2,57,1,match,1,9,True
82,70,3/16,13/2,57,0,repetition,0,9,True
83,57,1/16,107/16,58,2,ornamentation,0,9,False
84,55,1/16,27/4,59,2,ornamentation,0,9,False
85,57,1/16,109/16,60,2,ornamentation,0,9,False
86,58,1/16,55/8,61,2,ornamentation,0,9,False
87,60,1/16,111/16,62,2,ornamentation,0,9,False
88,51,1/4,7,63,3,repetition,2,9,True
90,58,1/4,7,63,2,match,1,9,True
89,55,1/4,7,63,1,repetition,0,9,True
93,51,1/8,15/2,65,3,match,2,10,True
95,58,1/8,15/2,65,2,repetition,1,10,True
94,55,1/8,15/2,65,1,match,0,10,True
96,50,1/16,61/8,66,3,ornamentation,0,10,False
97,51,1/16,123/16,67,3,ornamentation,0,10,False
98,53,1/16,31/4,68,3,adaptation,0,10,False
99,51,1/16,125/16,69,3,ornamentation,0,10,False
100,50,1/16,63/8,70,3,ornamentation,0,10,False
101,48,1/16,127/16,71,3,ornamentation,0,10,False
102,50,1/4,8,72,3,match,2,10,True
104,58,1/4,8,72,2,match,1,10,True
103,53,1/4,8,72,1,match,0,10,True
111,50,1/8,35/4,75,3,match,2,11,True
112,53,1/8,35/4,75,2,match,1,11,True
112,53,1/8,35/4,75,1,match,0,11,True
113,52,1/32,71/8,76,1,ornamentation,0,11,False
114,50,1/32,285/32,77,1,ornamentation,0,11,False
115,48,1/32,143/16,78,1,ornamentation,0,11,False
116,50,1/32,287/32,79,1,ornamentation,0,11,False
117,43,1/4,9,80,3,match,2,11,True
119,55,1/4,9,80,2,match,1,11,True
118,50,1/4,9,80,1,match,0,11,True
133,46,1/8,41/4,86,3,match,2,12,True
135,55,1/8,41/4,86,2,match,1,12,True
134,50,1/8,41/4,86,1,match,0,12,True
136,57,1/16,83/8,87,2,ornamentation,0,12,False
137,55,1/16,167/16,88,2,ornamentation,0,12,False
138,45,1/8,21/2,89,3,match,1,12,True
139,54,1/8,21/2,89,2,match,0,12,True
137,55,1/16,167/16,88,2,ornamentation,0,13,True
138,45,1/8,21/2,89,3,match,1,13,False
139,54,1/8,21/2,89,2,match,0,13,False
140,55,1/8,85/8,90,2,ornamentation,0,13,False
141,45,1/8,43/4,91,3,repetition,2,13,False
143,55,1/8,43/4,91,2,adaptation,1,13,False
142,48,1/8,43/4,91,1,match,0,13,False
144,54,1/8,87/8,92,2,ornamentation,0,13,False
145,43,1/8,11,93,3,match,2,13,False
147,55,1/8,11,93,2,match,1,13,False
146,50,1/8,11,93,1,match,0,13,False
148,60,1/16,89/8,94,0,ornamentation,0,13,True
145,43,1/8,11,93,3,match,2,14,True
147,55,1/8,11,93,2,match,1,14,True
146,50,1/8,11,93,1,match,0,14,True
148,60,1/16,89/8,94,0,ornamentation,0,14,False
149,62,1/16,179/16,95,0,ornamentation,0,14,False
150,64,1/16,45/4,96,0,ornamentation,0,14,False
151,65,1/16,181/16,97,0,ornamentation,0,14,False
152,67,1/16,91/8,98,0,ornamentation,0,14,False
153,69,1/16,183/16,99,0,ornamentation,0,14,False
154,55,1/4,23/2,100,2,repetition,1,14,True
155,70,1/4,23/2,100,0,match,0,14,True
164,55,3/16,25/2,104,3,match,2,15,True
165,62,3/16,25/2,104,1,match,1,15,True
166,70,3/16,25/2,104,0,match,0,15,True
167,60,1/16,203/16,105,1,ornamentation,0,15,False
168,62,1/16,51/4,106,1,ornamentation,0,15,False
169,64,1/16,205/16,107,1,ornamentation,0,15,False
170,65,1/16,103/8,108,1,adaptation,0,15,False
171,67,1/16,207/16,109,1,ornamentation,0,15,False
172,50,3/8,13,110,3,match,2,15,True
