note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
56;58;1/8;6;47;3;ornamentation;0;5;True;[non_monotonic]
57;57;1/16;49/8;48;3;ornamentation;0;5;False;[non_monotonic]
58;58;1/16;99/16;49;3;ornamentation;0;5;False;[non_monotonic]
59;60;1/16;25/4;50;3;adaptation;0;5;False;[non_monotonic]
60;58;1/16;101/16;51;1;ornamentation;0;5;False;[non_monotonic]
61;60;1/32;51/8;52;1;adaptation;0;5;True;[non_monotonic]
60;58;1/16;101/16;51;1;ornamentation;0;6;True;[monotonic]
61;60;1/32;51/8;52;1;adaptation;0;6;False;[monotonic]
62;58;1/32;205/32;53;3;ornamentation;0;6;False;[monotonic]
63;57;1/32;103/16;54;3;ornamentation;0;6;False;[monotonic]
64;55;1/32;207/32;55;3;ornamentation;0;6;False;[monotonic]
65;57;1/4;13/2;56;3;match;1;6;True;[monotonic]
66;60;1/4;13/2;56;1;match;0;6;True;[monotonic]
88;55;1/8;9;73;3;repetition;1;9;True;[non_monotonic]
89;57;1/8;9;73;1;match;0;9;True;[non_monotonic]
90;54;1/16;73/8;74;1;ornamentation;0;9;False;[non_monotonic]
91;55;1/16;147/16;75;1;ornamentation;0;9;False;[non_monotonic]
92;57;1/16;37/4;76;1;repetition;0;9;False;[non_monotonic]
93;55;1/16;149/16;77;1;ornamentation;0;9;False;[non_monotonic]
94;57;1/32;75/8;78;1;ornamentation;0;9;True;[non_monotonic]
102;53;1/8;41/4;85;3;match;0;11;True;[monotonic]
103;57;1/32;83/8;86;1;ornamentation;0;11;False;[monotonic]
104;58;1/32;333/32;87;1;ornamentation;0;11;False;[monotonic]
105;60;1/32;167/16;88;1;ornamentation;0;11;False;[monotonic]
106;62;1/32;335/32;89;1;ornamentation;0;11;False;[monotonic]
107;60;1/8;21/2;90;1;match;0;11;True;[monotonic]
112;52;1/4;11;94;3;match;1;13;True;[monotonic_perfect_fifth_0_0]
113;60;1/4;11;94;1;match;0;13;True;[monotonic_perfect_fifth_0_0]
114;48;1/16;45/4;95;3;match;0;13;False;[monotonic_perfect_fifth_0_0]
115;50;1/16;181/16;96;3;ornamentation;0;13;False;[monotonic_perfect_fifth_0_0]
116;52;1/16;91/8;97;3;adaptation;0;13;False;[monotonic_perfect_fifth_0_0]
117;53;1/16;183/16;98;3;ornamentation;0;13;False;[monotonic_perfect_fifth_0_0]
118;52;1/8;23/2;99;3;match;1;13;True;[monotonic_perfect_fifth_0_0]
119;55;1/8;23/2;99;1;match;0;13;True;[monotonic_perfect_fifth_0_0]
174;57;1/8;71/4;130;1;match;1;17;True;[non_monotonic]
175;69;1/8;71/4;130;0;match;0;17;True;[non_monotonic]
176;70;1/32;143/8;131;0;ornamentation;0;17;False;[non_monotonic]
177;69;1/32;573/32;132;0;ornamentation;0;17;False;[non_monotonic]
178;67;1/32;287/16;133;0;ornamentation;0;17;False;[non_monotonic]
179;69;1/32;575/32;134;0;ornamentation;0;17;False;[non_monotonic]
180;62;3/8;18;135;1;match;1;17;True;[non_monotonic]
181;70;3/8;18;135;0;match;0;17;True;[non_monotonic]
192;57;1/4;77/4;142;1;match;1;19;True;[monotonic_perfect_fifth_0_0]
193;69;1/4;77/4;142;0;match;0;19;True;[monotonic_perfect_fifth_0_0]
194;62;1/16;39/2;143;2;ornamentation;0;19;False;[monotonic_perfect_fifth_0_0]
195;64;1/16;313/16;144;2;ornamentation;0;19;False;[monotonic_perfect_fifth_0_0]
196;65;1/16;157/8;145;2;ornamentation;0;19;False;[monotonic_perfect_fifth_0_0]
197;67;1/16;315/16;146;2;ornamentation;0;19;False;[monotonic_perfect_fifth_0_0]
198;50;1/4;79/4;147;3;match;3;19;True;[monotonic_perfect_fifth_0_0]
200;65;1/4;79/4;147;2;match;2;19;True;[monotonic_perfect_fifth_0_0]
199;62;1/4;79/4;147;1;match;1;19;True;[monotonic_perfect_fifth_0_0]
201;69;1/4;79/4;147;0;match;0;19;True;[monotonic_perfect_fifth_0_0]
313;55;1/8;111/4;193;3;match;1;26;True;[monotonic_perfect_fifth_0_1]
314;58;1/8;111/4;193;1;match;0;26;True;[monotonic_perfect_fifth_0_1]
315;57;1/32;223/8;194;1;ornamentation;0;26;False;[monotonic_perfect_fifth_0_1]
316;58;1/32;893/32;195;1;ornamentation;0;26;False;[monotonic_perfect_fifth_0_1]
317;60;1/32;447/16;196;1;ornamentation;0;26;False;[monotonic_perfect_fifth_0_1]
318;62;1/32;895/32;197;1;ornamentation;0;26;False;[monotonic_perfect_fifth_0_1]
319;52;1/4;28;198;3;match;1;26;True;[monotonic_perfect_fifth_0_1]
320;60;1/4;28;198;1;match;0;26;True;[monotonic_perfect_fifth_0_1]
347;62;1/8;63/2;217;2;match;1;28;True;[monotonic]
348;69;1/8;63/2;217;0;match;0;28;True;[monotonic]
349;67;1/16;253/8;218;0;ornamentation;0;28;False;[monotonic]
350;65;1/16;507/16;219;0;ornamentation;0;28;False;[monotonic]
351;64;1/16;127/4;220;0;ornamentation;0;28;False;[monotonic]
352;62;1/16;509/16;221;0;ornamentation;0;28;False;[monotonic]
353;64;1/32;255/8;222;0;ornamentation;0;28;True;[monotonic]
352;62;1/16;509/16;221;0;ornamentation;0;29;True;[monotonic]
353;64;1/32;255/8;222;0;ornamentation;0;29;False;[monotonic]
354;65;1/32;1021/32;223;0;ornamentation;0;29;False;[monotonic]
355;67;1/32;511/16;224;0;ornamentation;0;29;False;[monotonic]
356;69;1/32;1023/32;225;0;ornamentation;0;29;False;[monotonic]
357;55;1/4;32;226;3;match;3;29;True;[monotonic]
359;62;1/4;32;226;2;repetition;2;29;True;[monotonic]
358;58;1/4;32;226;1;match;1;29;True;[monotonic]
360;70;1/4;32;226;0;match;0;29;True;[monotonic]
483;58;1/8;177/4;285;2;match;1;32;True;[non_monotonic]
484;67;1/8;177/4;285;0;match;0;32;True;[non_monotonic]
485;60;1/32;355/8;286;2;ornamentation;0;32;False;[non_monotonic]
486;58;1/32;1421/32;287;2;ornamentation;0;32;False;[non_monotonic]
487;57;1/32;711/16;288;2;ornamentation;0;32;False;[non_monotonic]
488;58;1/32;1423/32;289;2;ornamentation;0;32;False;[non_monotonic]
489;60;1/8;89/2;290;2;match;0;32;True;[non_monotonic]
535;60;1/8;385/8;311;1;ornamentation;0;36;True;[monotonic_chords]
536;55;1/16;193/4;312;3;match;1;36;False;[monotonic_chords]
537;62;1/16;193/4;312;1;repetition;0;36;False;[monotonic_chords]
538;60;1/16;773/16;313;1;ornamentation;0;36;False;[monotonic_chords]
539;58;1/16;387/8;314;1;ornamentation;0;36;False;[monotonic_chords]
540;57;1/16;775/16;315;1;ornamentation;0;36;False;[monotonic_chords]
541;58;1/8;97/2;316;1;match;0;36;True;[monotonic_chords]
541;58;1/8;97/2;316;1;match;0;37;True;[non_monotonic]
542;60;1/32;389/8;317;1;ornamentation;0;37;False;[non_monotonic]
543;58;1/32;1557/32;318;1;ornamentation;0;37;False;[non_monotonic]
544;57;1/32;779/16;319;1;ornamentation;0;37;False;[non_monotonic]
545;58;1/32;1559/32;320;1;ornamentation;0;37;False;[non_monotonic]
546;52;1/4;195/4;321;3;match;1;37;True;[non_monotonic]
547;60;1/4;195/4;321;1;match;0;37;True;[non_monotonic]
560;64;1/8;51;332;2;match;1;38;True;[non_monotonic]
561;72;1/8;51;332;0;match;0;38;True;[non_monotonic]
562;65;1/32;409/8;333;2;ornamentation;0;38;False;[non_monotonic]
563;64;1/32;1637/32;334;2;ornamentation;0;38;False;[non_monotonic]
564;62;1/32;819/16;335;2;ornamentation;0;38;False;[non_monotonic]
565;64;1/32;1639/32;336;2;ornamentation;0;38;False;[non_monotonic]
566;65;1/8;205/4;337;2;match;0;38;True;[non_monotonic]
630;57;1/16;893/16;368;2;ornamentation;0;41;True;[monotonic_perfect_fifth_0_1]
631;58;1/32;447/8;369;2;ornamentation;0;41;False;[monotonic_perfect_fifth_0_1]
632;60;1/32;1789/32;370;2;ornamentation;0;41;False;[monotonic_perfect_fifth_0_1]
633;62;1/32;895/16;371;2;ornamentation;0;41;False;[monotonic_perfect_fifth_0_1]
634;64;1/32;1791/32;372;2;ornamentation;0;41;False;[monotonic_perfect_fifth_0_1]
635;50;1/2;56;373;3;repetition;2;41;True;[monotonic_perfect_fifth_0_1]
637;65;1/2;56;373;2;match;1;41;True;[monotonic_perfect_fifth_0_1]
636;57;1/2;56;373;1;match;0;41;True;[monotonic_perfect_fifth_0_1]
667;57;1/16;933/16;389;2;ornamentation;0;44;True;[monotonic]
668;59;1/32;467/8;390;2;ornamentation;0;44;False;[monotonic]
669;60;1/32;1869/32;391;2;ornamentation;0;44;False;[monotonic]
670;62;1/32;935/16;392;2;ornamentation;0;44;False;[monotonic]
671;64;1/32;1871/32;393;2;ornamentation;0;44;False;[monotonic]
672;53;1/8;117/2;394;3;match;3;44;True;[monotonic]
674;65;1/8;117/2;394;2;match;2;44;True;[monotonic]
673;62;1/8;117/2;394;1;match;1;44;True;[monotonic]
675;69;1/8;117/2;394;0;match;0;44;True;[monotonic]
777;43;1/4;129/2;448;3;match;2;54;True;[monotonic]
778;55;1/4;129/2;448;1;match;1;54;True;[monotonic]
779;67;1/4;129/2;448;0;match;0;54;True;[monotonic]
780;55;1/16;259/4;449;2;match;0;54;False;[monotonic]
781;57;1/16;1037/16;450;2;ornamentation;0;54;False;[monotonic]
782;58;1/16;519/8;451;2;ornamentation;0;54;False;[monotonic]
783;60;1/16;1039/16;452;2;ornamentation;0;54;False;[monotonic]
784;43;1/4;65;453;3;repetition;1;54;True;[monotonic]
785;58;1/4;65;453;2;match;0;54;True;[monotonic]
942;55;1/8;78;537;3;match;1;64;True;[non_monotonic]
943;58;1/8;78;537;1;match;0;64;True;[non_monotonic]
944;60;1/32;625/8;538;3;ornamentation;0;64;False;[non_monotonic]
945;58;1/32;2501/32;539;3;ornamentation;0;64;False;[non_monotonic]
946;57;1/32;1251/16;540;3;ornamentation;0;64;False;[non_monotonic]
947;58;1/32;2503/32;541;3;ornamentation;0;64;False;[non_monotonic]
948;57;3/16;313/4;542;3;match;1;64;True;[non_monotonic]
949;60;3/16;313/4;542;1;match;0;64;True;[non_monotonic]
952;58;1/16;1257/16;545;1;ornamentation;0;66;True;[monotonic_perfect_fifth_0_1]
953;60;1/32;629/8;546;1;ornamentation;0;66;False;[monotonic_perfect_fifth_0_1]
954;58;1/32;2517/32;547;1;ornamentation;0;66;False;[monotonic_perfect_fifth_0_1]
955;57;1/32;1259/16;548;1;ornamentation;0;66;False;[monotonic_perfect_fifth_0_1]
956;55;1/32;2519/32;549;1;ornamentation;0;66;False;[monotonic_perfect_fifth_0_1]
957;53;1/4;315/4;550;3;match;1;66;True;[monotonic_perfect_fifth_0_1]
958;57;1/4;315/4;550;1;match;0;66;True;[monotonic_perfect_fifth_0_1]
959;50;1/8;79;551;3;match;1;67;True;[non_monotonic]
960;53;1/8;79;551;1;match;0;67;True;[non_monotonic]
961;51;1/32;633/8;552;3;ornamentation;0;67;False;[non_monotonic]
962;50;1/32;2533/32;553;3;ornamentation;0;67;False;[non_monotonic]
963;48;1/32;1267/16;554;3;ornamentation;0;67;False;[non_monotonic]
964;50;1/32;2535/32;555;3;ornamentation;0;67;False;[non_monotonic]
965;51;1/8;317/4;556;3;match;1;67;True;[non_monotonic]
966;55;1/8;317/4;556;1;match;0;67;True;[non_monotonic]
965;51;1/8;317/4;556;3;match;1;68;True;[non_monotonic]
966;55;1/8;317/4;556;1;match;0;68;True;[non_monotonic]
967;57;1/32;635/8;557;1;ornamentation;0;68;False;[non_monotonic]
968;55;1/32;2541/32;558;1;ornamentation;0;68;False;[non_monotonic]
969;53;1/32;1271/16;559;1;ornamentation;0;68;False;[non_monotonic]
970;55;1/32;2543/32;560;1;ornamentation;0;68;False;[non_monotonic]
971;48;1/8;159/2;561;3;match;1;68;True;[non_monotonic]
972;57;1/8;159/2;561;1;match;0;68;True;[non_monotonic]
1081;69;1/16;1389/16;607;0;ornamentation;0;75;True;[non_monotonic]
1082;70;1/32;695/8;608;0;adaptation;0;75;False;[non_monotonic]
1083;69;1/32;2781/32;609;0;ornamentation;0;75;False;[non_monotonic]
1084;67;1/32;1391/16;610;0;ornamentation;0;75;False;[non_monotonic]
1085;69;1/32;2783/32;611;0;ornamentation;0;75;False;[non_monotonic]
1086;46;3/16;87;612;3;match;3;75;True;[non_monotonic]
1087;58;3/16;87;612;2;match;2;75;True;[non_monotonic]
