note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
14,55,3/16,2,11,1,match,0,0,True
15,53,1/16,35/16,12,1,ornamentation,0,0,False
16,55,1/16,9/4,13,1,ornamentation,0,0,False
17,57,1/16,37/16,14,1,ornamentation,0,0,False
18,58,1/16,19/8,15,1,ornamentation,0,0,False
19,60,1/16,39/16,16,1,ornamentation,0,0,False
21,62,1/4,5/2,17,1,match,0,0,True
24,62,1/8,3,19,1,repetition,0,1,True
32,63,1/16,7/2,26,1,ficta,0,1,False
33,67,1/16,57/16,27,1,ornamentation,0,1,False
34,65,1/16,29/8,28,1,ornamentation,0,1,False
35,63,1/16,59/16,29,1,ornamentation,0,1,False
36,65,1/16,15/4,30,1,ornamentation,0,1,False
37,63,1/16,61/16,31,1,ornamentation,0,1,False
38,62,1/16,31/8,32,1,ornamentation,0,1,False
39,60,1/16,63/16,33,1,ornamentation,0,1,False
41,62,1/4,4,34,1,match,0,1,True
44,65,1/8,9/2,36,1,repetition,0,2,True
45,63,1/16,37/8,37,1,ornamentation,0,2,False
46,65,1/16,75/16,38,1,ornamentation,0,2,False
47,67,1/16,19/4,39,1,adaptation,0,2,False
48,65,1/16,77/16,40,1,ornamentation,0,2,False
49,63,1/16,39/8,41,1,adaptation,0,2,False
50,62,1/16,79/16,42,1,ornamentation,0,2,False
51,60,1/4,5,43,1,match,0,2,True
54,58,1/4,11/2,45,1,match,0,3,True
60,58,1/16,101/16,51,1,ornamentation,0,3,False
61,60,1/32,51/8,52,1,adaptation,0,3,True
74,60,1/4,15/2,62,1,match,0,4,True
78,55,1/8,8,65,1,match,0,4,False
81,57,1/8,67/8,68,1,ornamentation,0,4,False
83,58,1/8,17/2,69,1,match,0,4,False
84,62,1/8,69/8,70,1,ornamentation,0,4,False
86,60,1/8,35/4,71,1,adaptation,0,4,False
87,58,1/8,71/8,72,1,ornamentation,0,4,False
89,57,1/8,9,73,1,match,0,4,False
90,54,1/16,73/8,74,1,ornamentation,0,4,True
89,57,1/8,9,73,1,match,0,5,True
90,54,1/16,73/8,74,1,ornamentation,0,5,False
91,55,1/16,147/16,75,1,ornamentation,0,5,False
