note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
112;52;1/4;11;94;3;match;1;7;True;[monotonic]
114;48;1/16;45/4;95;3;match;0;7;False;[monotonic]
115;50;1/16;181/16;96;3;ornamentation;0;7;False;[monotonic]
116;52;1/16;91/8;97;3;adaptation;0;7;False;[monotonic]
117;53;1/16;183/16;98;3;ornamentation;0;7;False;[monotonic]
118;52;1/8;23/2;99;3;match;1;7;True;[monotonic]
942;55;1/8;78;537;3;match;1;13;True;[non_monotonic]
944;60;1/32;625/8;538;3;ornamentation;0;13;False;[non_monotonic]
945;58;1/32;2501/32;539;3;ornamentation;0;13;False;[non_monotonic]
946;57;1/32;1251/16;540;3;ornamentation;0;13;False;[non_monotonic]
947;58;1/32;2503/32;541;3;ornamentation;0;13;False;[non_monotonic]
948;57;3/16;313/4;542;3;match;1;13;True;[non_monotonic]
959;50;1/8;79;551;3;match;1;14;True;[non_monotonic]
961;51;1/32;633/8;552;3;ornamentation;0;14;False;[non_monotonic]
962;50;1/32;2533/32;553;3;ornamentation;0;14;False;[non_monotonic]
963;48;1/32;1267/16;554;3;ornamentation;0;14;False;[non_monotonic]
964;50;1/32;2535/32;555;3;ornamentation;0;14;False;[non_monotonic]
965;51;1/8;317/4;556;3;match;1;14;True;[non_monotonic]
