note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
22;64;1/16;53/16;18;0;ornamentation;0;2;True;[monotonic_perfect_fifth_0_0]
23;65;1/32;27/8;19;0;ornamentation;0;2;False;[monotonic_perfect_fifth_0_0]
24;64;1/32;109/32;20;0;ornamentation;0;2;False;[monotonic_perfect_fifth_0_0]
25;62;1/32;55/16;21;0;ornamentation;0;2;False;[monotonic_perfect_fifth_0_0]
26;60;1/32;111/32;22;0;ornamentation;0;2;False;[monotonic_perfect_fifth_0_0]
28;62;1/4;7/2;23;1;repetition;1;2;True;[monotonic_perfect_fifth_0_0]
27;58;1/4;7/2;23;0;match;0;2;True;[monotonic_perfect_fifth_0_0]
38;69;1/16;71/16;31;0;ornamentation;0;4;True;[non_monotonic_chords]
39;55;1/8;9/2;32;2;match;2;4;False;[non_monotonic_chords]
40;62;1/8;9/2;32;1;match;1;4;False;[non_monotonic_chords]
41;70;1/8;9/2;32;0;repetition;0;4;False;[non_monotonic_chords]
42;60;1/8;37/8;33;1;ornamentation;0;4;False;[non_monotonic_chords]
43;55;1/8;19/4;34;2;match;2;4;False;[non_monotonic_chords]
44;62;1/8;19/4;34;1;repetition;1;4;False;[non_monotonic_chords]
45;70;1/8;19/4;34;0;match;0;4;False;[non_monotonic_chords]
46;64;1/8;39/8;35;1;ornamentation;0;4;False;[non_monotonic_chords]
47;62;3/16;5;36;2;match;2;4;True;[non_monotonic_chords]
48;65;3/16;5;36;1;match;1;4;True;[non_monotonic_chords]
49;69;3/16;5;36;0;match;0;4;True;[non_monotonic_chords]
55;62;1/8;11/2;42;1;match;1;6;True;[non_monotonic]
56;69;1/8;11/2;42;0;match;0;6;True;[non_monotonic]
57;70;1/32;45/8;43;0;ornamentation;0;6;False;[non_monotonic]
58;69;1/32;181/32;44;0;ornamentation;0;6;False;[non_monotonic]
59;67;1/32;91/16;45;0;ornamentation;0;6;False;[non_monotonic]
60;69;1/32;183/32;46;0;ornamentation;0;6;False;[non_monotonic]
61;55;1/8;23/4;47;2;match;2;6;True;[non_monotonic]
62;62;1/8;23/4;47;1;match;1;6;True;[non_monotonic]
63;70;1/8;23/4;47;0;match;0;6;True;[non_monotonic]
111;53;1/4;9;69;3;match;3;9;True;[monotonic_perfect_fifth_0_0]
112;57;1/4;9;69;2;match;2;9;True;[monotonic_perfect_fifth_0_0]
110;50;1/4;9;69;1;match;1;9;True;[monotonic_perfect_fifth_0_0]
113;69;1/4;9;69;0;match;0;9;True;[monotonic_perfect_fifth_0_0]
