note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
22;64;1/16;53/16;18;0;ornamentation;0;2;True;2;[monotonic_perfect_fifth_0_0]
23;65;1/32;27/8;19;0;ornamentation;0;2;False;2;[monotonic_perfect_fifth_0_0]
24;64;1/32;109/32;20;0;ornamentation;0;2;False;2;[monotonic_perfect_fifth_0_0]
25;62;1/32;55/16;21;0;ornamentation;0;2;False;2;[monotonic_perfect_fifth_0_0]
26;60;1/32;111/32;22;0;ornamentation;0;2;False;2;[monotonic_perfect_fifth_0_0]
27;58;1/4;7/2;23;0;match;0;2;True;2;[monotonic_perfect_fifth_0_0]
56;69;1/8;11/2;42;0;match;0;5;True;5;[non_monotonic]
57;70;1/32;45/8;43;0;ornamentation;0;5;False;5;[non_monotonic]
58;69;1/32;181/32;44;0;ornamentation;0;5;False;5;[non_monotonic]
59;67;1/32;91/16;45;0;ornamentation;0;5;False;5;[non_monotonic]
60;69;1/32;183/32;46;0;ornamentation;0;5;False;5;[non_monotonic]
63;70;1/8;23/4;47;0;match;0;5;True;5;[non_monotonic]
113;69;1/4;9;69;0;match;0;7;True;7;[monotonic_perfect_fifth_0_0]
114;62;1/16;37/4;70;0;ornamentation;0;7;False;7;[monotonic_perfect_fifth_0_0]
115;64;1/16;149/16;71;0;ornamentation;0;7;False;7;[monotonic_perfect_fifth_0_0]
116;65;1/16;75/8;72;0;ornamentation;0;7;False;7;[monotonic_perfect_fifth_0_0]
117;67;1/16;151/16;73;0;ornamentation;0;7;False;7;[monotonic_perfect_fifth_0_0]
120;69;1/4;19/2;74;0;match;0;7;True;7;[monotonic_perfect_fifth_0_0]
153;69;1/8;12;94;0;match;0;11;True;11;[non_monotonic]
154;70;1/32;97/8;95;0;ornamentation;0;11;False;11;[non_monotonic]
155;69;1/32;389/32;96;0;ornamentation;0;11;False;11;[non_monotonic]
156;67;1/32;195/16;97;0;ornamentation;0;11;False;11;[non_monotonic]
157;69;1/32;391/32;98;0;ornamentation;0;11;False;11;[non_monotonic]
160;70;1/4;49/4;99;0;match;0;11;True;11;[non_monotonic]
160;70;1/4;49/4;99;0;match;0;12;True;12;[monotonic]
162;70;1/8;101/8;101;0;ornamentation;0;12;False;12;[monotonic]
164;69;1/8;51/4;102;0;match;0;12;False;12;[monotonic]
165;67;1/8;103/8;103;0;match;0;12;False;12;[monotonic]
