note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
107,58,1/8,35/4,66,2,match,1,0,True
108,57,1/16,71/8,67,2,ornamentation,0,0,False
109,55,1/16,143/16,68,2,ornamentation,0,0,False
112,57,1/4,9,69,2,match,2,0,True
125,60,1/4,10,76,2,match,0,1,True
126,62,1/8,41/4,77,2,match,1,1,False
133,58,1/8,85/8,81,2,ornamentation,0,1,False
134,62,1/8,43/4,82,2,repetition,0,1,False
135,64,1/8,87/8,83,2,ornamentation,0,1,False
138,65,1/8,11,84,2,match,2,1,False
146,58,1/4,23/2,91,2,match,2,1,True
202,60,1/4,31/2,128,2,match,0,2,True
204,62,1/16,63/4,129,2,match,0,2,False
205,64,1/16,253/16,130,2,ornamentation,0,2,False
206,65,1/8,127/8,131,2,ornamentation,0,2,True
205,64,1/16,253/16,130,2,ornamentation,0,3,True
206,65,1/8,127/8,131,2,ornamentation,0,3,False
207,64,1/8,16,132,2,ornamentation,0,3,False
209,62,1/8,129/8,133,2,repetition,0,3,False
211,60,1/8,65/4,134,2,match,0,3,False
213,58,1/8,131/8,135,2,match,0,3,False
215,57,1/4,33/2,136,2,match,0,3,True
249,62,3/16,19,154,2,match,2,4,True
252,62,1/8,77/4,156,2,match,1,4,False
256,62,1/8,39/2,159,2,repetition,1,4,False
258,60,1/8,157/8,160,2,match,0,4,False
259,58,1/8,79/4,161,2,match,1,4,False
261,57,1/8,159/8,162,2,match,0,4,False
262,55,1/8,20,163,2,match,1,4,False
266,58,1/8,163/8,166,2,ornamentation,0,4,False
267,57,1/8,41/2,167,2,match,1,4,False
277,55,1/4,21,176,2,match,1,4,True
281,57,3/16,43/2,178,2,match,0,5,True
282,60,1/16,347/16,179,2,ornamentation,0,5,False
283,58,1/4,87/4,180,2,match,0,5,True
288,55,1/8,89/4,183,2,match,0,6,True
292,58,1/16,361/16,187,2,ornamentation,0,6,False
293,57,1/16,181/8,188,2,ornamentation,0,6,False
294,55,1/16,363/16,189,2,ornamentation,0,6,False
296,54,1/8,91/4,190,2,match,0,6,True
296,54,1/8,91/4,190,2,match,0,7,True
297,55,1/16,183/8,191,2,ornamentation,0,7,False
298,54,1/16,367/16,192,2,ornamentation,0,7,False
300,55,1/4,23,193,2,match,1,7,True
408,62,1/8,119/4,268,2,match,2,8,True
409,57,1/16,239/8,269,2,ornamentation,0,8,False
410,58,1/16,479/16,270,2,ornamentation,0,8,False
413,60,1/8,30,271,2,match,2,8,True
445,62,1/4,127/4,291,2,match,0,9,True
446,62,1/16,32,292,2,match,0,9,False
447,64,1/16,513/16,293,2,ornamentation,0,9,False
448,65,1/16,257/8,294,2,ornamentation,0,9,False
449,67,1/16,515/16,295,2,ornamentation,0,9,False
450,65,1/4,129/4,296,2,match,1,9,True
453,65,1/8,261/8,298,2,match,0,10,True
454,60,1/16,131/4,299,2,match,1,10,False
456,62,1/16,525/16,300,2,ornamentation,0,10,False
457,63,1/16,263/8,301,2,ornamentation,0,10,False
458,65,1/16,527/16,302,2,ornamentation,0,10,False
459,63,1/8,33,303,2,match,0,10,True
518,62,1/4,149/4,352,2,match,1,11,True
520,58,1/8,75/2,353,2,match,1,11,False
522,57,1/8,301/8,354,2,ornamentation,0,11,False
523,58,1/8,151/4,355,2,repetition,1,11,False
525,60,1/8,303/8,356,2,match,1,11,False
527,62,1/8,38,357,2,match,1,11,False
560,55,1/8,40,383,2,match,2,11,False
567,57,3/8,81/2,387,2,match,2,11,True
584,62,1/4,167/4,394,2,match,2,12,True
588,63,1/8,42,395,2,match,2,12,False
597,62,1/8,85/2,399,2,match,2,12,False
609,58,1/8,43,408,2,match,2,12,False
611,57,1/8,345/8,409,2,match,0,12,False
612,58,1/8,173/4,410,2,match,0,12,False
613,60,1/8,347/8,411,2,ornamentation,0,12,False
615,58,1/16,87/2,412,2,repetition,1,12,True
613,60,1/8,347/8,411,2,ornamentation,0,13,True
615,58,1/16,87/2,412,2,repetition,1,13,False
617,57,1/16,697/16,413,2,ornamentation,0,13,False
618,55,1/16,349/8,414,2,ornamentation,0,13,False
619,58,1/16,699/16,415,2,ornamentation,0,13,False
620,57,1/8,175/4,416,2,match,1,13,True
678,58,1/8,189/4,450,2,match,1,14,True
680,60,1/16,379/8,451,2,ornamentation,0,14,False
681,62,1/16,759/16,452,2,ornamentation,0,14,False
684,60,1/8,95/2,453,2,match,2,14,True
684,60,1/8,95/2,453,2,match,2,15,True
686,65,1/16,381/8,454,2,ornamentation,0,15,False
687,64,1/16,763/16,455,2,ornamentation,0,15,False
688,62,1/16,191/4,456,2,ornamentation,0,15,False
689,60,1/16,765/16,457,2,ornamentation,0,15,False
690,58,1/16,383/8,458,2,ornamentation,0,15,False
691,57,1/16,767/16,459,2,ornamentation,0,15,False
694,58,1/4,48,460,2,match,2,15,True
694,58,1/4,48,460,2,match,2,16,True
786,65,1/16,441/8,525,2,ornamentation,0,16,False
787,64,1/16,883/16,526,2,ornamentation,0,16,False
788,62,1/16,221/4,527,2,ornamentation,0,16,False
789,60,1/16,885/16,528,2,ornamentation,0,16,False
790,58,1/16,443/8,529,2,ornamentation,0,16,False
791,57,1/16,887/16,530,2,ornamentation,0,16,False
792,55,1/2,111/2,531,2,match,1,16,True
879,60,1/8,125/2,579,2,match,1,17,True
882,59,1/16,1005/16,582,2,ornamentation,0,17,False
883,60,1/16,503/8,583,2,ornamentation,0,17,False
884,62,1/16,1007/16,584,2,ornamentation,0,17,False
886,60,1/4,63,585,2,match,1,17,True
936,58,1/4,267/4,616,2,match,0,18,True
939,57,1/8,67,617,2,match,1,18,False
940,57,1/8,537/8,618,2,ornamentation,0,18,False
941,55,1/16,269/4,619,2,adaptation,0,18,True
940,57,1/8,537/8,618,2,ornamentation,0,19,True
941,55,1/16,269/4,619,2,adaptation,0,19,False
942,57,1/16,1077/16,620,2,ornamentation,0,19,False
943,58,1/16,539/8,621,2,ornamentation,0,19,False
944,60,1/16,1079/16,622,2,ornamentation,0,19,False
946,62,1/4,135/2,623,2,match,1,19,True
950,60,1/4,68,625,2,match,1,20,True
954,57,1/8,549/8,628,2,ornamentation,0,20,False
956,57,1/8,275/4,629,2,repetition,1,20,False
957,58,1/8,551/8,630,2,match,0,20,False
960,60,1/8,69,631,2,match,1,20,False
967,48,1/8,139/2,637,2,match,1,20,False
972,50,1/8,559/8,640,2,match,0,20,False
974,52,1/4,70,641,2,match,1,20,True
974,52,1/4,70,641,2,match,1,21,True
978,48,1/8,141/2,643,2,match,1,21,False
