output_csv,duration,count,sequence_ids
output/5264_13_qui_habitat_in_adjutorio_desprez-2/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_abtab.csv,1/32,26,"6,10,18,26,28,31,35,36,43,53,63,66,67,69,70,75,78,79,83,88,89,92,94,103,105,108"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_abtab.csv,1/16,86,"0,1,2,3,4,5,7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25,27,29,30,32,33,34,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,54,55,56,57,58,59,60,61,62,64,65,68,71,72,73,74,76,77,80,81,82,84,85,86,87,90,91,93,95,96,97,98,99,100,101,102,104,106,107,109,110,111"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_abtab_fourstep.csv,1/32,25,"6,10,18,26,28,31,35,36,43,53,63,66,67,69,70,75,78,79,83,88,89,92,103,105,108"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_abtab_fourstep.csv,1/16,12,"5,25,29,30,34,42,47,58,59,84,100,106"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_abtab_non_chord.csv,1/32,26,"6,10,18,26,28,31,35,36,43,53,63,66,67,69,70,75,78,79,83,88,89,92,94,103,105,108"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_abtab_non_chord.csv,1/16,73,"0,1,2,3,4,5,7,8,11,12,13,14,15,16,17,19,20,21,22,23,24,25,29,30,32,33,34,37,38,40,41,44,45,46,47,48,49,50,52,54,55,56,57,59,60,61,64,65,72,73,76,77,80,81,82,86,87,90,91,93,95,96,97,98,99,100,101,104,106,107,109,110,111"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_raw.csv,1/32,26,"7,10,18,24,25,29,31,32,39,48,56,57,58,60,61,64,67,68,70,74,75,77,78,89,91,95"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_raw.csv,1/16,47,"2,3,4,5,11,12,13,14,15,17,21,22,23,26,28,30,34,35,36,38,40,41,43,45,46,47,49,50,51,52,53,54,59,62,63,66,69,71,73,76,80,81,83,86,88,92,94"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_raw.csv,1/8,26,"0,1,6,8,9,16,19,20,27,33,37,42,44,55,65,72,79,82,84,85,87,90,93,96,97,98"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_raw_fourstep.csv,1/32,25,"7,10,18,24,25,29,31,32,39,48,56,57,58,60,61,64,67,68,70,74,75,77,89,91,95"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_raw_fourstep.csv,1/16,12,"5,23,26,28,30,38,43,51,52,71,86,92"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_raw_fourstep.csv,1/8,4,"42,90,93,96"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_raw_non_chord.csv,1/32,26,"7,10,18,24,25,29,31,32,39,48,56,57,58,60,61,64,67,68,70,74,75,77,78,89,91,95"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/fourstep/5264_13_qui_habitat_in_adjutorio_desprez-2_tab_raw_non_chord.csv,1/16,39,"2,3,4,5,11,12,13,14,15,17,21,22,23,26,28,30,35,36,40,41,43,45,46,49,50,52,53,54,63,66,69,76,80,81,83,86,88,92,94"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/voices/5264_13_qui_habitat_in_adjutorio_desprez-2_voice-0.csv,1/32,6,"0,8,9,14,28,30"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/voices/5264_13_qui_habitat_in_adjutorio_desprez-2_voice-0.csv,1/16,26,"1,2,3,4,5,6,7,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/voices/5264_13_qui_habitat_in_adjutorio_desprez-2_voice-0_fourstep.csv,1/32,6,"0,8,9,14,28,30"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/voices/5264_13_qui_habitat_in_adjutorio_desprez-2_voice-0_fourstep.csv,1/16,3,"7,19,25"
output/5264_13_qui_habitat_in_adjutorio_desprez-2/voices/5264_13_qui_habitat_in_adjutorio_desprez-2_voice-2.csv,1/32,5,"8,13,14,18,22"
