note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
36,67,1/8,5,21,0,match,0,0,True
37,46,1/16,41/8,22,3,match,0,0,False
38,45,1/16,83/16,23,3,ornamentation,0,0,False
39,43,1/4,21/4,24,3,match,3,0,True
40,55,1/4,21/4,24,2,match,2,0,True
41,58,1/4,21/4,24,1,match,1,0,True
42,70,1/4,21/4,24,0,match,0,0,True
62,50,3/16,29/4,36,3,match,1,1,True
63,62,3/16,29/4,36,1,match,0,1,True
64,52,1/16,119/16,37,3,ornamentation,0,1,False
65,53,1/4,15/2,38,3,match,2,1,True
66,57,1/4,15/2,38,2,match,1,1,True
67,60,1/4,15/2,38,1,match,0,1,True
82,48,1/8,37/4,47,3,match,1,2,True
83,60,1/8,37/4,47,2,match,0,2,True
84,58,1/16,75/8,48,2,ornamentation,0,2,False
85,60,1/16,151/16,49,2,ornamentation,0,2,False
86,62,1/16,19/2,50,2,ornamentation,0,2,False
87,60,1/16,153/16,51,2,ornamentation,0,2,False
88,58,1/16,77/8,52,2,adaptation,0,2,False
89,57,1/16,155/16,53,2,ornamentation,0,2,False
90,55,1/4,39/4,54,3,match,2,2,True
91,58,1/4,39/4,54,2,match,1,2,True
92,62,1/4,39/4,54,1,match,0,2,True
111,55,3/16,23/2,63,3,match,2,3,True
112,58,3/16,23/2,63,2,match,1,3,True
113,64,3/16,23/2,63,1,ficta,0,3,True
114,62,1/16,187/16,64,1,ornamentation,0,3,False
115,61,1/16,47/4,65,1,ornamentation,0,3,False
116,62,1/16,189/16,66,1,ornamentation,0,3,False
117,64,1/16,95/8,67,1,adaptation,0,3,False
118,61,1/16,191/16,68,1,ornamentation,0,3,False
119,50,3/8,12,69,3,match,3,3,True
120,57,3/8,12,69,2,match,2,3,True
121,62,3/8,12,69,1,match,1,3,True
122,69,3/8,12,69,0,match,0,3,True
136,55,1/8,55/4,76,2,match,1,4,True
137,70,1/8,55/4,76,0,match,0,4,True
138,53,1/16,111/8,77,2,ornamentation,0,4,False
139,52,1/16,223/16,78,2,ornamentation,0,4,False
140,53,1/16,14,79,2,ornamentation,0,4,False
141,52,1/16,225/16,80,2,ornamentation,0,4,False
142,50,1/16,113/8,81,2,ornamentation,0,4,False
143,48,1/16,227/16,82,2,ornamentation,0,4,False
144,50,1/4,57/4,83,2,match,2,4,True
145,62,1/4,57/4,83,1,match,1,4,True
146,69,1/4,57/4,83,0,match,0,4,True
147,62,1/4,29/2,84,1,match,0,5,True
148,62,1/16,59/4,85,1,match,0,5,False
149,64,1/16,237/16,86,1,ornamentation,0,5,False
150,65,1/16,119/8,87,1,ornamentation,0,5,False
151,67,1/16,239/16,88,1,ornamentation,0,5,False
152,50,1/4,15,89,3,repetition,2,5,True
153,65,1/4,15,89,1,match,1,5,True
154,69,1/4,15,89,0,match,0,5,True
172,60,1/8,71/4,102,1,match,1,6,True
173,69,1/8,71/4,102,0,match,0,6,True
174,70,1/32,143/8,103,0,ornamentation,0,6,False
175,69,1/32,573/32,104,0,ornamentation,0,6,False
176,67,1/32,287/16,105,0,ornamentation,0,6,False
177,69,1/32,575/32,106,0,ornamentation,0,6,False
178,62,1/4,18,107,1,match,1,6,True
179,70,1/4,18,107,0,match,0,6,True
200,53,1/8,41/2,118,3,repetition,2,7,True
201,57,1/8,41/2,118,2,match,1,7,True
202,60,1/8,41/2,118,1,match,0,7,True
203,52,1/16,165/8,119,3,match,0,7,False
204,50,1/16,331/16,120,3,ornamentation,0,7,False
205,48,1/4,83/4,121,3,match,1,7,True
206,60,1/4,83/4,121,2,match,0,7,True
207,48,1/8,21,122,3,match,2,8,True
208,60,1/8,21,122,1,match,1,8,True
209,67,1/8,21,122,0,match,0,8,True
210,58,1/16,169/8,123,2,match,0,8,False
211,57,1/16,339/16,124,1,ornamentation,0,8,False
212,51,1/4,85/4,125,3,match,2,8,True
213,55,1/4,85/4,125,2,match,1,8,True
214,58,1/4,85/4,125,1,match,0,8,True
274,67,1/8,199/8,150,0,match,0,9,True
275,48,1/16,25,151,3,match,3,9,False
277,63,1/16,25,151,2,match,2,9,False
276,60,1/16,25,151,1,match,1,9,False
278,67,1/16,25,151,0,match,0,9,False
279,58,1/16,401/16,152,1,ornamentation,0,9,False
280,60,1/32,201/8,153,1,ornamentation,0,9,True
279,58,1/16,401/16,152,1,ornamentation,0,10,True
280,60,1/32,201/8,153,1,ornamentation,0,10,False
281,58,1/32,805/32,154,1,ornamentation,0,10,False
