note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
173,69,1/8,71/4,102,0,match,0,0,True,0
174,70,1/32,143/8,103,0,ornamentation,0,0,False,0
175,69,1/32,573/32,104,0,ornamentation,0,0,False,0
176,67,1/32,287/16,105,0,ornamentation,0,0,False,0
177,69,1/32,575/32,106,0,ornamentation,0,0,False,0
179,70,1/4,18,107,0,match,0,0,True,0
287,67,1/8,101/4,157,0,repetition,0,1,True,1
288,66,1/16,203/8,158,0,ornamentation,0,1,False,1
289,64,1/16,407/16,159,0,ornamentation,0,1,False,1
290,66,1/16,51/2,160,0,match,0,1,False,1
291,67,1/16,409/16,161,0,ornamentation,0,1,False,1
292,64,1/16,205/8,162,0,ornamentation,0,1,False,1
293,66,1/16,411/16,163,0,ornamentation,0,1,False,1
297,67,3/16,103/4,164,0,match,0,1,True,1
349,67,3/16,121/4,202,0,match,0,2,True,2
350,65,1/16,487/16,203,0,ornamentation,0,2,False,2
351,64,1/16,61/2,204,0,match,0,2,False,2
352,65,1/16,489/16,205,0,ornamentation,0,2,False,2
353,67,1/16,245/8,206,0,ornamentation,0,2,False,2
354,69,1/16,491/16,207,0,ornamentation,0,2,False,2
356,67,1/4,123/4,208,0,match,0,2,True,2
462,67,3/16,157/4,272,0,repetition,0,3,True,3
463,66,1/16,631/16,273,0,ornamentation,0,3,False,3
464,67,1/16,79/2,274,0,repetition,0,3,False,3
465,66,1/16,633/16,275,0,ornamentation,0,3,False,3
466,64,1/16,317/8,276,0,ornamentation,0,3,False,3
467,66,1/16,635/16,277,0,ornamentation,0,3,False,3
469,67,1/8,159/4,278,0,match,0,3,True,3
469,67,1/8,159/4,278,0,match,0,4,True,4
470,61,1/16,319/8,279,0,ornamentation,0,4,False,4
471,62,1/16,639/16,280,0,ornamentation,0,4,False,4
472,64,1/16,40,281,0,ornamentation,0,4,False,4
473,66,1/16,641/16,282,0,ornamentation,0,4,False,4
474,67,1/16,321/8,283,0,ornamentation,0,4,False,4
475,69,1/16,643/16,284,0,ornamentation,0,4,False,4
477,67,1/2,161/4,285,0,repetition,0,4,True,4
544,69,1/8,46,335,0,match,0,5,True,5
545,67,1/16,369/8,336,0,ornamentation,0,5,False,5
546,69,1/16,739/16,337,0,ornamentation,0,5,False,5
548,67,1/8,185/4,338,0,match,0,5,True,5
548,67,1/8,185/4,338,0,match,0,6,True,6
549,66,1/16,371/8,339,0,ornamentation,0,6,False,6
550,67,1/16,743/16,340,0,ornamentation,0,6,False,6
552,69,1/4,93/2,341,0,match,0,6,True,6
552,69,1/4,93/2,341,0,match,0,7,True,7
553,62,1/16,187/4,342,0,match,0,7,False,7
554,64,1/16,749/16,343,0,ornamentation,0,7,False,7
555,65,1/16,375/8,344,0,ornamentation,0,7,False,7
556,67,1/16,751/16,345,0,ornamentation,0,7,False,7
558,69,1/4,47,346,0,match,0,7,True,7
561,69,1/8,95/2,348,0,match,0,8,True,8
562,70,1/32,381/8,349,0,ornamentation,0,8,False,8
563,69,1/32,1525/32,350,0,ornamentation,0,8,False,8
564,67,1/32,763/16,351,0,ornamentation,0,8,False,8
565,69,1/32,1527/32,352,0,ornamentation,0,8,False,8
567,67,1/4,191/4,353,0,match,0,8,True,8
570,62,1/8,193/4,355,0,match,0,9,True,9
571,62,1/32,387/8,356,0,ornamentation,0,9,False,9
572,64,1/32,1549/32,357,0,ornamentation,0,9,False,9
573,65,1/32,775/16,358,0,ornamentation,0,9,False,9
574,67,1/32,1551/32,359,0,ornamentation,0,9,False,9
576,69,1/8,97/2,360,0,match,0,9,True,9
579,69,3/16,195/4,362,0,repetition,0,10,True,10
580,67,1/16,783/16,363,0,ornamentation,0,10,False,10
581,65,1/8,49,364,0,match,0,10,True,10
581,65,1/8,49,364,0,match,0,11,True,11
582,64,1/16,393/8,365,0,match,0,11,False,11
583,67,1/16,787/16,366,0,ornamentation,0,11,False,11
585,65,1/8,197/4,367,0,match,0,11,True,11
591,64,1/8,199/4,371,0,match,0,12,True,12
592,65,1/16,399/8,372,0,ornamentation,0,12,False,12
593,67,1/16,799/16,373,0,ornamentation,0,12,False,12
595,69,1/16,50,374,0,match,0,12,False,12
596,67,1/16,801/16,375,0,ornamentation,0,12,False,12
597,64,1/16,401/8,376,0,ornamentation,0,12,False,12
598,65,1/16,803/16,377,0,ornamentation,0,12,False,12
600,67,1/8,201/4,378,0,match,0,12,True,12
612,65,3/16,205/4,388,0,match,0,13,True,13
613,64,1/16,823/16,389,0,ornamentation,0,13,False,13
614,62,1/16,103/2,390,0,match,0,13,False,13
615,64,1/16,825/16,391,0,ornamentation,0,13,False,13
616,65,1/16,413/8,392,0,ornamentation,0,13,False,13
617,67,1/16,827/16,393,0,ornamentation,0,13,False,13
619,65,1/4,207/4,394,0,match,0,13,True,13
640,66,1/8,107/2,409,0,match,0,14,True,14
641,67,1/32,429/8,410,0,ornamentation,0,14,False,14
642,66,1/32,1717/32,411,0,ornamentation,0,14,False,14
643,64,1/32,859/16,412,0,ornamentation,0,14,False,14
644,66,1/32,1719/32,413,0,ornamentation,0,14,False,14
646,67,1/4,215/4,414,0,match,0,14,True,14
794,65,3/16,253/4,485,0,match,0,15,True,15
795,67,1/16,1015/16,486,0,ornamentation,0,15,False,15
796,65,1/8,127/2,487,0,repetition,0,15,True,15
798,64,1/8,509/8,488,0,match,0,16,True,16
800,62,1/16,255/4,489,0,match,0,16,False,16
801,65,1/16,1021/16,490,0,ornamentation,0,16,False,16
802,64,1/16,511/8,491,0,ornamentation,0,16,False,16
803,62,1/16,1023/16,492,0,ornamentation,0,16,False,16
805,60,1/16,64,493,0,match,0,16,False,16
806,58,1/16,1025/16,494,0,ornamentation,0,16,False,16
807,57,1/16,513/8,495,0,ornamentation,0,16,False,16
808,60,1/16,1027/16,496,0,ornamentation,0,16,False,16
810,58,3/16,257/4,497,0,match,0,16,True,16
834,67,1/8,265/4,510,0,match,0,17,True,17
835,66,1/16,531/8,511,0,ornamentation,0,17,False,17
836,67,1/16,1063/16,512,0,ornamentation,0,17,False,17
837,69,1/16,133/2,513,0,ornamentation,0,17,False,17
838,67,1/16,1065/16,514,0,ornamentation,0,17,False,17
839,65,1/16,533/8,515,0,ornamentation,0,17,False,17
840,64,1/16,1067/16,516,0,ornamentation,0,17,False,17
844,65,1/8,267/4,517,0,match,0,17,True,17
871,64,1/8,137/2,531,0,match,0,18,True,18
872,62,1/16,549/8,532,0,ornamentation,0,18,False,18
873,64,1/16,1099/16,533,0,ornamentation,0,18,False,18
877,65,1/4,275/4,534,0,match,0,18,True,18
885,69,1/8,555/8,537,0,adaptation,0,19,True,19
888,67,1/16,139/2,538,0,adaptation,0,19,False,19
889,65,1/16,1113/16,539,0,ornamentation,0,19,False,19
890,64,1/16,557/8,540,0,adaptation,0,19,False,19
891,62,1/16,1115/16,541,0,ornamentation,0,19,False,19
895,64,1/8,279/4,542,0,match,0,19,True,19
