note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
82;48;1/8;37/4;47;3;match;1;2;True
83;60;1/8;37/4;47;2;match;0;2;True
84;58;1/16;75/8;48;2;ornamentation;0;2;False
85;60;1/16;151/16;49;2;ornamentation;0;2;False
86;62;1/16;19/2;50;2;ornamentation;0;2;False
87;60;1/16;153/16;51;2;ornamentation;0;2;False
88;58;1/16;77/8;52;2;adaptation;0;2;False
89;57;1/16;155/16;53;2;ornamentation;0;2;False
90;55;1/4;39/4;54;3;match;2;2;True
91;58;1/4;39/4;54;2;match;1;2;True
92;62;1/4;39/4;54;1;match;0;2;True
111;55;3/16;23/2;63;3;match;2;3;True
112;58;3/16;23/2;63;2;match;1;3;True
113;64;3/16;23/2;63;1;ficta;0;3;True
114;62;1/16;187/16;64;1;ornamentation;0;3;False
115;61;1/16;47/4;65;1;ornamentation;0;3;False
116;62;1/16;189/16;66;1;ornamentation;0;3;False
117;64;1/16;95/8;67;1;adaptation;0;3;False
118;61;1/16;191/16;68;1;ornamentation;0;3;False
119;50;3/8;12;69;3;match;3;3;True
120;57;3/8;12;69;2;match;2;3;True
121;62;3/8;12;69;1;match;1;3;True
122;69;3/8;12;69;0;match;0;3;True
136;55;1/8;55/4;76;2;match;1;4;True
137;70;1/8;55/4;76;0;match;0;4;True
138;53;1/16;111/8;77;2;ornamentation;0;4;False
139;52;1/16;223/16;78;2;ornamentation;0;4;False
140;53;1/16;14;79;2;ornamentation;0;4;False
141;52;1/16;225/16;80;2;ornamentation;0;4;False
142;50;1/16;113/8;81;2;ornamentation;0;4;False
143;48;1/16;227/16;82;2;ornamentation;0;4;False
144;50;1/4;57/4;83;2;match;2;4;True
145;62;1/4;57/4;83;1;match;1;4;True
146;69;1/4;57/4;83;0;match;0;4;True
147;62;1/4;29/2;84;1;match;0;5;True
148;62;1/16;59/4;85;1;match;0;5;False
149;64;1/16;237/16;86;1;ornamentation;0;5;False
150;65;1/16;119/8;87;1;ornamentation;0;5;False
151;67;1/16;239/16;88;1;ornamentation;0;5;False
152;50;1/4;15;89;3;repetition;2;5;True
153;65;1/4;15;89;1;match;1;5;True
154;69;1/4;15;89;0;match;0;5;True
172;60;1/8;71/4;102;1;match;1;7;True
173;69;1/8;71/4;102;0;match;0;7;True
174;70;1/32;143/8;103;0;ornamentation;0;7;False
175;69;1/32;573/32;104;0;ornamentation;0;7;False
176;67;1/32;287/16;105;0;ornamentation;0;7;False
177;69;1/32;575/32;106;0;ornamentation;0;7;False
178;62;1/4;18;107;1;match;1;7;True
179;70;1/4;18;107;0;match;0;7;True
279;58;1/16;401/16;152;1;ornamentation;0;10;True
280;60;1/32;201/8;153;1;ornamentation;0;10;False
281;58;1/32;805/32;154;1;ornamentation;0;10;False
282;57;1/32;403/16;155;1;ornamentation;0;10;False
283;55;1/32;807/32;156;1;ornamentation;0;10;False
284;50;1/8;101/4;157;3;match;3;10;True
286;62;1/8;101/4;157;2;match;2;10;True
285;57;1/8;101/4;157;1;match;1;10;True
287;67;1/8;101/4;157;0;repetition;0;10;True
284;50;1/8;101/4;157;3;match;3;11;True
286;62;1/8;101/4;157;2;match;2;11;True
285;57;1/8;101/4;157;1;match;1;11;True
287;67;1/8;101/4;157;0;repetition;0;11;True
288;66;1/16;203/8;158;0;ornamentation;0;11;False
289;64;1/16;407/16;159;0;ornamentation;0;11;False
290;66;1/16;51/2;160;0;match;0;11;False
291;67;1/16;409/16;161;0;ornamentation;0;11;False
292;64;1/16;205/8;162;0;ornamentation;0;11;False
293;66;1/16;411/16;163;0;ornamentation;0;11;False
294;43;3/16;103/4;164;3;match;3;11;True
296;58;3/16;103/4;164;2;match;2;11;True
295;55;3/16;103/4;164;1;match;1;11;True
297;67;3/16;103/4;164;0;match;0;11;True
294;43;3/16;103/4;164;3;match;3;12;True
296;58;3/16;103/4;164;2;match;2;12;True
295;55;3/16;103/4;164;1;match;1;12;True
297;67;3/16;103/4;164;0;match;0;12;True
298;60;1/16;415/16;165;2;ornamentation;0;12;False
299;62;1/16;26;166;2;ornamentation;0;12;False
300;60;1/16;417/16;167;2;ornamentation;0;12;False
301;58;1/16;209/8;168;2;ornamentation;0;12;False
302;57;1/16;419/16;169;2;ornamentation;0;12;False
304;58;1/4;105/4;170;2;repetition;2;12;True
303;55;1/4;105/4;170;1;repetition;1;12;True
305;67;1/4;105/4;170;0;repetition;0;12;True
318;53;3/16;111/4;179;3;match;1;13;True
319;60;3/16;111/4;179;1;match;0;13;True
320;58;1/16;447/16;180;1;ornamentation;0;13;False
321;57;1/16;28;181;1;match;0;13;False
322;58;1/16;449/16;182;1;ornamentation;0;13;False
323;60;1/16;225/8;183;1;ornamentation;0;13;False
324;62;1/16;451/16;184;1;ornamentation;0;13;False
325;52;1/8;113/4;185;3;ficta;1;13;True
326;60;1/8;113/4;185;1;match;0;13;True
325;52;1/8;113/4;185;3;ficta;1;14;True
326;60;1/8;113/4;185;1;match;0;14;True
327;58;1/16;227/8;186;1;ornamentation;0;14;False
328;60;1/16;455/16;187;1;ornamentation;0;14;False
329;62;1/16;57/2;188;1;ornamentation;0;14;False
330;60;1/16;457/16;189;1;ornamentation;0;14;False
331;58;1/16;229/8;190;1;ornamentation;0;14;False
332;57;1/16;459/16;191;1;ornamentation;0;14;False
333;50;3/16;115/4;192;3;match;1;14;True
334;58;3/16;115/4;192;1;match;0;14;True
348;60;3/16;121/4;202;2;match;1;15;True
349;67;3/16;121/4;202;0;match;0;15;True
350;65;1/16;487/16;203;0;ornamentation;0;15;False
351;64;1/16;61/2;204;0;match;0;15;False
352;65;1/16;489/16;205;0;ornamentation;0;15;False
353;67;1/16;245/8;206;0;ornamentation;0;15;False
354;69;1/16;491/16;207;0;ornamentation;0;15;False
355;58;1/4;123/4;208;2;match;1;15;True
356;67;1/4;123/4;208;0;match;0;15;True
372;46;1/8;129/4;216;3;match;2;17;True
374;62;1/8;129/4;216;2;match;1;17;True
373;57;1/8;129/4;216;1;repetition;0;17;True
375;55;1/16;259/8;217;1;ornamentation;0;17;False
376;53;1/16;519/16;218;1;ornamentation;0;17;False
377;55;1/16;65/2;219;1;match;0;17;False
378;57;1/16;521/16;220;1;ornamentation;0;17;False
379;53;1/16;261/8;221;1;ornamentation;0;17;False
380;55;1/16;523/16;222;1;ornamentation;0;17;False
381;45;1/4;131/4;223;3;match;2;17;True
383;60;1/4;131/4;223;2;match;1;17;True
382;57;1/4;131/4;223;1;match;0;17;True
387;58;1/8;133/4;226;2;match;1;18;True
388;67;1/8;133/4;226;0;match;0;18;True
389;60;1/32;267/8;227;1;ornamentation;0;18;False
390;58;1/32;1069/32;228;1;ornamentation;0;18;False
391;57;1/32;535/16;229;1;ornamentation;0;18;False
392;58;1/32;1071/32;230;1;ornamentation;0;18;False
393;43;1/8;67/2;231;3;match;1;18;True
394;55;1/8;67/2;231;1;adaptation;0;18;True
461;57;3/16;157/4;272;2;match;1;21;True
462;67;3/16;157/4;272;0;repetition;0;21;True
463;66;1/16;631/16;273;0;ornamentation;0;21;False
464;67;1/16;79/2;274;0;repetition;0;21;False
465;66;1/16;633/16;275;0;ornamentation;0;21;False
466;64;1/16;317/8;276;0;ornamentation;0;21;False
467;66;1/16;635/16;277;0;ornamentation;0;21;False
468;55;1/8;159/4;278;2;match;1;21;True
469;67;1/8;159/4;278;0;match;0;21;True
468;55;1/8;159/4;278;2;match;1;22;True
469;67;1/8;159/4;278;0;match;0;22;True
470;61;1/16;319/8;279;0;ornamentation;0;22;False
471;62;1/16;639/16;280;0;ornamentation;0;22;False
472;64;1/16;40;281;0;ornamentation;0;22;False
473;66;1/16;641/16;282;0;ornamentation;0;22;False
474;67;1/16;321/8;283;0;ornamentation;0;22;False
475;69;1/16;643/16;284;0;ornamentation;0;22;False
476;55;1/2;161/4;285;3;match;1;22;True
477;67;1/2;161/4;285;0;repetition;0;22;True
491;55;1/4;42;295;3;match;1;23;True
492;62;1/4;42;295;1;match;0;23;True
493;55;1/16;169/4;296;1;match;0;23;False
494;57;1/16;677/16;297;1;ornamentation;0;23;False
495;58;1/16;339/8;298;1;ornamentation;0;23;False
496;60;1/16;679/16;299;1;ornamentation;0;23;False
497;55;1/8;85/2;300;3;match;1;23;True
498;62;1/8;85/2;300;1;match;0;23;True
497;55;1/8;85/2;300;3;match;1;24;True
498;62;1/8;85/2;300;1;match;0;24;True
499;57;1/32;341/8;301;3;ornamentation;0;24;False
500;55;1/32;1365/32;302;3;ornamentation;0;24;False
501;53;1/32;683/16;303;3;ornamentation;0;24;False
502;55;1/32;1367/32;304;3;ornamentation;0;24;False
503;53;1/4;171/4;305;3;match;0;24;True
506;53;1/16;689/16;307;3;ornamentation;0;25;True
507;55;1/32;345/8;308;3;ornamentation;0;25;False
508;53;1/32;1381/32;309;3;ornamentation;0;25;False
509;52;1/32;691/16;310;3;ornamentation;0;25;False
510;50;1/32;1383/32;311;3;ornamentation;0;25;False
511;48;1/4;173/4;312;3;match;1;25;True
512;60;1/4;173/4;312;1;match;0;25;True
513;55;1/4;87/2;313;3;match;1;26;True
514;62;1/4;87/2;313;1;match;0;26;True
515;55;1/16;175/4;314;1;match;0;26;False
516;57;1/16;701/16;315;1;ornamentation;0;26;False
517;58;1/16;351/8;316;1;ornamentation;0;26;False
518;60;1/16;703/16;317;1;ornamentation;0;26;False
519;55;1/4;44;318;3;match;1;26;True
520;62;1/4;44;318;1;match;0;26;True
525;50;1/8;179/4;323;3;match;2;28;True
527;62;1/8;179/4;323;2;match;1;28;True
526;58;1/8;179/4;323;1;match;0;28;True
528;60;1/16;359/8;324;1;ornamentation;0;28;False
529;58;1/16;719/16;325;1;ornamentation;0;28;False
530;60;1/16;45;326;1;ornamentation;0;28;False
531;58;1/16;721/16;327;1;ornamentation;0;28;False
532;60;1/32;361/8;328;1;ornamentation;0;28;True
531;58;1/16;721/16;327;1;ornamentation;0;29;True
532;60;1/32;361/8;328;1;ornamentation;0;29;False
533;58;1/32;1445/32;329;1;ornamentation;0;29;False
534;57;1/32;723/16;330;1;ornamentation;0;29;False
535;55;1/32;1447/32;331;1;ornamentation;0;29;False
536;50;1/4;181/4;332;3;repetition;3;29;True
538;62;1/4;181/4;332;2;repetition;2;29;True
537;57;1/4;181/4;332;1;match;1;29;True
539;69;1/4;181/4;332;0;match;0;29;True
551;62;1/4;93/2;341;2;match;1;30;True
552;69;1/4;93/2;341;0;match;0;30;True
553;62;1/16;187/4;342;0;match;0;30;False
554;64;1/16;749/16;343;0;ornamentation;0;30;False
555;65;1/16;375/8;344;0;ornamentation;0;30;False
556;67;1/16;751/16;345;0;ornamentation;0;30;False
557;62;1/4;47;346;2;match;1;30;True
558;69;1/4;47;346;0;match;0;30;True
560;62;1/8;95/2;348;2;match;1;31;True
561;69;1/8;95/2;348;0;match;0;31;True
562;70;1/32;381/8;349;0;ornamentation;0;31;False
563;69;1/32;1525/32;350;0;ornamentation;0;31;False
564;67;1/32;763/16;351;0;ornamentation;0;31;False
565;69;1/32;1527/32;352;0;ornamentation;0;31;False
566;55;1/4;191/4;353;2;match;1;31;True
567;67;1/4;191/4;353;0;match;0;31;True
570;62;1/8;193/4;355;0;match;0;32;True
571;62;1/32;387/8;356;0;ornamentation;0;32;False
572;64;1/32;1549/32;357;0;ornamentation;0;32;False
573;65;1/32;775/16;358;0;ornamentation;0;32;False
574;67;1/32;1551/32;359;0;ornamentation;0;32;False
575;62;1/8;97/2;360;2;match;1;32;True
576;69;1/8;97/2;360;0;match;0;32;True
599;60;1/8;201/4;378;2;match;1;35;True
600;67;1/8;201/4;378;0;match;0;35;True
601;58;1/16;403/8;379;2;ornamentation;0;35;False
602;60;1/16;807/16;380;2;ornamentation;0;35;False
603;62;1/16;101/2;381;2;adaptation;0;35;False
604;60;1/16;809/16;382;2;ornamentation;0;35;False
605;58;1/16;405/8;383;2;ornamentation;0;35;False
606;57;1/16;811/16;384;2;ornamentation;0;35;False
607;58;1/4;203/4;385;2;match;1;35;True
608;67;1/4;203/4;385;0;match;0;35;True
611;58;3/16;205/4;388;2;match;1;36;True
612;65;3/16;205/4;388;0;match;0;36;True
613;64;1/16;823/16;389;0;ornamentation;0;36;False
614;62;1/16;103/2;390;0;match;0;36;False
615;64;1/16;825/16;391;0;ornamentation;0;36;False
616;65;1/16;413/8;392;0;ornamentation;0;36;False
617;67;1/16;827/16;393;0;ornamentation;0;36;False
618;57;1/4;207/4;394;2;match;1;36;True
619;65;1/4;207/4;394;0;match;0;36;True
639;57;1/8;107/2;409;2;repetition;1;39;True
