note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
173;69;1/8;71/4;102;0;match;0;0;True;[non_monotonic]
174;70;1/32;143/8;103;0;ornamentation;0;0;False;[non_monotonic]
175;69;1/32;573/32;104;0;ornamentation;0;0;False;[non_monotonic]
176;67;1/32;287/16;105;0;ornamentation;0;0;False;[non_monotonic]
177;69;1/32;575/32;106;0;ornamentation;0;0;False;[non_monotonic]
179;70;1/4;18;107;0;match;0;0;True;[non_monotonic]
552;69;1/4;93/2;341;0;match;0;7;True;[monotonic_perfect_fifth_0_0]
553;62;1/16;187/4;342;0;match;0;7;False;[monotonic_perfect_fifth_0_0]
554;64;1/16;749/16;343;0;ornamentation;0;7;False;[monotonic_perfect_fifth_0_0]
555;65;1/16;375/8;344;0;ornamentation;0;7;False;[monotonic_perfect_fifth_0_0]
556;67;1/16;751/16;345;0;ornamentation;0;7;False;[monotonic_perfect_fifth_0_0]
558;69;1/4;47;346;0;match;0;7;True;[monotonic_perfect_fifth_0_0]
561;69;1/8;95/2;348;0;match;0;8;True;[non_monotonic]
562;70;1/32;381/8;349;0;ornamentation;0;8;False;[non_monotonic]
563;69;1/32;1525/32;350;0;ornamentation;0;8;False;[non_monotonic]
564;67;1/32;763/16;351;0;ornamentation;0;8;False;[non_monotonic]
565;69;1/32;1527/32;352;0;ornamentation;0;8;False;[non_monotonic]
567;67;1/4;191/4;353;0;match;0;8;True;[non_monotonic]
570;62;1/8;193/4;355;0;match;0;9;True;[monotonic_perfect_fifth_0_0]
571;62;1/32;387/8;356;0;ornamentation;0;9;False;[monotonic_perfect_fifth_0_0]
572;64;1/32;1549/32;357;0;ornamentation;0;9;False;[monotonic_perfect_fifth_0_0]
573;65;1/32;775/16;358;0;ornamentation;0;9;False;[monotonic_perfect_fifth_0_0]
574;67;1/32;1551/32;359;0;ornamentation;0;9;False;[monotonic_perfect_fifth_0_0]
576;69;1/8;97/2;360;0;match;0;9;True;[monotonic_perfect_fifth_0_0]
640;66;1/8;107/2;409;0;match;0;14;True;[non_monotonic]
641;67;1/32;429/8;410;0;ornamentation;0;14;False;[non_monotonic]
642;66;1/32;1717/32;411;0;ornamentation;0;14;False;[non_monotonic]
643;64;1/32;859/16;412;0;ornamentation;0;14;False;[non_monotonic]
644;66;1/32;1719/32;413;0;ornamentation;0;14;False;[non_monotonic]
646;67;1/4;215/4;414;0;match;0;14;True;[non_monotonic]
885;69;1/8;555/8;537;0;adaptation;0;19;True;[monotonic]
888;67;1/16;139/2;538;0;adaptation;0;19;False;[monotonic]
889;65;1/16;1113/16;539;0;ornamentation;0;19;False;[monotonic]
890;64;1/16;557/8;540;0;adaptation;0;19;False;[monotonic]
891;62;1/16;1115/16;541;0;ornamentation;0;19;False;[monotonic]
895;64;1/8;279/4;542;0;match;0;19;True;[monotonic]
1328;66;1/8;839/8;857;0;adaptation;0;25;True;[non_monotonic]
1329;67;1/16;105;858;0;repetition;0;25;False;[non_monotonic]
1330;66;1/16;1681/16;859;0;ornamentation;0;25;False;[non_monotonic]
1331;64;1/16;841/8;860;0;ornamentation;0;25;False;[non_monotonic]
1332;66;1/16;1683/16;861;0;ornamentation;0;25;False;[non_monotonic]
1335;67;1/4;421/4;862;0;match;0;25;True;[non_monotonic]
1429;64;1/16;1793/16;909;0;ornamentation;0;28;True;[monotonic_perfect_fifth_0_0]
1430;65;1/32;897/8;910;0;ornamentation;0;28;False;[monotonic_perfect_fifth_0_0]
1431;64;1/32;3589/32;911;0;ornamentation;0;28;False;[monotonic_perfect_fifth_0_0]
1432;62;1/32;1795/16;912;0;ornamentation;0;28;False;[monotonic_perfect_fifth_0_0]
1433;60;1/32;3591/32;913;0;ornamentation;0;28;False;[monotonic_perfect_fifth_0_0]
1434;58;1/4;449/4;914;0;match;0;28;True;[monotonic_perfect_fifth_0_0]
1461;69;1/8;457/4;931;0;match;0;30;True;[non_monotonic]
1462;70;1/32;915/8;932;0;ornamentation;0;30;False;[non_monotonic]
1463;69;1/32;3661/32;933;0;ornamentation;0;30;False;[non_monotonic]
1464;67;1/32;1831/16;934;0;ornamentation;0;30;False;[non_monotonic]
1465;69;1/32;3663/32;935;0;ornamentation;0;30;False;[non_monotonic]
1468;70;1/8;229/2;936;0;match;0;30;True;[non_monotonic]
