output_csv,sequence_length,count,sequence_ids
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,1,4,"73,79,98,104"
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,2,27,"8,28,32,33,38,39,40,41,43,44,46,47,53,54,67,70,75,80,82,85,86,96,100,105,114,115,116"
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,4,41,"6,11,12,13,17,18,20,22,24,26,30,34,36,42,48,50,51,56,57,64,65,66,68,69,71,76,78,83,88,91,92,95,97,101,103,107,110,111,117,119,120"
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,5,17,"3,7,14,19,35,37,55,63,72,81,84,89,94,106,108,112,113"
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,6,22,"0,1,2,4,5,9,15,16,21,23,25,27,29,58,59,60,61,62,77,87,93,102"
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,7,3,"31,45,52"
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,8,3,"10,74,99"
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,9,3,"90,109,118"
output/5265_14_absalon_fili_me_desprez/5265_14_absalon_fili_me_desprez_tab_abtab.csv,11,1,49
output/5265_14_absalon_fili_me_desprez/fourstep/5265_14_absalon_fili_me_desprez_tab_abtab_fourstep.csv,4,29,"11,12,13,17,18,22,24,26,30,36,42,48,51,57,64,68,69,76,78,83,88,92,97,101,103,107,111,117,120"
output/5265_14_absalon_fili_me_desprez/fourstep/5265_14_absalon_fili_me_desprez_tab_abtab_non_chord.csv,1,4,"73,79,98,104"
output/5265_14_absalon_fili_me_desprez/fourstep/5265_14_absalon_fili_me_desprez_tab_abtab_non_chord.csv,2,18,"32,33,38,39,40,43,44,46,47,53,54,70,80,85,86,105,114,115"
output/5265_14_absalon_fili_me_desprez/fourstep/5265_14_absalon_fili_me_desprez_tab_abtab_non_chord.csv,4,32,"11,12,13,17,18,22,24,26,36,48,50,51,56,57,64,65,68,69,76,78,83,88,91,92,97,101,103,110,111,117,119,120"
output/5265_14_absalon_fili_me_desprez/fourstep/5265_14_absalon_fili_me_desprez_tab_abtab_non_chord.csv,5,13,"7,14,19,55,72,81,84,89,94,106,108,112,113"
output/5265_14_absalon_fili_me_desprez/fourstep/5265_14_absalon_fili_me_desprez_tab_abtab_non_chord.csv,6,15,"0,1,2,4,5,9,15,16,27,29,58,60,62,87,93"
