note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context,sequence_id_voice
2,60,1/8,1,2,0,match,0,0,True,0
3,57,1/16,9/8,3,0,ornamentation,0,0,False,0
4,58,1/16,19/16,4,0,ornamentation,0,0,False,0
5,60,1/16,5/4,5,0,ornamentation,0,0,False,0
6,57,1/16,21/16,6,0,ornamentation,0,0,False,0
7,58,1/16,11/8,7,0,ornamentation,0,0,False,0
8,60,1/16,23/16,8,0,ornamentation,0,0,False,0
9,62,1/8,3/2,9,0,match,0,0,True,0
9,62,1/8,3/2,9,0,match,0,1,True,1
10,60,1/16,13/8,10,0,ornamentation,0,1,False,1
11,58,1/16,27/16,11,0,ornamentation,0,1,False,1
12,57,1/16,7/4,12,0,ornamentation,0,1,False,1
13,58,1/16,29/16,13,0,ornamentation,0,1,False,1
14,60,1/16,15/8,14,0,ornamentation,0,1,False,1
15,62,1/16,31/16,15,0,ornamentation,0,1,False,1
17,63,1/8,2,16,0,match,0,1,True,1
17,63,1/8,2,16,0,match,0,2,True,2
18,53,1/16,17/8,17,0,ornamentation,0,2,False,2
19,55,1/16,35/16,18,0,ornamentation,0,2,False,2
20,57,1/16,9/4,19,0,ornamentation,0,2,False,2
21,58,1/16,37/16,20,0,ornamentation,0,2,False,2
22,60,1/16,19/8,21,0,ornamentation,0,2,False,2
23,62,1/16,39/16,22,0,ornamentation,0,2,False,2
25,63,1/8,5/2,23,0,match,0,2,True,2
23,62,1/16,39/16,22,0,ornamentation,0,3,True,3
25,63,1/8,5/2,23,0,match,0,3,False,3
26,62,1/8,21/8,24,0,ornamentation,0,3,False,3
27,60,1/8,11/4,25,0,ornamentation,0,3,False,3
28,63,1/8,23/8,26,0,ornamentation,0,3,False,3
31,62,1/8,3,27,0,match,0,3,False,3
40,62,1/8,7/2,34,0,repetition,0,3,False,3
49,60,1/4,17/4,42,0,match,0,3,True,3
59,67,3/16,5,47,0,match,0,4,True,4
60,65,1/16,83/16,48,0,ornamentation,0,4,False,4
61,63,1/16,21/4,49,0,ornamentation,0,4,False,4
62,65,1/16,85/16,50,0,ornamentation,0,4,False,4
63,67,1/16,43/8,51,0,ornamentation,0,4,False,4
64,68,1/16,87/16,52,0,ornamentation,0,4,False,4
68,67,1/8,11/2,53,0,repetition,0,4,True,4
64,68,1/16,87/16,52,0,ornamentation,0,5,True,5
68,67,1/8,11/2,53,0,repetition,0,5,False,5
69,65,1/8,45/8,54,0,ornamentation,0,5,False,5
73,67,1/4,23/4,55,0,repetition,0,5,True,5
161,65,1/8,12,109,0,match,0,6,True,6
162,63,1/16,97/8,110,0,ornamentation,0,6,False,6
163,62,1/16,195/16,111,0,ornamentation,0,6,False,6
164,63,1/16,49/4,112,0,ornamentation,0,6,False,6
165,62,1/16,197/16,113,0,ornamentation,0,6,False,6
166,60,1/16,99/8,114,0,ornamentation,0,6,False,6
167,58,1/16,199/16,115,0,ornamentation,0,6,False,6
171,60,1/8,25/2,116,0,match,0,6,True,6
171,60,1/8,25/2,116,0,match,0,7,True,7
175,56,1/16,205/16,120,0,ornamentation,0,7,False,7
176,58,1/32,103/8,121,0,adaptation,0,7,True,7
183,60,3/16,13,125,0,match,0,8,True,8
184,58,1/16,211/16,126,0,ornamentation,0,8,False,8
185,56,1/16,53/4,127,0,ornamentation,0,8,False,8
186,58,1/16,213/16,128,0,ornamentation,0,8,False,8
187,60,1/16,107/8,129,0,ornamentation,0,8,False,8
188,62,1/16,215/16,130,0,ornamentation,0,8,False,8
190,63,1/8,27/2,131,0,match,0,8,True,8
287,62,1/8,43/2,193,0,match,0,9,True,9
288,60,1/16,173/8,194,0,ornamentation,0,9,False,9
289,58,1/16,347/16,195,0,ornamentation,0,9,False,9
290,57,1/16,87/4,196,0,ornamentation,0,9,False,9
291,58,1/16,349/16,197,0,ornamentation,0,9,False,9
292,60,1/16,175/8,198,0,ornamentation,0,9,False,9
293,62,1/16,351/16,199,0,ornamentation,0,9,False,9
296,63,1/4,22,200,0,match,0,9,True,9
299,60,1/4,45/2,202,0,match,0,10,True,10
302,62,1/8,23,204,0,match,0,10,False,10
303,60,1/8,185/8,205,0,ornamentation,0,10,False,10
305,62,1/8,93/4,206,0,repetition,0,10,False,10
306,63,1/8,187/8,207,0,match,0,10,False,10
308,65,1/4,47/2,208,0,match,0,10,True,10
322,65,1/8,49/2,215,0,repetition,0,11,True,11
323,64,1/16,197/8,216,0,ornamentation,0,11,False,11
324,62,1/16,395/16,217,0,ornamentation,0,11,False,11
326,64,1/8,99/4,218,0,match,0,11,True,11
326,64,1/8,99/4,218,0,match,0,12,True,12
327,62,1/16,199/8,219,0,ornamentation,0,12,False,12
328,64,1/16,399/16,220,0,ornamentation,0,12,False,12
331,65,1/4,25,221,0,match,0,12,True,12
394,68,1/4,59/2,260,0,match,0,13,True,13
398,67,1/8,119/4,261,0,match,0,13,False,13
399,68,1/8,239/8,262,0,ornamentation,0,13,False,13
403,67,1/8,30,263,0,repetition,0,13,False,13
406,65,1/8,241/8,264,0,match,0,13,False,13
409,63,1/4,121/4,265,0,match,0,13,True,13
413,63,1/8,61/2,266,0,repetition,0,14,True,14
414,62,1/16,245/8,267,0,ornamentation,0,14,False,14
415,60,1/16,491/16,268,0,ornamentation,0,14,False,14
418,62,1/8,123/4,269,0,match,0,14,True,14
418,62,1/8,123/4,269,0,match,0,15,True,15
419,60,1/16,247/8,270,0,ornamentation,0,15,False,15
420,62,1/16,495/16,271,0,ornamentation,0,15,False,15
424,63,1/8,31,272,0,match,0,15,True,15
461,53,1/4,33,293,0,match,0,16,True,16
463,60,1/8,133/4,294,0,match,0,16,False,16
467,62,1/8,67/2,296,0,match,0,16,False,16
470,60,1/8,135/4,298,0,match,0,16,False,16
471,62,1/8,271/8,299,0,ornamentation,0,16,False,16
474,60,1/8,34,300,0,repetition,0,16,False,16
475,58,1/8,273/8,301,0,match,0,16,False,16
477,58,1/8,137/4,302,0,match,0,16,False,16
482,58,1/8,69/2,304,0,repetition,0,16,False,16
483,57,1/16,277/8,305,0,ornamentation,0,16,True,16
482,58,1/8,69/2,304,0,repetition,0,17,True,17
483,57,1/16,277/8,305,0,ornamentation,0,17,False,17
484,55,1/16,555/16,306,0,ornamentation,0,17,False,17
485,58,1/16,139/4,307,0,repetition,0,17,False,17
486,57,1/16,557/16,308,0,ornamentation,0,17,False,17
487,58,1/32,279/8,309,0,ornamentation,0,17,True,17
486,57,1/16,557/16,308,0,ornamentation,0,18,True,18
487,58,1/32,279/8,309,0,ornamentation,0,18,False,18
488,57,1/32,1117/32,310,0,ornamentation,0,18,False,18
489,55,1/32,559/16,311,0,ornamentation,0,18,False,18
490,57,1/32,1119/32,312,0,ornamentation,0,18,False,18
493,58,1/4,35,313,0,match,0,18,True,18
555,63,1/8,79/2,347,0,repetition,0,19,True,19
556,62,1/16,317/8,348,0,ornamentation,0,19,False,19
557,60,1/16,635/16,349,0,ornamentation,0,19,False,19
558,63,1/16,159/4,350,0,repetition,0,19,False,19
559,62,1/16,637/16,351,0,ornamentation,0,19,False,19
560,63,1/32,319/8,352,0,ornamentation,0,19,True,19
559,62,1/16,637/16,351,0,ornamentation,0,20,True,20
560,63,1/32,319/8,352,0,ornamentation,0,20,False,20
561,62,1/32,1277/32,353,0,ornamentation,0,20,False,20
562,60,1/32,639/16,354,0,ornamentation,0,20,False,20
563,62,1/32,1279/32,355,0,ornamentation,0,20,False,20
567,63,1/8,40,356,0,match,0,20,True,20
567,63,1/8,40,356,0,match,0,21,True,21
568,53,1/16,321/8,357,0,ornamentation,0,21,False,21
569,55,1/16,643/16,358,0,ornamentation,0,21,False,21
570,57,1/16,161/4,359,0,ornamentation,0,21,False,21
571,58,1/16,645/16,360,0,ornamentation,0,21,False,21
572,60,1/16,323/8,361,0,ornamentation,0,21,False,21
573,62,1/16,647/16,362,0,ornamentation,0,21,False,21
576,63,1/4,81/2,363,0,repetition,0,21,True,21
595,67,1/8,42,372,0,repetition,0,22,True,22
596,65,1/16,337/8,373,0,adaptation,0,22,False,22
597,63,1/16,675/16,374,0,ornamentation,0,22,False,22
598,65,1/16,169/4,375,0,match,0,22,False,22
599,63,1/16,677/16,376,0,ornamentation,0,22,False,22
600,62,1/16,339/8,377,0,adaptation,0,22,False,22
601,60,1/16,679/16,378,0,ornamentation,0,22,False,22
605,62,1/4,85/2,379,0,match,0,22,True,22
652,60,1/8,46,401,0,match,0,23,True,23
656,56,1/16,741/16,405,0,ornamentation,0,23,False,23
657,58,1/16,371/8,406,0,ornamentation,0,23,False,23
658,60,1/16,743/16,407,0,ornamentation,0,23,False,23
661,58,1/4,93/2,408,0,match,0,23,True,23
661,58,1/4,93/2,408,0,match,0,24,True,24
666,56,1/8,47,410,0,match,0,24,False,24
667,58,1/8,377/8,411,0,ornamentation,0,24,False,24
668,60,1/8,189/4,412,0,adaptation,0,24,False,24
669,58,1/8,379/8,413,0,ornamentation,0,24,False,24
672,56,1/8,95/2,414,0,repetition,0,24,False,24
684,55,1/8,48,423,0,match,0,24,False,24
691,55,3/8,97/2,427,0,repetition,0,24,True,24
778,58,3/16,55,483,0,match,0,25,True,25
779,60,1/16,883/16,484,0,ornamentation,0,25,False,25
780,61,1/8,221/4,485,0,ornamentation,0,25,True,25
779,60,1/16,883/16,484,0,ornamentation,0,26,True,26
780,61,1/8,221/4,485,0,ornamentation,0,26,False,26
781,60,1/8,443/8,486,0,ornamentation,0,26,False,26
784,58,3/16,111/2,487,0,repetition,0,26,True,26
807,56,3/16,57,501,0,match,0,27,True,27
808,55,1/16,915/16,502,0,ornamentation,0,27,False,27
809,53,1/16,229/4,503,0,ornamentation,0,27,False,27
810,55,1/16,917/16,504,0,ornamentation,0,27,False,27
811,56,1/16,459/8,505,0,repetition,0,27,False,27
815,53,1/8,115/2,507,0,match,0,27,True,27
903,61,3/16,65,553,0,repetition,0,28,True,28
904,60,1/16,1043/16,554,0,ornamentation,0,28,False,28
905,61,1/16,261/4,555,0,repetition,0,28,False,28
906,60,1/16,1045/16,556,0,ornamentation,0,28,False,28
907,58,1/16,523/8,557,0,ornamentation,0,28,False,28
908,56,1/16,1047/16,558,0,ornamentation,0,28,False,28
912,58,1/8,131/2,559,0,match,0,28,True,28
908,56,1/16,1047/16,558,0,ornamentation,0,29,True,29
912,58,1/8,131/2,559,0,match,0,29,False,29
913,61,1/8,525/8,560,0,ornamentation,0,29,False,29
915,60,1/8,263/4,561,0,adaptation,0,29,False,29
916,58,1/8,527/8,562,0,ornamentation,0,29,False,29
920,56,1/8,66,563,0,match,0,29,False,29
923,58,1/8,265/4,565,0,match,0,29,False,29
928,58,1/8,133/2,567,0,repetition,0,29,False,29
929,57,1/16,533/8,568,0,ornamentation,0,29,True,29
928,58,1/8,133/2,567,0,repetition,0,30,True,30
929,57,1/16,533/8,568,0,ornamentation,0,30,False,30
930,55,1/16,1067/16,569,0,ornamentation,0,30,False,30
931,58,1/16,267/4,570,0,repetition,0,30,False,30
932,57,1/16,1069/16,571,0,ornamentation,0,30,False,30
933,58,1/32,535/8,572,0,ornamentation,0,30,True,30
932,57,1/16,1069/16,571,0,ornamentation,0,31,True,31
933,58,1/32,535/8,572,0,ornamentation,0,31,False,31
934,57,1/32,2141/32,573,0,ornamentation,0,31,False,31
935,55,1/32,1071/16,574,0,ornamentation,0,31,False,31
936,57,1/32,2143/32,575,0,ornamentation,0,31,False,31
939,58,1/8,67,576,0,match,0,31,True,31
1016,58,3/16,72,627,0,match,0,32,True,32
1017,60,1/16,1155/16,628,0,ornamentation,0,32,False,32
1018,61,1/8,289/4,629,0,ornamentation,0,32,True,32
1017,60,1/16,1155/16,628,0,ornamentation,0,33,True,33
1018,61,1/8,289/4,629,0,ornamentation,0,33,False,33
1019,60,1/8,579/8,630,0,ornamentation,0,33,False,33
1021,58,3/16,145/2,631,0,repetition,0,33,True,33
1021,58,3/16,145/2,631,0,repetition,0,34,True,34
1022,60,1/16,1163/16,632,0,ornamentation,0,34,False,34
1023,58,1/16,291/4,633,0,ornamentation,0,34,False,34
1024,56,1/16,1165/16,634,0,ornamentation,0,34,False,34
1025,55,1/16,583/8,635,0,ornamentation,0,34,False,34
1026,53,1/16,1167/16,636,0,ornamentation,0,34,False,34
1030,55,1/8,73,637,0,match,0,34,True,34
1042,56,3/16,74,643,0,match,0,35,True,35
1043,55,1/16,1187/16,644,0,ornamentation,0,35,False,35
1044,53,1/16,297/4,645,0,ornamentation,0,35,False,35
1045,55,1/16,1189/16,646,0,ornamentation,0,35,False,35
1046,56,1/16,595/8,647,0,repetition,0,35,False,35
1050,53,1/8,149/2,649,0,match,0,35,True,35
1078,58,3/16,76,666,0,match,0,36,True,36
1079,57,1/16,1219/16,667,0,ornamentation,0,36,False,36
1080,58,1/16,305/4,668,0,ornamentation,0,36,False,36
1081,60,1/16,1221/16,669,0,ornamentation,0,36,False,36
1082,62,1/16,611/8,670,0,ornamentation,0,36,False,36
1083,63,1/16,1223/16,671,0,ornamentation,0,36,False,36
1086,65,3/16,153/2,672,0,match,0,36,True,36
1113,58,1/8,317/4,687,0,match,0,37,True,37
1114,60,1/16,635/8,688,0,ornamentation,0,37,False,37
1115,62,1/16,1271/16,689,0,ornamentation,0,37,False,37
1117,63,1/4,159/2,690,0,match,0,37,True,37
1137,56,1/4,325/4,699,0,repetition,0,38,True,38
1139,61,1/8,163/2,700,0,match,0,38,False,38
1145,61,1/8,82,703,0,repetition,0,38,False,38
1146,60,1/8,657/8,704,0,ornamentation,0,38,False,38
