note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
2,60,1/8,1,2,0,match,0,0,True
3,57,1/16,9/8,3,0,ornamentation,0,0,False
4,58,1/16,19/16,4,0,ornamentation,0,0,False
5,60,1/16,5/4,5,0,ornamentation,0,0,False
6,57,1/16,21/16,6,0,ornamentation,0,0,False
7,58,1/16,11/8,7,0,ornamentation,0,0,False
8,60,1/16,23/16,8,0,ornamentation,0,0,False
9,62,1/8,3/2,9,0,match,0,0,True
9,62,1/8,3/2,9,0,match,0,1,True
10,60,1/16,13/8,10,0,ornamentation,0,1,False
11,58,1/16,27/16,11,0,ornamentation,0,1,False
12,57,1/16,7/4,12,0,ornamentation,0,1,False
13,58,1/16,29/16,13,0,ornamentation,0,1,False
14,60,1/16,15/8,14,0,ornamentation,0,1,False
15,62,1/16,31/16,15,0,ornamentation,0,1,False
17,63,1/8,2,16,0,match,0,1,True
17,63,1/8,2,16,0,match,0,2,True
18,53,1/16,17/8,17,0,ornamentation,0,2,False
19,55,1/16,35/16,18,0,ornamentation,0,2,False
20,57,1/16,9/4,19,0,ornamentation,0,2,False
21,58,1/16,37/16,20,0,ornamentation,0,2,False
22,60,1/16,19/8,21,0,ornamentation,0,2,False
23,62,1/16,39/16,22,0,ornamentation,0,2,False
25,63,1/8,5/2,23,0,match,0,2,True
23,62,1/16,39/16,22,0,ornamentation,0,3,True
25,63,1/8,5/2,23,0,match,0,3,False
26,62,1/8,21/8,24,0,ornamentation,0,3,False
27,60,1/8,11/4,25,0,ornamentation,0,3,False
28,63,1/8,23/8,26,0,ornamentation,0,3,False
31,62,1/8,3,27,0,match,0,3,False
40,62,1/8,7/2,34,0,repetition,0,3,False
49,60,1/4,17/4,42,0,match,0,3,True
59,67,3/16,5,47,0,match,0,4,True
60,65,1/16,83/16,48,0,ornamentation,0,4,False
61,63,1/16,21/4,49,0,ornamentation,0,4,False
62,65,1/16,85/16,50,0,ornamentation,0,4,False
63,67,1/16,43/8,51,0,ornamentation,0,4,False
64,68,1/16,87/16,52,0,ornamentation,0,4,False
68,67,1/8,11/2,53,0,repetition,0,4,True
64,68,1/16,87/16,52,0,ornamentation,0,5,True
68,67,1/8,11/2,53,0,repetition,0,5,False
69,65,1/8,45/8,54,0,ornamentation,0,5,False
73,67,1/4,23/4,55,0,repetition,0,5,True
161,65,1/8,12,109,0,match,0,6,True
162,63,1/16,97/8,110,0,ornamentation,0,6,False
163,62,1/16,195/16,111,0,ornamentation,0,6,False
164,63,1/16,49/4,112,0,ornamentation,0,6,False
165,62,1/16,197/16,113,0,ornamentation,0,6,False
166,60,1/16,99/8,114,0,ornamentation,0,6,False
167,58,1/16,199/16,115,0,ornamentation,0,6,False
171,60,1/8,25/2,116,0,match,0,6,True
171,60,1/8,25/2,116,0,match,0,7,True
175,56,1/16,205/16,120,0,ornamentation,0,7,False
176,58,1/32,103/8,121,0,adaptation,0,7,True
183,60,3/16,13,125,0,match,0,8,True
184,58,1/16,211/16,126,0,ornamentation,0,8,False
185,56,1/16,53/4,127,0,ornamentation,0,8,False
186,58,1/16,213/16,128,0,ornamentation,0,8,False
187,60,1/16,107/8,129,0,ornamentation,0,8,False
188,62,1/16,215/16,130,0,ornamentation,0,8,False
190,63,1/8,27/2,131,0,match,0,8,True
287,62,1/8,43/2,193,0,match,0,9,True
288,60,1/16,173/8,194,0,ornamentation,0,9,False
289,58,1/16,347/16,195,0,ornamentation,0,9,False
290,57,1/16,87/4,196,0,ornamentation,0,9,False
291,58,1/16,349/16,197,0,ornamentation,0,9,False
292,60,1/16,175/8,198,0,ornamentation,0,9,False
293,62,1/16,351/16,199,0,ornamentation,0,9,False
296,63,1/4,22,200,0,match,0,9,True
299,60,1/4,45/2,202,0,match,0,10,True
302,62,1/8,23,204,0,match,0,10,False
303,60,1/8,185/8,205,0,ornamentation,0,10,False
305,62,1/8,93/4,206,0,repetition,0,10,False
306,63,1/8,187/8,207,0,match,0,10,False
308,65,1/4,47/2,208,0,match,0,10,True
322,65,1/8,49/2,215,0,repetition,0,11,True
323,64,1/16,197/8,216,0,ornamentation,0,11,False
324,62,1/16,395/16,217,0,ornamentation,0,11,False
326,64,1/8,99/4,218,0,match,0,11,True
326,64,1/8,99/4,218,0,match,0,12,True
327,62,1/16,199/8,219,0,ornamentation,0,12,False
328,64,1/16,399/16,220,0,ornamentation,0,12,False
331,65,1/4,25,221,0,match,0,12,True
394,68,1/4,59/2,260,0,match,0,13,True
398,67,1/8,119/4,261,0,match,0,13,False
399,68,1/8,239/8,262,0,ornamentation,0,13,False
403,67,1/8,30,263,0,repetition,0,13,False
406,65,1/8,241/8,264,0,match,0,13,False
409,63,1/4,121/4,265,0,match,0,13,True
413,63,1/8,61/2,266,0,repetition,0,14,True
414,62,1/16,245/8,267,0,ornamentation,0,14,False
415,60,1/16,491/16,268,0,ornamentation,0,14,False
418,62,1/8,123/4,269,0,match,0,14,True
418,62,1/8,123/4,269,0,match,0,15,True
419,60,1/16,247/8,270,0,ornamentation,0,15,False
420,62,1/16,495/16,271,0,ornamentation,0,15,False
424,63,1/8,31,272,0,match,0,15,True
461,53,1/4,33,293,0,match,0,16,True
463,60,1/8,133/4,294,0,match,0,16,False
467,62,1/8,67/2,296,0,match,0,16,False
470,60,1/8,135/4,298,0,match,0,16,False
471,62,1/8,271/8,299,0,ornamentation,0,16,False
474,60,1/8,34,300,0,repetition,0,16,False
475,58,1/8,273/8,301,0,match,0,16,False
477,58,1/8,137/4,302,0,match,0,16,False
482,58,1/8,69/2,304,0,repetition,0,16,False
483,57,1/16,277/8,305,0,ornamentation,0,16,True
482,58,1/8,69/2,304,0,repetition,0,17,True
483,57,1/16,277/8,305,0,ornamentation,0,17,False
484,55,1/16,555/16,306,0,ornamentation,0,17,False
485,58,1/16,139/4,307,0,repetition,0,17,False
486,57,1/16,557/16,308,0,ornamentation,0,17,False
487,58,1/32,279/8,309,0,ornamentation,0,17,True
486,57,1/16,557/16,308,0,ornamentation,0,18,True
487,58,1/32,279/8,309,0,ornamentation,0,18,False
488,57,1/32,1117/32,310,0,ornamentation,0,18,False
489,55,1/32,559/16,311,0,ornamentation,0,18,False
490,57,1/32,1119/32,312,0,ornamentation,0,18,False
493,58,1/4,35,313,0,match,0,18,True
