note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
229;48;1/8;35/2;152;2;repetition;1;4;True;[non_monotonic]
231;50;1/32;141/8;153;2;ornamentation;0;4;False;[non_monotonic]
232;48;1/32;565/32;154;2;ornamentation;0;4;False;[non_monotonic]
233;46;1/32;283/16;155;2;ornamentation;0;4;False;[non_monotonic]
234;48;1/32;567/32;156;2;ornamentation;0;4;False;[non_monotonic]
235;50;1/4;71/4;157;2;match;0;4;True;[non_monotonic]
248;50;1/16;301/16;167;2;ornamentation;0;6;True;[non_monotonic]
249;51;1/32;151/8;168;2;ornamentation;0;6;False;[non_monotonic]
250;50;1/32;605/32;169;2;ornamentation;0;6;False;[non_monotonic]
251;51;1/32;303/16;170;2;ornamentation;0;6;False;[non_monotonic]
252;53;1/32;607/32;171;2;ornamentation;0;6;False;[non_monotonic]
254;51;1/8;19;172;2;repetition;0;6;True;[non_monotonic]
671;48;1/8;95/2;414;2;repetition;1;13;True;[non_monotonic]
673;50;1/32;381/8;415;2;ornamentation;0;13;False;[non_monotonic]
674;48;1/32;1525/32;416;2;ornamentation;0;13;False;[non_monotonic]
675;46;1/32;763/16;417;2;ornamentation;0;13;False;[non_monotonic]
676;48;1/32;1527/32;418;2;ornamentation;0;13;False;[non_monotonic]
677;50;1/16;191/4;419;2;repetition;0;13;True;[non_monotonic]
694;48;1/8;49;429;2;match;1;16;True;[non_monotonic]
696;46;1/16;393/8;430;2;ornamentation;0;16;False;[non_monotonic]
697;48;1/16;787/16;431;2;ornamentation;0;16;False;[non_monotonic]
698;50;1/16;197/4;432;2;ornamentation;0;16;False;[non_monotonic]
699;48;1/16;789/16;433;2;ornamentation;0;16;False;[non_monotonic]
700;50;1/32;395/8;434;2;ornamentation;0;16;True;[non_monotonic]
699;48;1/16;789/16;433;2;ornamentation;0;17;True;[non_monotonic]
700;50;1/32;395/8;434;2;ornamentation;0;17;False;[non_monotonic]
701;48;1/32;1581/32;435;2;ornamentation;0;17;False;[non_monotonic]
702;46;1/32;791/16;436;2;ornamentation;0;17;False;[non_monotonic]
703;48;1/32;1583/32;437;2;ornamentation;0;17;False;[non_monotonic]
705;46;1/4;99/2;438;2;match;2;17;True;[non_monotonic]
755;50;1/16;861/16;468;2;ornamentation;0;22;True;[non_monotonic]
756;51;1/32;431/8;469;2;ornamentation;0;22;False;[non_monotonic]
757;50;1/32;1725/32;470;2;ornamentation;0;22;False;[non_monotonic]
758;51;1/32;863/16;471;2;ornamentation;0;22;False;[non_monotonic]
759;53;1/32;1727/32;472;2;ornamentation;0;22;False;[non_monotonic]
761;51;1/8;54;473;2;repetition;1;22;True;[non_monotonic]
849;53;1/4;119/2;527;2;match;2;23;True;[monotonic]
851;50;1/16;239/4;528;2;ornamentation;0;23;False;[monotonic]
852;51;1/16;957/16;529;2;ornamentation;0;23;False;[monotonic]
853;53;1/16;479/8;530;2;ornamentation;0;23;False;[monotonic]
854;55;1/16;959/16;531;2;ornamentation;0;23;False;[monotonic]
856;53;1/4;60;532;2;repetition;1;23;True;[monotonic]
994;50;1/16;1133/16;612;2;ornamentation;0;29;True;[non_monotonic]
995;51;1/32;567/8;613;2;ornamentation;0;29;False;[non_monotonic]
996;50;1/32;2269/32;614;2;ornamentation;0;29;False;[non_monotonic]
997;51;1/32;1135/16;615;2;ornamentation;0;29;False;[non_monotonic]
998;53;1/32;2271/32;616;2;ornamentation;0;29;False;[non_monotonic]
1000;51;1/8;71;617;2;repetition;1;29;True;[non_monotonic]
