note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
2;65;1/8;3/4;2;1;match;0;0;True;[non_monotonic]
3;67;1/32;7/8;3;1;ornamentation;0;0;False;[non_monotonic]
4;65;1/32;29/32;4;1;ornamentation;0;0;False;[non_monotonic]
5;64;1/32;15/16;5;1;ornamentation;0;0;False;[non_monotonic]
6;65;1/32;31/32;6;1;ornamentation;0;0;False;[non_monotonic]
7;67;1/8;1;7;1;match;0;0;True;[non_monotonic]
44;66;1/16;69/16;36;1;ornamentation;0;8;True;[non_monotonic]
45;67;1/32;35/8;37;1;adaptation;0;8;False;[non_monotonic]
46;66;1/32;141/32;38;1;ornamentation;0;8;False;[non_monotonic]
47;64;1/32;71/16;39;1;ornamentation;0;8;False;[non_monotonic]
48;66;1/32;143/32;40;1;ornamentation;0;8;False;[non_monotonic]
49;55;1/4;9/2;41;3;match;2;8;True;[non_monotonic]
50;67;1/4;9/2;41;1;match;1;8;True;[non_monotonic]
50;67;1/4;9/2;41;0;match;0;8;True;[non_monotonic]
78;52;1/8;27/4;59;3;match;1;13;True;[non_monotonic]
79;60;1/8;27/4;59;2;match;0;13;True;[non_monotonic]
80;62;1/32;55/8;60;2;ornamentation;0;13;False;[non_monotonic]
81;60;1/32;221/32;61;2;ornamentation;0;13;False;[non_monotonic]
82;59;1/32;111/16;62;2;ornamentation;0;13;False;[non_monotonic]
83;60;1/32;223/32;63;2;ornamentation;0;13;False;[non_monotonic]
84;50;1/8;7;64;3;match;1;13;True;[non_monotonic]
85;62;1/8;7;64;2;match;0;13;True;[non_monotonic]
125;62;1/8;41/4;95;2;match;1;21;True;[non_monotonic]
126;66;1/8;41/4;95;1;ficta;0;21;True;[non_monotonic]
127;67;1/32;83/8;96;1;ornamentation;0;21;False;[non_monotonic]
128;66;1/32;333/32;97;1;ornamentation;0;21;False;[non_monotonic]
129;64;1/32;167/16;98;1;ornamentation;0;21;False;[non_monotonic]
130;66;1/32;335/32;99;1;ornamentation;0;21;False;[non_monotonic]
131;55;1/8;21/2;100;2;match;2;21;True;[non_monotonic]
132;67;1/8;21/2;100;1;match;1;21;True;[non_monotonic]
133;74;1/8;21/2;100;0;match;0;21;True;[non_monotonic]
227;66;1/16;285/16;173;2;ornamentation;0;34;True;[non_monotonic]
228;67;1/32;143/8;174;2;ornamentation;0;34;False;[non_monotonic]
229;66;1/32;573/32;175;2;ornamentation;0;34;False;[non_monotonic]
230;64;1/32;287/16;176;2;ornamentation;0;34;False;[non_monotonic]
231;66;1/32;575/32;177;2;ornamentation;0;34;False;[non_monotonic]
