note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context
2;65;1/8;3/4;2;1;match;0;0;True
3;67;1/32;7/8;3;1;ornamentation;0;0;False
4;65;1/32;29/32;4;1;ornamentation;0;0;False
5;64;1/32;15/16;5;1;ornamentation;0;0;False
6;65;1/32;31/32;6;1;ornamentation;0;0;False
7;67;1/8;1;7;1;match;0;0;True
7;67;1/8;1;7;1;match;0;1;True
8;65;1/16;9/8;8;1;ornamentation;0;1;False
9;67;1/16;19/16;9;1;ornamentation;0;1;False
10;69;1/4;5/4;10;1;match;0;1;True
18;64;1/8;9/4;16;1;match;1;3;True
19;72;1/8;9/4;16;0;match;0;3;True
20;71;1/16;19/8;17;0;ornamentation;0;3;False
21;72;1/16;39/16;18;0;ornamentation;0;3;False
22;62;1/8;5/2;19;1;match;1;3;True
23;74;1/8;5/2;19;0;match;0;3;True
22;62;1/8;5/2;19;1;match;1;4;True
23;74;1/8;5/2;19;0;match;0;4;True
24;72;1/16;21/8;20;0;ornamentation;0;4;False
25;74;1/16;43/16;21;0;ornamentation;0;4;False
26;60;1/4;11/4;22;1;match;1;4;True
27;76;1/4;11/4;22;0;match;0;4;True
36;67;1/8;15/4;29;1;match;1;6;True
36;67;1/8;15/4;29;0;match;0;6;True
37;66;1/16;31/8;30;1;ornamentation;0;6;False
38;67;1/16;63/16;31;1;ornamentation;0;6;False
39;67;1/8;4;32;1;repetition;1;6;True
40;69;1/8;4;32;0;match;0;6;True
39;67;1/8;4;32;1;repetition;1;7;True
40;69;1/8;4;32;0;match;0;7;True
41;66;1/16;33/8;33;1;match;0;7;False
42;64;1/16;67/16;34;1;ornamentation;0;7;False
43;67;1/16;17/4;35;1;adaptation;0;7;False
44;66;1/16;69/16;36;1;ornamentation;0;7;False
45;67;1/32;35/8;37;1;adaptation;0;7;True
44;66;1/16;69/16;36;1;ornamentation;0;8;True
45;67;1/32;35/8;37;1;adaptation;0;8;False
46;66;1/32;141/32;38;1;ornamentation;0;8;False
47;64;1/32;71/16;39;1;ornamentation;0;8;False
48;66;1/32;143/32;40;1;ornamentation;0;8;False
49;55;1/4;9/2;41;3;match;2;8;True
50;67;1/4;9/2;41;1;match;1;8;True
50;67;1/4;9/2;41;0;match;0;8;True
51;71;1/8;19/4;42;0;match;0;9;True
52;66;1/16;39/8;43;1;ficta;0;9;False
53;64;1/16;79/16;44;1;ornamentation;0;9;False
54;55;1/8;5;45;3;repetition;2;9;True
55;62;1/8;5;45;1;match;1;9;True
56;71;1/8;5;45;0;repetition;0;9;True
61;55;1/8;11/2;48;3;match;2;10;True
62;64;1/8;11/2;48;1;match;1;10;True
63;74;1/8;11/2;48;0;repetition;0;10;True
64;73;1/16;45/8;49;0;match;0;10;False
65;71;1/16;91/16;50;0;ornamentation;0;10;False
66;57;1/8;23/4;51;3;match;1;10;True
67;73;1/8;23/4;51;0;match;0;10;True
66;57;1/8;23/4;51;3;match;1;11;True
67;73;1/8;23/4;51;0;match;0;11;True
68;71;1/16;47/8;52;0;match;0;11;False
69;73;1/16;95/16;53;0;ornamentation;0;11;False
70;53;1/4;6;54;3;match;3;11;True
71;62;1/4;6;54;2;match;2;11;True
71;62;1/4;6;54;1;match;1;11;True
72;74;1/4;6;54;0;match;0;11;True
78;52;1/8;27/4;59;3;match;1;13;True
79;60;1/8;27/4;59;2;match;0;13;True
80;62;1/32;55/8;60;2;ornamentation;0;13;False
81;60;1/32;221/32;61;2;ornamentation;0;13;False
82;59;1/32;111/16;62;2;ornamentation;0;13;False
83;60;1/32;223/32;63;2;ornamentation;0;13;False
84;50;1/8;7;64;3;match;1;13;True
85;62;1/8;7;64;2;match;0;13;True
84;50;1/8;7;64;3;match;1;14;True
85;62;1/8;7;64;2;match;0;14;True
86;60;1/16;57/8;65;2;ornamentation;0;14;False
87;62;1/16;115/16;66;2;ornamentation;0;14;False
88;48;1/8;29/4;67;3;match;1;14;True
89;64;1/8;29/4;67;2;match;0;14;True
100;57;1/16;133/16;76;2;ornamentation;0;17;True
101;59;1/8;67/8;77;2;ornamentation;0;17;False
102;55;3/16;17/2;78;3;repetition;1;17;True
103;57;3/16;17/2;78;2;match;0;17;True
102;55;3/16;17/2;78;3;repetition;1;18;True
103;57;3/16;17/2;78;2;match;0;18;True
104;54;1/16;139/16;79;3;ornamentation;0;18;False
105;55;1/16;35/4;80;3;adaptation;0;18;False
106;54;1/16;141/16;81;3;ornamentation;0;18;False
107;52;1/16;71/8;82;3;match;0;18;False
108;54;1/16;143/16;83;3;ornamentation;0;18;False
109;55;1/4;9;84;3;match;2;18;True
110;55;1/4;9;84;2;match;1;18;True
111;62;1/4;9;84;1;match;0;18;True
113;55;3/16;19/2;86;3;repetition;2;19;True
114;62;3/16;19/2;86;2;repetition;1;19;True
115;67;3/16;19/2;86;1;match;0;19;True
116;66;1/16;155/16;87;2;ornamentation;0;19;False
117;64;1/16;39/4;88;2;match;0;19;False
118;62;1/16;157/16;89;2;ornamentation;0;19;False
119;60;1/16;79/8;90;2;ornamentation;0;19;False
120;59;1/16;159/16;91;2;ornamentation;0;19;False
121;60;1/8;10;92;2;match;1;19;True
122;67;1/8;10;92;1;repetition;0;19;True
121;60;1/8;10;92;2;match;1;20;True
122;67;1/8;10;92;1;repetition;0;20;True
123;66;1/16;81/8;93;1;ornamentation;0;20;False
124;64;1/16;163/16;94;1;ornamentation;0;20;False
125;62;1/8;41/4;95;2;match;1;20;True
126;66;1/8;41/4;95;1;ficta;0;20;True
125;62;1/8;41/4;95;2;match;1;21;True
126;66;1/8;41/4;95;1;ficta;0;21;True
127;67;1/32;83/8;96;1;ornamentation;0;21;False
128;66;1/32;333/32;97;1;ornamentation;0;21;False
129;64;1/32;167/16;98;1;ornamentation;0;21;False
130;66;1/32;335/32;99;1;ornamentation;0;21;False
131;55;1/8;21/2;100;2;match;2;21;True
132;67;1/8;21/2;100;1;match;1;21;True
133;74;1/8;21/2;100;0;match;0;21;True
131;55;1/8;21/2;100;2;match;2;22;True
132;67;1/8;21/2;100;1;match;1;22;True
133;74;1/8;21/2;100;0;match;0;22;True
134;73;1/16;85/8;101;0;ornamentation;0;22;False
135;71;1/16;171/16;102;0;ornamentation;0;22;False
