note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
311;65;1/16;389/16;244;0;ornamentation;0;13;True;[monotonic]
312;67;1/32;195/8;245;0;ornamentation;0;13;False;[monotonic]
313;65;1/32;781/32;246;0;ornamentation;0;13;False;[monotonic]
314;64;1/32;391/16;247;0;ornamentation;0;13;False;[monotonic]
315;62;1/32;783/32;248;0;ornamentation;0;13;False;[monotonic]
317;64;1/8;49/2;249;0;adaptation;0;13;True;[monotonic]
550;66;1/16;621/16;375;0;ornamentation;0;19;True;[non_monotonic]
551;67;1/32;311/8;376;0;adaptation;0;19;False;[non_monotonic]
552;66;1/32;1245/32;377;0;ornamentation;0;19;False;[non_monotonic]
553;64;1/32;623/16;378;0;ornamentation;0;19;False;[non_monotonic]
554;66;1/32;1247/32;379;0;ornamentation;0;19;False;[non_monotonic]
558;67;1;39;380;0;match;0;19;True;[non_monotonic]
