note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
70,53,1/4,6,54,3,match,3,0,True
73,55,1/8,25/4,55,3,match,0,0,False
74,57,1/8,51/8,56,3,ornamentation,0,0,False
75,55,1/8,13/2,57,3,repetition,1,0,False
77,53,1/8,53/8,58,3,match,0,0,False
78,52,1/8,27/4,59,3,match,1,0,False
84,50,1/8,7,64,3,match,1,0,False
88,48,1/8,29/4,67,3,match,1,0,False
92,50,1/8,61/8,70,3,match,0,0,False
93,52,1/8,31/4,71,3,match,0,0,False
95,54,1/8,8,73,3,ficta,1,0,False
97,55,1/8,65/8,74,3,ornamentation,0,0,False
98,55,1/16,33/4,75,3,match,1,0,True
102,55,3/16,17/2,78,3,repetition,1,1,True
104,54,1/16,139/16,79,3,ornamentation,0,1,False
105,55,1/16,35/4,80,3,adaptation,0,1,False
106,54,1/16,141/16,81,3,ornamentation,0,1,False
107,52,1/16,71/8,82,3,match,0,1,False
108,54,1/16,143/16,83,3,ornamentation,0,1,False
109,55,1/4,9,84,3,match,2,1,True
185,50,3/16,15,140,3,match,2,2,True
188,52,1/16,243/16,141,3,ornamentation,0,2,False
189,54,1/16,61/4,142,3,ornamentation,0,2,False
190,50,1/16,245/16,143,3,ornamentation,0,2,False
191,52,1/16,123/8,144,3,ornamentation,0,2,False
192,54,1/16,247/16,145,3,ornamentation,0,2,False
193,55,1/8,31/2,146,3,match,2,2,True
232,55,1/4,18,178,3,match,1,3,True
235,55,1/16,37/2,180,3,repetition,0,3,False
236,65,1/16,297/16,181,3,ornamentation,0,3,False
237,67,1/16,149/8,182,3,ornamentation,0,3,False
238,64,1/16,299/16,183,3,ornamentation,0,3,False
239,50,1/16,75/4,184,3,match,0,3,False
243,53,1/8,19,188,3,match,1,3,True
239,50,1/16,75/4,184,3,match,0,4,True
243,53,1/8,19,188,3,match,1,4,False
247,52,1/8,155/8,191,3,match,0,4,False
248,50,1/8,39/2,192,3,match,1,4,False
255,48,1/8,159/8,198,3,ornamentation,0,4,False
256,50,1/8,20,199,3,match,1,4,False
260,53,1/8,163/8,202,3,ornamentation,0,4,False
261,52,1/16,41/2,203,3,match,0,4,True
286,55,3/16,45/2,224,3,match,2,5,True
290,53,1/16,365/16,227,3,ornamentation,0,5,False
291,52,1/16,183/8,228,3,ornamentation,0,5,False
292,50,1/16,367/16,229,3,ornamentation,0,5,False
293,52,1/16,23,230,3,match,1,5,False
295,53,1/16,369/16,231,3,ornamentation,0,5,False
296,55,1/16,185/8,232,3,ornamentation,0,5,False
297,52,1/16,371/16,233,3,ornamentation,0,5,False
298,53,1/16,93/4,234,3,match,1,5,False
303,53,1/8,189/8,239,3,ornamentation,0,5,True
298,53,1/16,93/4,234,3,match,1,6,True
303,53,1/8,189/8,239,3,ornamentation,0,6,False
304,52,1/8,95/4,240,3,match,1,6,False
306,50,1/8,191/8,241,3,match,0,6,False
307,48,1/4,24,242,3,match,2,6,True
325,57,3/16,51/2,256,3,match,2,7,True
330,55,1/16,413/16,259,3,ornamentation,0,7,False
331,53,1/16,207/8,260,3,ornamentation,0,7,False
332,52,1/16,415/16,261,3,ornamentation,0,7,False
333,53,1/8,26,262,3,match,1,7,True
339,55,3/16,105/4,267,3,match,1,8,True
343,55,1/8,213/8,270,3,ornamentation,0,8,False
344,53,1/8,107/4,271,3,match,1,8,False
346,52,1/8,215/8,272,3,match,0,8,False
347,50,3/16,27,273,3,match,2,8,True
392,58,1/4,121/4,301,3,ficta,3,9,True
396,57,1/8,61/2,302,3,match,2,9,False
400,60,1/8,123/4,304,3,match,3,9,False
405,60,1/8,31,306,3,repetition,3,9,False
409,59,1/8,249/8,307,3,ornamentation,0,9,False
410,55,1/8,125/4,308,3,match,2,9,False
414,58,1/8,63/2,310,3,match,3,9,False
422,57,1/8,255/8,313,3,match,0,9,False
423,53,1/8,32,314,3,match,2,9,False
427,57,1/8,129/4,316,3,match,3,9,False
432,55,1/8,65/2,318,3,match,3,9,False
437,58,1/8,131/4,320,3,match,2,9,False
441,58,1/8,33,322,3,repetition,2,9,False
444,57,1/8,265/8,323,3,ornamentation,0,9,False
445,53,1/8,133/4,324,3,match,2,9,False
449,57,1/8,67/2,326,3,match,3,9,False
457,55,1/16,271/8,329,3,match,0,9,True
449,57,1/8,67/2,326,3,match,3,10,True
457,55,1/16,271/8,329,3,match,0,10,False
458,54,1/16,543/16,330,3,ornamentation,0,10,False
459,52,1/8,34,331,3,match,2,10,True
463,55,1/4,137/4,333,3,match,3,11,True
467,53,1/8,69/2,334,3,match,3,11,False
471,55,1/8,277/8,335,3,ornamentation,0,11,False
472,57,1/8,139/4,336,3,match,3,11,False
477,57,1/8,35,338,3,repetition,2,11,False
480,55,1/8,281/8,339,3,ornamentation,0,11,False
481,52,1/8,141/4,340,3,match,2,11,False
484,54,1/8,283/8,341,3,adaptation,0,11,False
485,55,1/8,71/2,342,3,match,3,11,False
489,54,1/16,285/8,343,3,adaptation,0,11,True
485,55,1/8,71/2,342,3,match,3,12,True
489,54,1/16,285/8,343,3,adaptation,0,12,False
490,55,1/16,571/16,344,3,ornamentation,0,12,False
491,57,1/16,143/4,345,3,adaptation,0,12,False
492,55,1/16,573/16,346,3,ornamentation,0,12,False
493,57,1/32,287/8,347,3,adaptation,0,12,True
492,55,1/16,573/16,346,3,ornamentation,0,13,True
493,57,1/32,287/8,347,3,adaptation,0,13,False
494,55,1/32,1149/32,348,3,ornamentation,0,13,False
495,53,1/32,575/16,349,3,ornamentation,0,13,False
496,52,1/32,1151/32,350,3,ornamentation,0,13,False
497,50,1/8,36,351,3,match,2,13,True
501,53,1/4,145/4,353,3,match,3,14,True
505,52,1/8,73/2,354,3,match,3,14,False
509,54,1/8,293/8,355,3,ornamentation,0,14,False
510,55,1/8,147/4,356,3,match,1,14,False
514,55,1/8,37,358,3,repetition,3,14,False
518,50,1/8,149/4,360,3,match,2,14,False
523,53,1/8,75/2,362,3,match,3,14,False
531,52,1/8,303/8,365,3,match,0,14,False
532,48,1/8,38,366,3,match,2,14,False
537,52,1/8,153/4,368,3,match,3,14,False
543,50,1/8,77/2,371,3,match,3,14,False
556,55,1,39,380,3,match,3,14,True
