note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
36;51;1;15;20;5;match;2;0;True;[monotonic_perfect_fifth_2_1_chords]
37;55;1;15;20;4;match;1;0;True;[monotonic_perfect_fifth_2_1_chords]
35;48;1;15;20;3;adaptation;0;0;True;[monotonic_perfect_fifth_2_1_chords]
38;50;1/4;16;21;5;match;2;0;False;[monotonic_perfect_fifth_2_1_chords]
39;53;1/4;16;21;4;match;1;0;False;[monotonic_perfect_fifth_2_1_chords]
40;57;1/4;16;21;3;match;0;0;False;[monotonic_perfect_fifth_2_1_chords]
41;52;1/4;65/4;22;5;ornamentation;0;0;False;[monotonic_perfect_fifth_2_1_chords]
42;53;1/4;33/2;23;5;match;0;0;False;[monotonic_perfect_fifth_2_1_chords]
43;55;1/4;67/4;24;4;match;0;0;False;[monotonic_perfect_fifth_2_1_chords]
45;53;1/2;17;25;5;repetition;2;0;True;[monotonic_perfect_fifth_2_1_chords]
46;57;1/2;17;25;4;match;1;0;True;[monotonic_perfect_fifth_2_1_chords]
44;50;1/2;17;25;3;adaptation;0;0;True;[monotonic_perfect_fifth_2_1_chords]
45;53;1/2;17;25;5;repetition;2;1;True;[non_monotonic_chords]
46;57;1/2;17;25;4;match;1;1;True;[non_monotonic_chords]
44;50;1/2;17;25;3;adaptation;0;1;True;[non_monotonic_chords]
47;50;1/4;35/2;26;4;match;0;1;False;[non_monotonic_chords]
48;52;1/4;71/4;27;3;ornamentation;0;1;False;[non_monotonic_chords]
49;50;1/4;18;28;5;match;2;1;False;[non_monotonic_chords]
51;57;1/4;18;28;4;adaptation;1;1;False;[non_monotonic_chords]
50;53;1/4;18;28;3;match;0;1;False;[non_monotonic_chords]
52;52;1/4;73/4;29;4;match;0;1;False;[non_monotonic_chords]
53;50;1/2;37/2;30;5;repetition;1;1;True;[non_monotonic_chords]
54;53;1/2;37/2;30;4;match;0;1;True;[non_monotonic_chords]
149;53;1/4;129/4;87;5;ornamentation;0;7;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
150;55;1/8;65/2;88;5;ornamentation;0;7;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
151;53;1/8;261/8;89;5;ornamentation;0;7;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
152;51;1/8;131/4;90;5;ornamentation;0;7;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
153;50;1/8;263/8;91;5;ornamentation;0;7;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
154;48;1/4;33;92;5;match;3;7;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
155;55;1/4;33;92;3;repetition;2;7;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
157;63;1/4;33;92;2;match;1;7;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
156;60;1/4;33;92;1;match;0;7;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
153;50;1/8;263/8;91;5;ornamentation;0;8;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
154;48;1/4;33;92;5;match;3;8;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
155;55;1/4;33;92;3;repetition;2;8;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
157;63;1/4;33;92;2;match;1;8;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
156;60;1/4;33;92;1;match;0;8;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
158;50;1/4;133/4;93;5;ornamentation;0;8;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
159;51;1/4;67/2;94;5;ornamentation;0;8;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
160;53;1/4;135/4;95;5;ornamentation;0;8;False;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
161;55;1/2;34;96;5;match;3;8;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
163;62;1/2;34;96;2;match;2;8;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
162;58;1/2;34;96;1;match;1;8;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
164;67;1/2;34;96;0;match;0;8;True;[monotonic_perfect_fifth_3_3_chords, monotonic_perfect_fifth_2_2_chords, monotonic_perfect_fifth_1_1_chords, monotonic_perfect_fifth_0_3_chords, monotonic_perfect_fifth_0_0_chords]
165;43;1/2;69/2;97;4;repetition;0;9;True;[non_monotonic_chords]
166;55;1/4;35;98;4;match;4;9;False;[non_monotonic_chords]
167;58;1/4;35;98;3;match;3;9;False;[non_monotonic_chords]
168;62;1/4;35;98;2;repetition;2;9;False;[non_monotonic_chords]
166;55;1/4;35;98;1;match;1;9;False;[non_monotonic_chords]
169;67;1/4;35;98;0;repetition;0;9;False;[non_monotonic_chords]
170;54;1/4;141/4;99;1;ornamentation;0;9;False;[non_monotonic_chords]
171;55;1/4;71/2;100;1;ornamentation;0;9;False;[non_monotonic_chords]
172;57;1/4;143/4;101;1;ornamentation;0;9;False;[non_monotonic_chords]
173;43;1/2;36;102;5;match;3;9;True;[non_monotonic_chords]
174;55;1/2;36;102;2;match;2;9;True;[non_monotonic_chords]
175;58;1/2;36;102;1;match;1;9;True;[non_monotonic_chords]
176;67;1/2;36;102;0;match;0;9;True;[non_monotonic_chords]
306;57;1/4;225/4;165;3;ornamentation;0;14;True;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
307;55;1/8;113/2;166;5;match;1;14;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
308;58;1/8;113/2;166;3;repetition;0;14;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
309;57;1/8;453/8;167;3;ornamentation;0;14;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
310;58;1/8;227/4;168;3;repetition;0;14;False;[monotonic_perfect_fifth_1_0_chords, monotonic_perfect_fifth_0_3_chords]
