note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
306;57;1/4;225/4;165;3;ornamentation;0;2;True;[non_monotonic]
308;58;1/8;113/2;166;3;repetition;0;2;False;[non_monotonic]
309;57;1/8;453/8;167;3;ornamentation;0;2;False;[non_monotonic]
310;58;1/8;227/4;168;3;repetition;0;2;False;[non_monotonic]
311;60;1/8;455/8;169;3;ornamentation;0;2;False;[non_monotonic]
314;58;1/4;57;170;3;repetition;1;2;True;[non_monotonic]
534;59;1/8;701/8;287;3;ornamentation;0;5;True;[non_monotonic]
535;60;1/16;351/4;288;3;ornamentation;0;5;False;[non_monotonic]
536;59;1/16;1405/16;289;3;ornamentation;0;5;False;[non_monotonic]
537;57;1/16;703/8;290;3;ornamentation;0;5;False;[non_monotonic]
538;59;1/16;1407/16;291;3;ornamentation;0;5;False;[non_monotonic]
540;60;1/2;88;292;3;match;1;5;True;[non_monotonic]
662;54;1/4;429/4;354;3;ornamentation;0;6;True;[non_monotonic]
663;55;1/8;215/2;355;3;adaptation;0;6;False;[non_monotonic]
664;54;1/8;861/8;356;3;ornamentation;0;6;False;[non_monotonic]
665;52;1/8;431/4;357;3;ornamentation;0;6;False;[non_monotonic]
666;54;1/8;863/8;358;3;ornamentation;0;6;False;[non_monotonic]
667;55;1/2;108;359;3;match;3;6;True;[non_monotonic]
779;57;1/4;505/4;415;3;ornamentation;0;7;True;[non_monotonic]
780;58;1/8;253/2;416;3;ornamentation;0;7;False;[non_monotonic]
781;57;1/8;1013/8;417;3;ornamentation;0;7;False;[non_monotonic]
782;58;1/8;507/4;418;3;repetition;0;7;False;[non_monotonic]
783;60;1/8;1015/8;419;3;ornamentation;0;7;False;[non_monotonic]
785;62;1/2;127;420;3;match;2;7;True;[non_monotonic]
1069;60;1/4;685/4;571;3;ornamentation;0;8;True;[monotonic]
1070;62;1/8;343/2;572;3;ornamentation;0;8;False;[monotonic]
1071;60;1/8;1373/8;573;3;ornamentation;0;8;False;[monotonic]
1072;59;1/8;687/4;574;3;adaptation;0;8;False;[monotonic]
1073;57;1/8;1375/8;575;3;ornamentation;0;8;False;[monotonic]
1075;59;1/2;172;576;3;adaptation;2;8;True;[monotonic]
