note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
115,55,1/4,28,67,4,match,3,0,True
126,48,1/8,233/8,75,4,ornamentation,0,0,False
127,50,1/8,117/4,76,4,ornamentation,0,0,False
128,51,1/8,235/8,77,4,ornamentation,0,0,False
129,50,1/8,59/2,78,4,ornamentation,0,0,False
130,48,1/8,237/8,79,4,ornamentation,0,0,False
131,46,1/8,119/4,80,4,ornamentation,0,0,False
132,45,1/8,239/8,81,4,ornamentation,0,0,False
133,43,1/2,30,82,4,match,4,0,True
643,51,1/4,105,343,4,repetition,2,1,True
649,57,1/8,845/8,346,4,ornamentation,0,1,False
650,58,1/8,423/4,347,4,ornamentation,0,1,False
651,60,1/8,847/8,348,4,ornamentation,0,1,False
652,50,1/4,106,349,4,match,0,1,True
