output_csv,sequence_length,count,sequence_ids
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,1,1,39
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,2,15,"1,5,11,18,19,22,24,25,34,35,36,38,40,44,45"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,3,1,6
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,4,9,"2,8,9,31,32,33,41,42,43"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,6,11,"0,3,4,7,12,13,14,16,21,28,29"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,7,1,15
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,8,4,"20,23,26,37"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,14,3,"17,30,46"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,18,1,10
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab.csv,20,1,27
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_fourstep.csv,4,8,"2,9,31,32,33,41,42,43"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_non_chord.csv,1,1,39
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_non_chord.csv,2,11,"1,19,22,24,34,35,36,38,40,44,45"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_non_chord.csv,4,2,"2,9"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_non_chord.csv,6,3,"16,28,29"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_abtab_non_chord.csv,14,1,46
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw.csv,4,2,"0,2"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw.csv,6,5,"1,3,4,6,7"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw.csv,8,2,"5,9"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw.csv,14,2,"8,10"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw_fourstep.csv,4,2,"0,2"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw_non_chord.csv,4,2,"0,2"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw_non_chord.csv,6,3,"4,6,7"
output/5694_03_motet_praeter_rerum_seriem_josquin-2/fourstep/5694_03_motet_praeter_rerum_seriem_josquin-2_tab_raw_non_chord.csv,14,1,10
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-3.csv,1,1,1
output/5694_03_motet_praeter_rerum_seriem_josquin-2/voices/5694_03_motet_praeter_rerum_seriem_josquin-2_voice-3.csv,3,2,"0,3"
