note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
6,55,1/2,3/2,4,3,match,1,0,True
7,62,1/2,3/2,4,2,match,0,0,True
9,58,1/4,2,5,3,match,2,0,False
8,55,1/4,2,5,2,match,1,0,False
10,70,1/4,2,5,0,match,0,0,False
11,57,1/4,9/4,6,2,ornamentation,0,0,False
12,58,1/4,5/2,7,2,match,0,0,False
13,60,1/4,11/4,8,3,match,0,0,False
15,62,1/4,3,9,3,match,1,0,False
14,58,1/4,3,9,2,repetition,0,0,False
16,63,1/4,13/4,10,3,adaptation,0,0,False
17,55,1/2,7/2,11,3,match,1,0,True
18,62,1/2,7/2,11,2,match,0,0,True
20,58,1/4,4,12,3,match,2,1,True
21,62,1/4,4,12,3,adaptation,2,1,True
19,55,1/4,4,12,2,match,1,1,True
22,70,1/4,4,12,0,repetition,0,1,True
23,64,1/8,17/4,13,2,ornamentation,0,1,False
24,66,1/8,35/8,14,2,ornamentation,0,1,False
25,55,1/2,9/2,15,3,match,1,1,True
26,67,1/2,9/2,15,2,match,0,1,True
30,66,1/4,21/4,17,2,match,0,2,True
31,67,1/8,11/2,18,2,adaptation,0,2,False
32,66,1/8,45/8,19,2,ornamentation,0,2,False
33,64,1/8,23/4,20,2,match,0,2,False
34,66,1/8,47/8,21,2,ornamentation,0,2,False
35,55,1/2,6,22,3,match,2,2,True
36,67,1/2,6,22,2,match,1,2,True
37,70,1/2,6,22,0,match,0,2,True
54,57,1/2,17/2,31,2,match,0,3,True
55,50,1/4,9,32,3,repetition,3,3,False
56,57,1/4,9,32,2,repetition,2,3,False
58,65,1/4,9,32,1,repetition,1,3,False
57,62,1/4,9,32,0,match,0,3,False
59,64,1/4,37/4,33,0,ornamentation,0,3,False
60,62,1/4,19/2,34,0,ornamentation,0,3,False
61,64,1/4,39/4,35,0,match,0,3,False
62,50,1/4,10,36,3,repetition,3,3,False
63,57,1/4,10,36,2,match,2,3,False
64,65,1/4,10,36,1,match,1,3,False
64,65,1/4,10,36,0,match,0,3,False
65,67,1/4,41/4,37,0,match,0,3,False
66,50,1/2,21/2,38,2,match,1,3,True
67,69,1/2,21/2,38,0,match,0,3,True
120,50,1/2,39/2,63,5,match,1,4,True
119,43,1/2,39/2,63,4,match,0,4,True
121,46,1/4,20,64,4,match,2,4,False
122,58,1/4,20,64,3,match,1,4,False
123,62,1/4,20,64,2,repetition,0,4,False
124,45,1/4,81/4,65,5,ornamentation,0,4,False
125,46,1/4,41/2,66,5,match,0,4,False
126,48,1/4,83/4,67,4,match,0,4,False
127,50,1/4,21,68,4,match,2,4,False
128,58,1/4,21,68,3,match,1,4,False
129,62,1/4,21,68,2,repetition,0,4,False
130,51,1/4,85/4,69,4,adaptation,0,4,False
132,50,1/2,43/2,70,5,match,1,4,True
131,43,1/2,43/2,70,4,match,0,4,True
132,50,1/2,43/2,70,5,match,1,5,True
131,43,1/2,43/2,70,4,match,0,5,True
133,43,1/4,22,71,5,match,2,5,False
134,58,1/4,22,71,3,repetition,1,5,False
135,62,1/4,22,71,2,repetition,0,5,False
136,57,1/4,89/4,72,5,ornamentation,0,5,False
138,55,1/2,45/2,73,5,match,2,5,True
137,43,1/2,45/2,73,4,match,1,5,True
139,62,1/2,45/2,73,2,repetition,0,5,True
145,55,1/2,24,76,5,match,2,6,True
144,43,1/2,24,76,4,match,1,6,True
146,58,1/2,24,76,3,match,0,6,True
147,55,1/4,49/2,77,5,ornamentation,0,6,False
148,43,1/4,99/4,78,5,ornamentation,0,6,False
149,43,1/4,25,79,5,adaptation,2,6,False
