note,pitch,duration,onset,chord,voice,category,voice_tab,sequence_id,is_context
30,66,1/4,21/4,17,2,match,0,0,True
31,67,1/8,11/2,18,2,adaptation,0,0,False
32,66,1/8,45/8,19,2,ornamentation,0,0,False
33,64,1/8,23/4,20,2,match,0,0,False
34,66,1/8,47/8,21,2,ornamentation,0,0,False
35,55,1/2,6,22,3,match,2,0,True
36,67,1/2,6,22,2,match,1,0,True
37,70,1/2,6,22,0,match,0,0,True
149,43,1/4,25,79,5,adaptation,2,1,True
150,55,1/4,25,79,4,match,1,1,True
151,58,1/4,25,79,3,repetition,0,1,True
152,53,1/8,101/4,80,3,ornamentation,0,1,False
153,55,1/8,203/8,81,3,ornamentation,0,1,False
154,57,1/8,51/2,82,3,adaptation,1,1,False
155,62,1/8,51/2,82,2,match,0,1,False
156,55,1/8,205/8,83,5,ornamentation,0,1,False
157,53,1/8,103/4,84,5,repetition,0,1,False
158,52,1/8,207/8,85,4,ornamentation,0,1,False
159,50,1/4,26,86,5,match,1,1,True
160,53,1/4,26,86,4,adaptation,0,1,True
203,64,1/4,129/4,104,2,adaptation,0,2,True
204,65,1/8,65/2,105,2,match,0,2,False
205,64,1/8,261/8,106,2,ornamentation,0,2,False
206,62,1/8,131/4,107,2,ornamentation,0,2,False
207,60,1/8,263/8,108,2,ornamentation,0,2,False
208,55,1/4,33,109,4,match,4,2,True
209,58,1/4,33,109,3,adaptation,3,2,True
210,62,1/4,33,109,2,match,2,2,True
208,55,1/4,33,109,1,match,1,2,True
211,70,1/4,33,109,0,match,0,2,True
282,43,1/4,42,142,5,match,3,3,True
283,55,1/4,42,142,3,match,2,3,True
284,58,1/4,42,142,2,match,1,3,True
285,70,1/4,42,142,0,match,0,3,True
286,55,1/8,169/4,143,2,match,0,3,False
287,57,1/8,339/8,144,2,ornamentation,0,3,False
288,58,1/8,85/2,145,2,match,2,3,False
289,62,1/8,85/2,145,1,match,1,3,False
290,67,1/8,85/2,145,0,match,0,3,False
291,60,1/8,341/8,146,1,ornamentation,0,3,False
292,62,1/8,171/4,147,1,ornamentation,0,3,False
293,64,1/8,343/8,148,1,ornamentation,0,3,False
294,50,1/2,43,149,5,match,4,3,True
295,53,1/2,43,149,3,match,3,3,True
296,57,1/2,43,149,2,match,2,3,True
297,65,1/2,43,149,1,match,1,3,True
298,69,1/2,43,149,0,match,0,3,True
353,48,1/4,51,174,5,match,4,4,True
354,52,1/4,51,174,4,match,3,4,True
355,55,1/4,51,174,3,match,2,4,True
356,60,1/4,51,174,2,match,1,4,True
357,64,1/4,51,174,1,match,0,4,True
358,69,1/8,205/4,175,1,ornamentation,0,4,False
359,67,1/8,411/8,176,1,ornamentation,0,4,False
360,65,1/8,103/2,177,1,ornamentation,0,4,False
361,64,1/8,413/8,178,1,ornamentation,0,4,False
362,62,1/8,207/4,179,1,ornamentation,0,4,False
363,60,1/8,415/8,180,1,ornamentation,0,4,False
364,46,1/2,52,181,5,match,4,4,True
365,53,1/2,52,181,4,match,3,4,True
366,58,1/2,52,181,3,match,2,4,True
367,62,1/2,52,181,2,match,1,4,True
368,62,1/2,52,181,1,match,0,4,True
454,43,1/2,129/2,223,5,match,1,5,True
455,55,1/2,129/2,223,1,match,0,5,True
456,45,1/8,65,224,5,match,1,5,False
457,48,1/8,65,224,4,adaptation,0,5,False
458,54,1/8,521/8,225,3,ornamentation,0,5,False
