note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
30;66;1/4;21/4;17;2;match;0;0;True;[non_monotonic]
31;67;1/8;11/2;18;2;adaptation;0;0;False;[non_monotonic]
32;66;1/8;45/8;19;2;ornamentation;0;0;False;[non_monotonic]
33;64;1/8;23/4;20;2;match;0;0;False;[non_monotonic]
34;66;1/8;47/8;21;2;ornamentation;0;0;False;[non_monotonic]
35;55;1/2;6;22;3;match;2;0;True;[non_monotonic]
36;67;1/2;6;22;2;match;1;0;True;[non_monotonic]
37;70;1/2;6;22;0;match;0;0;True;[non_monotonic]
203;64;1/4;129/4;104;2;adaptation;0;2;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
204;65;1/8;65/2;105;2;match;0;2;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
205;64;1/8;261/8;106;2;ornamentation;0;2;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
206;62;1/8;131/4;107;2;ornamentation;0;2;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
207;60;1/8;263/8;108;2;ornamentation;0;2;False;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
208;55;1/4;33;109;4;match;4;2;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
209;58;1/4;33;109;3;adaptation;3;2;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
210;62;1/4;33;109;2;match;2;2;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
208;55;1/4;33;109;1;match;1;2;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
211;70;1/4;33;109;0;match;0;2;True;[monotonic_perfect_fifth_0_3, monotonic_perfect_fifth_0_0]
