note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;sequence_id_voice;four_step_comment
703;69;1/4;102;346;0;adaptation;0;4;True;0;[non_monotonic]
707;67;1/8;821/8;350;0;ornamentation;0;4;False;0;[non_monotonic]
708;69;1/8;411/4;351;0;adaptation;0;4;False;0;[non_monotonic]
709;70;1/8;823/8;352;0;ornamentation;0;4;False;0;[non_monotonic]
714;69;1/8;103;353;0;adaptation;0;4;False;0;[non_monotonic]
725;74;1/2;104;361;0;match;0;4;True;0;[non_monotonic]
30;66;1/4;21/4;17;2;match;0;8;True;1;[non_monotonic]
31;67;1/8;11/2;18;2;adaptation;0;8;False;1;[non_monotonic]
32;66;1/8;45/8;19;2;ornamentation;0;8;False;1;[non_monotonic]
33;64;1/8;23/4;20;2;match;0;8;False;1;[non_monotonic]
34;66;1/8;47/8;21;2;ornamentation;0;8;False;1;[non_monotonic]
36;67;1/2;6;22;2;match;1;8;True;1;[non_monotonic]
203;64;1/4;129/4;104;2;adaptation;0;9;True;2;[monotonic]
204;65;1/8;65/2;105;2;match;0;9;False;2;[monotonic]
205;64;1/8;261/8;106;2;ornamentation;0;9;False;2;[monotonic]
206;62;1/8;131/4;107;2;ornamentation;0;9;False;2;[monotonic]
207;60;1/8;263/8;108;2;ornamentation;0;9;False;2;[monotonic]
210;62;1/4;33;109;2;match;2;9;True;2;[monotonic]
270;50;1/4;41;138;1;match;1;13;True;0;[non_monotonic]
289;62;1/8;85/2;145;1;match;1;13;False;0;[non_monotonic]
291;60;1/8;341/8;146;1;ornamentation;0;13;False;0;[non_monotonic]
292;62;1/8;171/4;147;1;ornamentation;0;13;False;0;[non_monotonic]
293;64;1/8;343/8;148;1;ornamentation;0;13;False;0;[non_monotonic]
297;65;1/2;43;149;1;match;1;13;True;0;[non_monotonic]
